step_id,table_name,operation,required_fields,source_contract
g5_01_start_context_lock,party_llm_steps,insert,"party_id, step_type, status, structured_output, validation_errors",G5StartInputContext
g5_03_existing_state_check,party_validation_issues,insert if conflicts,"party_id, severity, issue_type, message, affected_table, repair_instruction",G5ExistingStateSnapshot
g5_04_scene_graph_draft,party_graph_nodes,insert draft plan after commit gate only,"party_id, node_type=minilocation/scene_anchor, scale_level=G5, parent_node_id, region_id, place_id, visible_name, current_state, hidden_state",G5SceneGraphDraft
g5_07_edges_movement_graph,party_graph_edges,insert after commit gate,"party_id, from_party_node_id, to_party_node_id, scale_level=G5, edge_type, current_time_minutes, current_access, current_conditions, current_risk",G5SceneEdgePackage
g5_04_scene_graph_draft,party_minilocations,insert after commit gate,"party_id, place_id, location_id, title, minilocation_type, visible_description, position_state, current_state, hidden_state",G5SceneGraphDraft
g5_04_scene_graph_draft,party_scene_anchors,insert after commit gate,"party_id, place_id, location_id, minilocation_id, title, anchor_type, visible_description, physical_state, access_state, ownership_state, current_state, hidden_state",G5SceneGraphDraft + G5AnchorAccessVisibilityPackage
g5_06_objects_npcs_binding,party_items,insert/update after commit gate,"party_id, item_type, title, is_container, owner_type, owner_id, holder_type, holder_id, place_id, location_id, minilocation_id, anchor_id, materialization_reason, visibility_state, physical_state, ownership_state, access_state, risk_state",G5ObjectNpcBinding
g5_06_objects_npcs_binding,party_npcs,insert/update after commit gate,"party_id, profile_type, region_id, current_node_id, current_place_id, current_location_id, visible_label, status, relationship_state, knowledge_state, schedule_state, current_state, hidden_state, is_visible_in_scene",G5ObjectNpcBinding
g5_08_current_position_selection,party_current_position,insert/update after commit gate,"party_id, character_id, region_id, place_id, location_id, minilocation_id, anchor_id, current_node_id, last_route_id, position_visible_text, game_day_index, game_minute_of_day",G5CurrentPositionCommitPlan
g5_09_visible_start_package,party_journal_entries,insert visible start facts,"party_id, character_id, entry_type, visibility_state, truth_status, title, body, linked_entities, created_at_game_time",G5VisibleStartPackage
g5_10_commit_gate_audit,party_validation_issues,insert warnings/errors,"party_id, llm_step_id, severity, issue_type, message, affected_table, repair_instruction",G5AuditReport
g5_11_db_write_plan_and_commit,party_llm_steps,insert accepted/failed commit step,"party_id, step_type, status, structured_output, validation_errors, parent_step_id",G5CommitResult
