macro_zone	cell_count	coverage_roles	canonical_corridors	evidence_statuses	dominant_profile_samples	game_use	limits
central_rural_forest_meadow	6	"[""near_hinterland""]"	"[""внутренняя сельская сеть""]"	"[""regional_typological""]"	"[""mixed rural forest-meadow cell""]"	Use as broad G1-level planning band before generating G2/G3/G4.	Macro-zone is an editor grouping, not a medieval administrative unit.
ilmen_east_msta_mouth	1	"[""corridor""]"	"[""Ильменское ядро"", ""Мстинское направление""]"	"[""source_backed_corridor""]"	"[""Ilmen shore and Msta water corridor""]"	Use as broad G1-level planning band before generating G2/G3/G4.	Macro-zone is an editor grouping, not a medieval administrative unit.
ilmen_north_outflow	1	"[""core""]"	"[""Волховский путь"", ""Ильменское ядро""]"	"[""source_backed_anchor""]"	"[""lake outlet and fishing/landing zone""]"	Use as broad G1-level planning band before generating G2/G3/G4.	Macro-zone is an editor grouping, not a medieval administrative unit.
ilmen_shore_and_deltas	5	"[""core""]"	"[""Ильменское ядро"", ""Ловатско-Полистское направление"", ""Мстинское направление"", ""Шелонское направление"", ""внутренняя сельская сеть"", ""западная пограничная сеть"", ""южное Приильменье""]"	"[""source_backed_corridor""]"	"[""Ilmen shore/delta resource and rural belt""]"	Use as broad G1-level planning band before generating G2/G3/G4.	Macro-zone is an editor grouping, not a medieval administrative unit.
ilmen_west_shelon_mouth	1	"[""corridor""]"	"[""Ильменское ядро"", ""Шелонское направление""]"	"[""source_backed_corridor""]"	"[""Ilmen shore and Shelon water corridor""]"	Use as broad G1-level planning band before generating G2/G3/G4.	Macro-zone is an editor grouping, not a medieval administrative unit.
lovat_pola_south_corridor	6	"[""corridor""]"	"[""Ловатско-Полистское направление"", ""южное Приильменье""]"	"[""source_backed_corridor""]"	"[""southern forest-river corridor toward Lovat and Pola""]"	Use as broad G1-level planning band before generating G2/G3/G4.	Macro-zone is an editor grouping, not a medieval administrative unit.
msta_east_corridor	9	"[""corridor""]"	"[""Мстинское направление""]"	"[""source_backed_corridor""]"	"[""Msta waterway and rural/forest fringe""]"	Use as broad G1-level planning band before generating G2/G3/G4.	Macro-zone is an editor grouping, not a medieval administrative unit.
northern_forest_bog_margin	10	"[""frontier_hinterland""]"	"[""северо-восточная промысловая периферия""]"	"[""regional_typological""]"	"[""forest, bog, hunting/fur/resource hinterland""]"	Use as broad G1-level planning band before generating G2/G3/G4.	Macro-zone is an editor grouping, not a medieval administrative unit.
northern_forest_volkhov_hinterland	4	"[""hinterland""]"	"[""северная лесная сеть""]"	"[""regional_typological""]"	"[""northern forest and local winter/forest tracks""]"	Use as broad G1-level planning band before generating G2/G3/G4.	Macro-zone is an editor grouping, not a medieval administrative unit.
novgorod_volkhov_core	1	"[""core""]"	"[""Волховский путь"", ""Ильменское ядро"", ""городская округа Новгорода""]"	"[""source_backed_anchor""]"	"[""major city, Volkhov outflow, monastic/urban hinterland""]"	Use as broad G1-level planning band before generating G2/G3/G4.	Macro-zone is an editor grouping, not a medieval administrative unit.
poozerie_rural_food_belt	5	"[""near_hinterland""]"	"[""Ильменское ядро"", ""Поозерская локальная сеть""]"	"[""source_backed_rural_zone""]"	"[""fertile rural food belt near Ilmen and Novgorod""]"	Use as broad G1-level planning band before generating G2/G3/G4.	Macro-zone is an editor grouping, not a medieval administrative unit.
rusa_polist_salt	1	"[""core""]"	"[""Русское соляное направление"", ""южное Приильменье""]"	"[""source_backed_anchor""]"	"[""town, saltmaking, Polist/Porusya river system""]"	Use as broad G1-level planning band before generating G2/G3/G4.	Macro-zone is an editor grouping, not a medieval administrative unit.
shelon_west_corridor	2	"[""border_corridor""]"	"[""Шелонское направление"", ""западная пограничная сеть""]"	"[""source_backed_corridor""]"	"[""Shelon floodplain/western route toward Pskov side""]"	Use as broad G1-level planning band before generating G2/G3/G4.	Macro-zone is an editor grouping, not a medieval administrative unit.
southern_wet_forest_hinterland	8	"[""hinterland""]"	"[""южная внутренняя периферия""]"	"[""regional_typological""]"	"[""southern wet forest and dispersed rural/promysel zone""]"	Use as broad G1-level planning band before generating G2/G3/G4.	Macro-zone is an editor grouping, not a medieval administrative unit.
torzhok_border_corridor	1	"[""border_corridor""]"	"[""Торжокский сухопутно-речной коридор""]"	"[""source_backed_corridor""]"	"[""border/trade corridor toward Torzhok and Upper Volga routes""]"	Use as broad G1-level planning band before generating G2/G3/G4.	Macro-zone is an editor grouping, not a medieval administrative unit.
torzhok_msta_valdai_route	5	"[""border_corridor""]"	"[""Торжокское направление"", ""юго-восточный сухопутный коридор""]"	"[""regional_typological""]"	"[""overland route and rural-hill/forest belt toward Torzhok""]"	Use as broad G1-level planning band before generating G2/G3/G4.	Macro-zone is an editor grouping, not a medieval administrative unit.
volkhov_north_corridor	3	"[""corridor""]"	"[""Волховский путь"", ""северный выход к Ладожско-Ижорской земле""]"	"[""source_backed_corridor""]"	"[""Volkhov river corridor with forested/rural banks""]"	Use as broad G1-level planning band before generating G2/G3/G4.	Macro-zone is an editor grouping, not a medieval administrative unit.
volkhov_outflow_east_bank	1	"[""core""]"	"[""Волховский путь"", ""северо-восточная окологородская округа""]"	"[""source_backed_anchor""]"	"[""near-Novgorod riverbank and monastic/rural belt""]"	Use as broad G1-level planning band before generating G2/G3/G4.	Macro-zone is an editor grouping, not a medieval administrative unit.
