id,slug,title,summary,game_use,limits,status,confidence,sources,audit_notes,created_at,updated_at
ruling_dynastic_elite,ruling_dynastic_elite,Правящая династическая элита,Правящая династическая элита,Canonical правящая династическая элита reference.,Do not invent regional variants without social_position_archetype mapping.,approved,high,"[""seed:universal_social_layer_v1""]","Universal social layer seed v1; explicit data, not procedural.",2026-07-08T00:00:00Z,2026-07-08T00:00:00Z
ecclesiastical_elite,ecclesiastical_elite,Церковная элита,Церковная элита,Canonical церковная элита reference.,Do not invent regional variants without social_position_archetype mapping.,approved,high,"[""seed:universal_social_layer_v1""]","Universal social layer seed v1; explicit data, not procedural.",2026-07-08T00:00:00Z,2026-07-08T00:00:00Z
urban_elite,urban_elite,Городская элита,Городская элита,Canonical городская элита reference.,Do not invent regional variants without social_position_archetype mapping.,approved,high,"[""seed:universal_social_layer_v1""]","Universal social layer seed v1; explicit data, not procedural.",2026-07-08T00:00:00Z,2026-07-08T00:00:00Z
landholding_notable,landholding_notable,Знатные землевладельцы,Знатные землевладельцы,Canonical знатные землевладельцы reference.,Do not invent regional variants without social_position_archetype mapping.,approved,high,"[""seed:universal_social_layer_v1""]","Universal social layer seed v1; explicit data, not procedural.",2026-07-08T00:00:00Z,2026-07-08T00:00:00Z
free_commoner,free_commoner,Свободные простолюдины,Свободные простолюдины,Canonical свободные простолюдины reference.,Do not invent regional variants without social_position_archetype mapping.,approved,high,"[""seed:universal_social_layer_v1""]","Universal social layer seed v1; explicit data, not procedural.",2026-07-08T00:00:00Z,2026-07-08T00:00:00Z
dependent_commoner,dependent_commoner,Зависимые простолюдины,Зависимые простолюдины,Canonical зависимые простолюдины reference.,Do not invent regional variants without social_position_archetype mapping.,approved,high,"[""seed:universal_social_layer_v1""]","Universal social layer seed v1; explicit data, not procedural.",2026-07-08T00:00:00Z,2026-07-08T00:00:00Z
unfree_dependent,unfree_dependent,Несвободные зависимые,Несвободные зависимые,Canonical несвободные зависимые reference.,Do not invent regional variants without social_position_archetype mapping.,approved,high,"[""seed:universal_social_layer_v1""]","Universal social layer seed v1; explicit data, not procedural.",2026-07-08T00:00:00Z,2026-07-08T00:00:00Z
captive_unfree,captive_unfree,Пленные и невольники,Пленные и невольники,Canonical пленные и невольники reference.,Do not invent regional variants without social_position_archetype mapping.,approved,high,"[""seed:universal_social_layer_v1""]","Universal social layer seed v1; explicit data, not procedural.",2026-07-08T00:00:00Z,2026-07-08T00:00:00Z
outsider_foreign,outsider_foreign,Иностранцы и чужеземцы,Иностранцы и чужеземцы,Canonical иностранцы и чужеземцы reference.,Do not invent regional variants without social_position_archetype mapping.,approved,high,"[""seed:universal_social_layer_v1""]","Universal social layer seed v1; explicit data, not procedural.",2026-07-08T00:00:00Z,2026-07-08T00:00:00Z
marginal_outcast,marginal_outcast,Маргиналы и изгои,Маргиналы и изгои,Canonical маргиналы и изгои reference.,Do not invent regional variants without social_position_archetype mapping.,approved,high,"[""seed:universal_social_layer_v1""]","Universal social layer seed v1; explicit data, not procedural.",2026-07-08T00:00:00Z,2026-07-08T00:00:00Z
