rule_id,context,name_ru,allowed_classes,conditional_classes,forbidden_classes,confidence,basis,notes
RFR001,ordinary_day,Обычный скоромный день,"[""plant"",""fish"",""meat"",""dairy"",""eggs"",""animal_fat""]","[""alcohol""]",[],B,general ecclesiastical/social reconstruction,Household means and season still constrain actual food.
RFR002,fast_day_general,Общий постный день без уточнения устава,"[""grain"",""legumes"",""vegetables"",""fruit"",""berries"",""nuts"",""honey"",""water""]","[""fish"",""plant_oil"",""wine"",""beer"",""honey_drink""]","[""meat"",""dairy"",""eggs"",""animal_fat""]",B,broad Orthodox fasting distinction,"Fish, oil and wine allowances vary by day and observance; exact local rule must be supplied by calendar context."
RFR003,strict_fast_day,Строгий постный контекст,"[""grain"",""legumes"",""vegetables"",""fruit"",""berries"",""nuts"",""water""]","[""honey""]","[""meat"",""dairy"",""eggs"",""animal_fat"",""fish"",""plant_oil"",""wine"",""beer"",""honey_drink""]",C,conservative gameplay abstraction,Not a claim that every Novgorodian observed the same strict rule.
RFR004,fish_permitted_fast_day,Постный день с разрешённой рыбой,"[""grain"",""legumes"",""vegetables"",""fruit"",""berries"",""nuts"",""honey"",""water"",""fish""]","[""plant_oil"",""wine"",""beer""]","[""meat"",""dairy"",""eggs"",""animal_fat""]",B,broad Orthodox fasting practice,"Activation requires a calendar/household rule, not merely recipe preference."
RFR005,monastery_rule,Монастырский приём пищи,"[""bread"",""porridge"",""legumes"",""vegetables"",""water""]","[""fish"",""plant_oil"",""beer"",""wine"",""dairy"",""eggs""]",[],C,monastic economy plus fasting framework,No late monastic typikon is projected backward unchanged; actual house rule and day determine allowances.
RFR006,liturgical_wine,Литургическое вино,"[""imported_wine_for_liturgy""]",[],[],B,Christian liturgical requirement and imported wine context,Does not prove broad household access to wine.
RFR007,weekly_fast_pattern,Регулярные недельные постные дни,"[""use fast_day_general rules""]",[],[],B,general medieval Orthodox practice,Exact enforcement and exceptions are not encoded as universal individual behaviour.
RFR008,great_lent,Великий пост,"[""use strict/general fast rules by day""]","[""fish on specific permitted occasions"",""plant_oil"",""wine""]","[""meat"",""dairy"",""eggs""]",B,general ecclesiastical calendar,Exact Julian dates and local day-level allowances must be calculated by a separate calendar owner.
RFR009,nativity_fast,Рождественский пост,"[""use general fast rules""]","[""fish"",""plant_oil"",""wine""]","[""meat"",""dairy"",""eggs""]",B,general ecclesiastical calendar,Day-level rules are external to this catalog.
RFR010,apostles_fast,Апостольский пост,"[""use general fast rules""]","[""fish"",""plant_oil"",""wine""]","[""meat"",""dairy"",""eggs""]",B,general ecclesiastical calendar,Duration varies with Easter and is not hardcoded here.
RFR011,dormition_fast,Успенский пост,"[""use strict/general fast rules""]","[""fish on permitted feast context"",""plant_oil"",""wine""]","[""meat"",""dairy"",""eggs""]",B,general ecclesiastical calendar,Exact local observance not reconstructed at household level.
RFR012,feast_day,Праздничный скоромный или разрешительный контекст,"[""context-dependent wider meal""]","[""meat"",""dairy"",""eggs"",""fish"",""wine"",""honey_drink""]",[],C,social and ecclesiastical reconstruction,A feast does not create ingredients a household cannot afford or obtain.
