ws_id,name_ru,pf_id,bt_id_proposed,tools,stocks,waste_traces,ambience_sound_ru,ambience_smell_ru,light_fire_ru,occupations,process_refs,work_location,master_workshop_ref,matcult_scene_ref,region_id,source_refs,confidence,status,note
ws_smithy_town,Городская кузница,smithy,bt_smithy_proposed,tl_forge_hearth;tl_bellows;tl_tuyere;tl_anvil;tl_anvil_block;tl_smith_hammer;tl_sledgehammer;tl_smith_tongs;tl_smith_chisel;tl_punch;tl_nail_header;tl_file;tl_quench_tub;tl_grinding_wheel;tl_carburizing_pot,mt_charcoal;mt_iron;mt_bloom_iron;mt_steel;mt_water;pr:worn_iron_object,окалина у наковальни;шлаковые натёки;зола и угольная пыль;обсечки железа;закопчённые стены,"удары молота, шипение воды при закалке, сопение мехов","угольный чад, горячее железо",открытый огонь горна; постройка на отшибе от жилья; горючее держат вдали от искр,nov_occ_blacksmith,pc_smith_forging;pc_welded_steel_edge;pc_carburizing;pc_nail_forging;pc_iron_repair;pc_seal_matrix,indoor,forge,SCN011,,src:kolchin1959-iron;src:kolchin1957-city;claim:reconstructed-place-work-smithy-can-conditionally-link-forge-bellows-anvil-and-quench;claim:ordinary-life-smith-leaves-scale-ash-offcuts,A,candidate,
ws_bloomery_site,Сыродутная площадка сельского металлурга,forest_edge,,tl_bloomery_furnace;tl_bellows;tl_tuyere;tl_ore_basket;tl_smith_tongs;tl_sledgehammer;tl_charcoal_pit,mt_bog_ore;mt_charcoal;mt_clay_refractory;mt_firewood,шлаковые лепёшки;обломки обмазки горна;кучи обожжённой руды;угольная пыль,"дутьё мехов, треск горна","дым, сернистый запах руды",открытый горн в лесу у болота,,pc_bloomery_iron;pc_charcoal_pit,forest,bloomery_site,,,src:kolchin1953-metallurgy;claim:occupation-smith-iron-input,B,candidate,Занятия «сельский металлург» в списке 68 занятий нет — пробел domain occupations.
ws_jeweler_caster,Литейно-ювелирная мастерская,ordinary_workshop,bt_urban_workshop_proposed,tl_crucible;tl_crucible_tongs;tl_ladle_pouring;tl_mould_stone;tl_mould_clay;tl_jeweler_anvil;tl_jeweler_hammer;tl_jeweler_pliers;tl_chasing_punch;tl_embossing_die;tl_draw_plate;tl_jeweler_scales;tl_burnisher;tl_blowpipe;tl_graver;tl_file;tl_bellows,mt_copper;mt_bronze;mt_brass;mt_lead;mt_tin;mt_silver;mt_charcoal;mt_clay_refractory;mt_beeswax,литники;брак литья;брызги металла;осколки тиглей и форм;проволочные концы,"тихий стук молоточка, шипение дутья","металлический чад, воск",малый горн; драгоценный металл под замком,,pc_nonferrous_casting;pc_lost_wax_casting;pc_wire_filigree;pc_sheet_embossing;pc_seal_matrix;pc_lead_seal,indoor,jewelry_workshop,SCN014,,src:iaran-desyatinny;src:sedova1981-jewelry;src:kolchin1959-iron,A,candidate,Занятия «литейщик/ювелир» в списке 68 нет — пробел occupations.
ws_tannery,Кожевня,ordinary_workshop,bt_tannery_proposed,tl_liming_vat;tl_beam;tl_fleshing_knife;tl_leather_press;tl_drying_frame;tl_knife_utility,mt_hide_raw;mt_lime;mt_wood_ash_lye;mt_bark_tanning;mt_tallow;mt_birch_tar;mt_water,слои шерсти с золой;мездра;отработанная кора;вонючие стоки в канаве,"плеск, скрежет скребка","гниль, известь, дубильная кора",огня нет; нужна вода рядом,nov_occ_leatherworker,pc_tanning_bark;pc_rawhide,waterside,tannery_edge,,,src:izumova1959-leather,B,candidate,Золильные ямы и мочило XII в. на Ярославовом дворище (Изюмова через конспект).
ws_shoemaker,Сапожная мастерская,ordinary_workshop,bt_urban_workshop_proposed,tl_last;tl_shoe_knife;tl_awl;tl_leather_needle;tl_wax_block;tl_stamp_leather;tl_whetstone,mt_leather_veg;mt_rawhide;mt_flax;mt_beeswax;mt_birch_bark;pr:worn_footwear,обрезки кожи слоем;изношенные подошвы;детали кроя,"стук, шорох кожи","кожа, воск, дёготь",дневной свет у окна,nov_occ_shoemaker,pc_shoemaking;pc_shoe_repair,indoor,shoemaker_shop,SCN010,,src:izumova1959-leather;claim:population-shoe-form;claim:household-leather-offcut,A,candidate,В мастерской XIII–XIV вв. — более 2000 фрагментов обуви на м² (Изюмова через конспект).
ws_potter,Двор гончара,ordinary_workshop,bt_urban_workshop_proposed,tl_potter_wheel;tl_clay_trough;tl_potter_paddle;tl_pottery_stamp;tl_drying_shelf;tl_kiln;tl_spade,mt_clay;mt_temper;mt_water;mt_firewood,черепки брака;пережжённые сосуды;комья глины;зола у горна,поскрипывание круга,"сырая глина, дым обжига",горн во дворе,nov_occ_potter,pc_pottery_wheel,yard,potter_yard,SCN013,,src:novgorod-museum-ceramics;src:matcult-scenes-v1,B,candidate,
ws_bone_carver,Косторезная мастерская,ordinary_workshop,bt_urban_workshop_proposed,tl_saw_bone;tl_bone_knife;tl_file;tl_bow_drill;tl_compass_divider;tl_bone_rivets;tl_whetstone,mt_antler;mt_bone;mt_horn;mt_bronze,отпиленные основания рога;опилки;пластины-заготовки;бракованные гребни,визг пилки,палёная кость при сверлении,дневной свет,,pc_bone_comb;pc_bone_skate,indoor,bone_worker_shop,SCN017,,src:smirnova1998-bone;src:matcult-scenes-v1,B,candidate,Занятия «косторез» в списке 68 нет.
ws_turner,Токарня (мелкая деревообработка),ordinary_workshop,bt_urban_workshop_proposed,tl_lathe;tl_turning_hook;tl_gouge;tl_carving_knife;tl_axe_carpenter;tl_adze,mt_wood_birch;mt_wood_maple;mt_wood_linden,длинная стружка;центры-огрызки;треснувшие болванки,ритмичный скрип привода,свежая древесина,дневной свет,,pc_wood_turning,indoor,wood_turner_shop,,,src:kolchin1957-city;src:kolchin1968-wood,B,candidate,Занятия «токарь» в списке 68 нет.
ws_cooper,Бондарня,ordinary_workshop,,tl_axe_carpenter;tl_drawknife;tl_cooper_croze;tl_mallet;tl_wedge;tl_workhorse,mt_wood_oak;mt_wood_pine;mt_wood_willow,клёпки в брак;стружка;обрезки обручей,стук набиваемых обручей,дуб,,nov_occ_cooper,pc_cooperage,yard,cooper_yard,,,src:kolchin1957-city,B,candidate,
ws_carpenter_yard,Плотницкий двор и стройка,town_courtyard,,tl_axe_carpenter;tl_adze;tl_chisel;tl_chisel_broad;tl_auger_spoon;tl_saw;tl_drawknife;tl_plane;tl_wedge;tl_mallet;tl_marking_cord;tl_plumb_line;tl_workhorse;tl_nail_puller;tl_compass_divider,mt_wood_pine;mt_wood_spruce;mt_wood_oak;mt_hemp;mt_moss;mt_birch_bark,щепа и стружка слоями;обрубки брёвен;кора;нагели-заготовки,"стук топоров, перекличка артели","смола, свежая щепа",огонь не нужен; щепа горюча,nov_occ_carpenter;nov_occ_day_laborer,pc_log_building;pc_board_hewing,yard,carpenter_yard,SCN012,,src:kolchin1957-city;claim:ordinary-life-carpenter-works-wood-with-tools,A,candidate,
ws_boatyard,Береговая лодочная работа (верфь),riverbank,,tl_axe_carpenter;tl_adze_boat;tl_auger_spoon;tl_chisel;tl_caulking_iron;tl_pitch_pot;tl_boat_stocks;tl_mallet,pr:hewn_board;mt_wood_oak;mt_hemp;mt_pine_resin;mt_pine_pitch;mt_iron;pr:damaged_boat,щепа;капли смолы;старая пакля;гнилые доски,"стук конопатки, топоры","горячая смола, речная сырость",костёр под котлом смолы,nov_occ_boatbuilder;nov_occ_landing_worker,pc_plank_boat;pc_dugout_boat;pc_boat_repair,waterside,boatyard_shore,SCN025,,src:dubrovin2000-transport,B,candidate,
ws_weaver_house,Изба с ткацким станом,dwelling_interior,,tl_loom;tl_shuttle;tl_weaving_sword;tl_reed_comb;tl_loom_weight;tl_weaving_tablets;tl_shears;tl_distaff;tl_spindle;tl_spindle_whorl;tl_reel;tl_sewing_needle,mt_flax;mt_wool;pr:yarn,обрывки нитей;кудель на полу;лоскуты,"стук прибоя, жужжание веретена","шерсть, лён",свет лучины или окна; огонь в печи,nov_occ_weaver_cloth_worker;nov_occ_tailor_mender,pc_spinning;pc_weaving;pc_felting,indoor,weaver_house,SCN015,,src:matcult-scenes-v1;claim:ordinary-life-weaver-needs-yarn-and-loom-space,B,candidate,Стан есть не в каждом доме.
ws_fibre_yard,Двор и стлище для льна,peasant_homestead,,tl_flax_brake;tl_scutcher;tl_hackle,pr:flax_stems;mt_flax;mt_hemp,кострика кучами;очёсы;запах мочила,стук мялки и трепала,гниловатый запах мочёного льна,сушка снопов в овине — пожароопасно,nov_occ_ploughman,pc_flax_fibre,outdoor_field,textile_household,,,claim:fibre-flax-breaker-shive;claim:fibre-hackle-removes-shive,B,candidate,
ws_dye_yard,Красильное место во дворе,town_courtyard,,tl_dye_pot;tl_bucket,mt_textile_dyes;mt_wood_ash_lye;mt_water;mt_firewood;pr:woven_cloth,окрашенная земля у стока;отработанная ванна,,"пар от ванны, растительный запах",костёр под котлом,nov_occ_weaver_cloth_worker,pc_textile_dyeing,yard,,,,claim:textile-dye-application,C,candidate,Специализированная красильня в Новгороде 1230 г. не выписана.
ws_tar_kiln,Дегтярня и смолокурня в лесу,forest_edge,,tl_tar_pots;tl_pitch_pot;tl_charcoal_pit;tl_axe_household;tl_spade;tl_basket_bark,mt_birch_bark;mt_pine_resin;mt_firewood;mt_birch_tar;mt_pine_pitch,берестяной уголь;черепки корчаг;выжженные ямы;дёгтярные пятна,треск костра,резкий дёгтярный дым,костры вдали от жилья,nov_occ_pitch_tar_worker;nov_occ_forest_worker,pc_birch_tar;pc_pine_pitch,forest,,,,claim:household-tar-pot;src:talanin-degot,C,candidate,
