ms_id,household_class,season_period,day_kind,slots,slot_names_ru,source_refs,confidence,status,notes
ms_01,*,*,ordinary,"[""morning"", ""midday"", ""evening""]","[""утренняя еда"", ""обед"", ""вечеря""]","[""rule:curated_rules.json/meal_slots""]",C,candidate,Confidence C. Number and names of daily meals for Novgorod 1230 are not attested in examined sources; slots are a reconstruction to drive NPC routines. Terms обед/вечеря are Old Russian words; 'утренняя еда' kept descriptive.
ms_02,rural,summer,ordinary,"[""morning"", ""field_carry"", ""evening""]","[""утренняя еда"", ""еда, взятая с собой"", ""вечеря""]","[""rule:curated_rules.json/meal_slots""]",C,candidate,Confidence C. Number and names of daily meals for Novgorod 1230 are not attested in examined sources; slots are a reconstruction to drive NPC routines. Terms обед/вечеря are Old Russian words; 'утренняя еда' kept descriptive.
ms_03,rural,autumn,ordinary,"[""morning"", ""field_carry"", ""evening""]","[""утренняя еда"", ""еда, взятая с собой"", ""вечеря""]","[""rule:curated_rules.json/meal_slots""]",C,candidate,Confidence C. Number and names of daily meals for Novgorod 1230 are not attested in examined sources; slots are a reconstruction to drive NPC routines. Terms обед/вечеря are Old Russian words; 'утренняя еда' kept descriptive.
ms_04,fisher,*,ordinary,"[""morning"", ""field_carry"", ""evening""]","[""утренняя еда"", ""еда, взятая с собой"", ""вечеря""]","[""rule:curated_rules.json/meal_slots""]",C,candidate,Confidence C. Number and names of daily meals for Novgorod 1230 are not attested in examined sources; slots are a reconstruction to drive NPC routines. Terms обед/вечеря are Old Russian words; 'утренняя еда' kept descriptive.
ms_05,military,*,campaign,"[""morning"", ""evening""]","[""утренняя еда"", ""вечеря""]","[""rule:curated_rules.json/meal_slots""]",C,candidate,Confidence C. Number and names of daily meals for Novgorod 1230 are not attested in examined sources; slots are a reconstruction to drive NPC routines. Terms обед/вечеря are Old Russian words; 'утренняя еда' kept descriptive.
ms_06,clergy_monastery,*,fast,"[""midday""]","[""обед""]","[""rule:curated_rules.json/meal_slots"", ""master-food:FSRC007""]",C,candidate,Confidence C. Number and names of daily meals for Novgorod 1230 are not attested in examined sources; slots are a reconstruction to drive NPC routines. Terms обед/вечеря are Old Russian words; 'утренняя еда' kept descriptive.
ms_07,clergy_monastery,*,ordinary,"[""midday"", ""evening""]","[""обед"", ""вечеря""]","[""rule:curated_rules.json/meal_slots""]",C,candidate,Confidence C. Number and names of daily meals for Novgorod 1230 are not attested in examined sources; slots are a reconstruction to drive NPC routines. Terms обед/вечеря are Old Russian words; 'утренняя еда' kept descriptive.
ms_08,*,*,strict_fast,"[""midday""]","[""обед""]","[""rule:curated_rules.json/meal_slots"", ""master-food:FSRC007""]",C,candidate,Confidence C. Number and names of daily meals for Novgorod 1230 are not attested in examined sources; slots are a reconstruction to drive NPC routines. Terms обед/вечеря are Old Russian words; 'утренняя еда' kept descriptive.
ms_09,*,*,feast,"[""morning"", ""feast""]","[""утренняя еда"", ""пир, братчина, праздничная трапеза""]","[""rule:curated_rules.json/meal_slots""]",C,candidate,Confidence C. Number and names of daily meals for Novgorod 1230 are not attested in examined sources; slots are a reconstruction to drive NPC routines. Terms обед/вечеря are Old Russian words; 'утренняя еда' kept descriptive.
ms_10,*,*,famine_1230,"[""midday""]","[""обед""]","[""rule:curated_rules.json/meal_slots""]",C,candidate,Confidence C. Number and names of daily meals for Novgorod 1230 are not attested in examined sources; slots are a reconstruction to drive NPC routines. Terms обед/вечеря are Old Russian words; 'утренняя еда' kept descriptive.
