id	title	anchor_type	g1_cell_id	g1_cell_code	evidence_status	confidence	sources	game_use	limits
ha_nov_g1_70_001	Торжокское направление	geographic_landmark	gn_nov_g1_09_00	nov_g1_09_00	source_backed_corridor	medium_low	"[""src_project_g1_architecture"", ""src_project_schema_graph_nodes""]"	Anchor to guide G2-G4 generation and graph edge placement.	Anchor placement is at G1 cell scale; exact G3/G4 position is not yet created.
ha_nov_g1_70_002	Ильмень	geographic_landmark	gn_nov_g1_01_02	nov_g1_01_02	source_backed_corridor	medium	"[""src_nosov_iskos_1984"", ""src_lake_ilmen_params"", ""src_novgorod_wider_context"", ""src_project_g1_architecture"", ""src_project_schema_graph_nodes""]"	Anchor to guide G2-G4 generation and graph edge placement.	Anchor placement is at G1 cell scale; exact G3/G4 position is not yet created.
ha_nov_g1_70_003	Ильмень	geographic_landmark	gn_nov_g1_02_02	nov_g1_02_02	source_backed_corridor	medium	"[""src_nosov_iskos_1984"", ""src_lake_ilmen_params"", ""src_novgorod_wider_context"", ""src_project_g1_architecture"", ""src_project_schema_graph_nodes""]"	Anchor to guide G2-G4 generation and graph edge placement.	Anchor placement is at G1 cell scale; exact G3/G4 position is not yet created.
ha_nov_g1_70_004	Руса (Старая Русса)	historical_landmark	gn_nov_g1_03_02	nov_g1_03_02	source_backed_anchor	medium	"[""src_staraya_russa_salt"", ""src_lake_ilmen_params"", ""src_project_g1_architecture"", ""src_project_schema_graph_nodes""]"	Anchor to guide G2-G4 generation and graph edge placement.	Anchor placement is at G1 cell scale; exact G3/G4 position is not yet created.
ha_nov_g1_70_005	Полисть	geographic_landmark	gn_nov_g1_03_02	nov_g1_03_02	source_backed_anchor	medium	"[""src_staraya_russa_salt"", ""src_lake_ilmen_params"", ""src_project_g1_architecture"", ""src_project_schema_graph_nodes""]"	Anchor to guide G2-G4 generation and graph edge placement.	Anchor placement is at G1 cell scale; exact G3/G4 position is not yet created.
ha_nov_g1_70_006	Порусья	geographic_landmark	gn_nov_g1_03_02	nov_g1_03_02	source_backed_anchor	medium	"[""src_staraya_russa_salt"", ""src_lake_ilmen_params"", ""src_project_g1_architecture"", ""src_project_schema_graph_nodes""]"	Anchor to guide G2-G4 generation and graph edge placement.	Anchor placement is at G1 cell scale; exact G3/G4 position is not yet created.
ha_nov_g1_70_007	Ильмень	geographic_landmark	gn_nov_g1_04_02	nov_g1_04_02	source_backed_corridor	medium	"[""src_nosov_iskos_1984"", ""src_lake_ilmen_params"", ""src_novgorod_wider_context"", ""src_project_g1_architecture"", ""src_project_schema_graph_nodes""]"	Anchor to guide G2-G4 generation and graph edge placement.	Anchor placement is at G1 cell scale; exact G3/G4 position is not yet created.
ha_nov_g1_70_008	Шелонь	geographic_landmark	gn_nov_g1_00_03	nov_g1_00_03	source_backed_corridor	medium_low	"[""src_nosov_iskos_1984"", ""src_lake_ilmen_params"", ""src_project_g1_architecture"", ""src_project_schema_graph_nodes""]"	Anchor to guide G2-G4 generation and graph edge placement.	Anchor placement is at G1 cell scale; exact G3/G4 position is not yet created.
ha_nov_g1_70_009	Ильмень	geographic_landmark	gn_nov_g1_01_03	nov_g1_01_03	source_backed_corridor	medium	"[""src_nosov_iskos_1984"", ""src_lake_ilmen_params"", ""src_novgorod_wider_context"", ""src_project_g1_architecture"", ""src_project_schema_graph_nodes""]"	Anchor to guide G2-G4 generation and graph edge placement.	Anchor placement is at G1 cell scale; exact G3/G4 position is not yet created.
ha_nov_g1_70_010	Ильмень	geographic_landmark	gn_nov_g1_02_03	nov_g1_02_03	source_backed_corridor	medium	"[""src_nosov_iskos_1984"", ""src_lake_ilmen_params"", ""src_project_g1_architecture"", ""src_project_schema_graph_nodes""]"	Anchor to guide G2-G4 generation and graph edge placement.	Anchor placement is at G1 cell scale; exact G3/G4 position is not yet created.
ha_nov_g1_70_011	Шелонь	geographic_landmark	gn_nov_g1_02_03	nov_g1_02_03	source_backed_corridor	medium	"[""src_nosov_iskos_1984"", ""src_lake_ilmen_params"", ""src_project_g1_architecture"", ""src_project_schema_graph_nodes""]"	Anchor to guide G2-G4 generation and graph edge placement.	Anchor placement is at G1 cell scale; exact G3/G4 position is not yet created.
ha_nov_g1_70_012	Ильмень	geographic_landmark	gn_nov_g1_03_03	nov_g1_03_03	source_backed_anchor	medium_high	"[""src_nosov_iskos_1984"", ""src_lake_ilmen_params"", ""src_project_g1_architecture"", ""src_project_schema_graph_nodes""]"	Anchor to guide G2-G4 generation and graph edge placement.	Anchor placement is at G1 cell scale; exact G3/G4 position is not yet created.
ha_nov_g1_70_013	исток Волхова	geographic_landmark	gn_nov_g1_03_03	nov_g1_03_03	source_backed_anchor	medium_high	"[""src_nosov_iskos_1984"", ""src_lake_ilmen_params"", ""src_project_g1_architecture"", ""src_project_schema_graph_nodes""]"	Anchor to guide G2-G4 generation and graph edge placement.	Anchor placement is at G1 cell scale; exact G3/G4 position is not yet created.
ha_nov_g1_70_014	Ильмень	geographic_landmark	gn_nov_g1_04_03	nov_g1_04_03	source_backed_corridor	medium	"[""src_nosov_iskos_1984"", ""src_lake_ilmen_params"", ""src_project_g1_architecture"", ""src_project_schema_graph_nodes""]"	Anchor to guide G2-G4 generation and graph edge placement.	Anchor placement is at G1 cell scale; exact G3/G4 position is not yet created.
ha_nov_g1_70_015	Мста	geographic_landmark	gn_nov_g1_04_03	nov_g1_04_03	source_backed_corridor	medium	"[""src_nosov_iskos_1984"", ""src_lake_ilmen_params"", ""src_project_g1_architecture"", ""src_project_schema_graph_nodes""]"	Anchor to guide G2-G4 generation and graph edge placement.	Anchor placement is at G1 cell scale; exact G3/G4 position is not yet created.
ha_nov_g1_70_016	Ильмень	geographic_landmark	gn_nov_g1_05_03	nov_g1_05_03	source_backed_corridor	medium	"[""src_nosov_iskos_1984"", ""src_lake_ilmen_params"", ""src_novgorod_wider_context"", ""src_project_g1_architecture"", ""src_project_schema_graph_nodes""]"	Anchor to guide G2-G4 generation and graph edge placement.	Anchor placement is at G1 cell scale; exact G3/G4 position is not yet created.
ha_nov_g1_70_017	Поозерие	geographic_landmark	gn_nov_g1_02_04	nov_g1_02_04	source_backed_rural_zone	medium	"[""src_novgorod_wider_context"", ""src_nosov_iskos_1984"", ""src_project_g1_architecture"", ""src_project_schema_graph_nodes""]"	Anchor to guide G2-G4 generation and graph edge placement.	Anchor placement is at G1 cell scale; exact G3/G4 position is not yet created.
ha_nov_g1_70_018	Новгород	historical_landmark	gn_nov_g1_03_04	nov_g1_03_04	source_backed_anchor	medium_high	"[""src_unesco_novgorod"", ""src_nosov_iskos_1984"", ""src_novgorod_archaeology_waterlogged"", ""src_project_g1_architecture"", ""src_project_schema_graph_nodes""]"	Anchor to guide G2-G4 generation and graph edge placement.	Anchor placement is at G1 cell scale; exact G3/G4 position is not yet created.
ha_nov_g1_70_019	Волхов	geographic_landmark	gn_nov_g1_03_04	nov_g1_03_04	source_backed_anchor	medium_high	"[""src_unesco_novgorod"", ""src_nosov_iskos_1984"", ""src_novgorod_archaeology_waterlogged"", ""src_project_g1_architecture"", ""src_project_schema_graph_nodes""]"	Anchor to guide G2-G4 generation and graph edge placement.	Anchor placement is at G1 cell scale; exact G3/G4 position is not yet created.
ha_nov_g1_70_020	Рюриково городище	historical_landmark	gn_nov_g1_03_04	nov_g1_03_04	source_backed_anchor	medium_high	"[""src_unesco_novgorod"", ""src_nosov_iskos_1984"", ""src_novgorod_archaeology_waterlogged"", ""src_project_g1_architecture"", ""src_project_schema_graph_nodes""]"	Anchor to guide G2-G4 generation and graph edge placement.	Anchor placement is at G1 cell scale; exact G3/G4 position is not yet created.
ha_nov_g1_70_021	Юрьев монастырь	historical_landmark	gn_nov_g1_03_04	nov_g1_03_04	source_backed_anchor	medium_high	"[""src_unesco_novgorod"", ""src_nosov_iskos_1984"", ""src_novgorod_archaeology_waterlogged"", ""src_project_g1_architecture"", ""src_project_schema_graph_nodes""]"	Anchor to guide G2-G4 generation and graph edge placement.	Anchor placement is at G1 cell scale; exact G3/G4 position is not yet created.
ha_nov_g1_70_022	Перынь	historical_landmark	gn_nov_g1_03_04	nov_g1_03_04	source_backed_anchor	medium_high	"[""src_unesco_novgorod"", ""src_nosov_iskos_1984"", ""src_novgorod_archaeology_waterlogged"", ""src_project_g1_architecture"", ""src_project_schema_graph_nodes""]"	Anchor to guide G2-G4 generation and graph edge placement.	Anchor placement is at G1 cell scale; exact G3/G4 position is not yet created.
ha_nov_g1_70_023	Волхов	geographic_landmark	gn_nov_g1_04_04	nov_g1_04_04	source_backed_anchor	medium	"[""src_unesco_novgorod"", ""src_nosov_iskos_1984"", ""src_project_g1_architecture"", ""src_project_schema_graph_nodes""]"	Anchor to guide G2-G4 generation and graph edge placement.	Anchor placement is at G1 cell scale; exact G3/G4 position is not yet created.
ha_nov_g1_70_024	Хутынь как северо-восточный монастырский якорь	historical_landmark	gn_nov_g1_04_04	nov_g1_04_04	source_backed_anchor	medium	"[""src_unesco_novgorod"", ""src_nosov_iskos_1984"", ""src_project_g1_architecture"", ""src_project_schema_graph_nodes""]"	Anchor to guide G2-G4 generation and graph edge placement.	Anchor placement is at G1 cell scale; exact G3/G4 position is not yet created.
ha_nov_g1_70_025	Мста	geographic_landmark	gn_nov_g1_05_04	nov_g1_05_04	source_backed_corridor	medium	"[""src_nosov_iskos_1984"", ""src_lake_ilmen_params"", ""src_project_g1_architecture"", ""src_project_schema_graph_nodes""]"	Anchor to guide G2-G4 generation and graph edge placement.	Anchor placement is at G1 cell scale; exact G3/G4 position is not yet created.
ha_nov_g1_70_026	Волхов	geographic_landmark	gn_nov_g1_04_05	nov_g1_04_05	source_backed_corridor	medium	"[""src_nosov_iskos_1984"", ""src_project_g1_architecture"", ""src_project_schema_graph_nodes""]"	Anchor to guide G2-G4 generation and graph edge placement.	Anchor placement is at G1 cell scale; exact G3/G4 position is not yet created.
ha_nov_g1_70_027	Волхов	geographic_landmark	gn_nov_g1_03_06	nov_g1_03_06	source_backed_corridor	medium	"[""src_nosov_iskos_1984"", ""src_project_g1_architecture"", ""src_project_schema_graph_nodes""]"	Anchor to guide G2-G4 generation and graph edge placement.	Anchor placement is at G1 cell scale; exact G3/G4 position is not yet created.
ha_nov_g1_70_028	Волхов	geographic_landmark	gn_nov_g1_04_06	nov_g1_04_06	source_backed_corridor	medium	"[""src_nosov_iskos_1984"", ""src_project_g1_architecture"", ""src_project_schema_graph_nodes""]"	Anchor to guide G2-G4 generation and graph edge placement.	Anchor placement is at G1 cell scale; exact G3/G4 position is not yet created.
