hh_id,household_type,wealth_band,pf_id,family_pattern_ru,household_pattern_ru,members_estimate_min,members_estimate_max,members_estimate_basis,servants_dependants_ref,kinship_terms_ref,customs_refs,source_refs,confidence,note
hh_occ_nov_occ_princely_service_agent,occupation_linked,high,nov_occ_princely_service_agent,"типовая семья или дом не создаётся автоматически; фиксировать только при сценической нужде, долге, поручительстве или ночлеге",имущество и люди домохозяйства остаются фоном до материализации; полный двор не раскрывать без причины,10,24,same basis as elite (book:622242 §519); high-rank household treated as elite-scale for this estimate,"unspecified (no source for a numeric count; see typical_obligations/typical_debts, occupations TSV, same row, for qualitative dependents)","households_kinship/kinship_terms.csv (closed vocabulary, not linked per-row)","social_norms_honour_hospitality/norms.csv (sn_* rows whose applies_to_roles matches this occupation, not linked per-row)","novgorod_occupations_v1_enriched.tsv#nov_occ_princely_service_agent (status=approved, confidence=medium_high); book:622242 §519 (Новгород и Новгородская земля; археологическое обследование дворов; средняя семья ~6 чел., боярская усадьба в 2,5-4 раза больше)",B,"household_pattern_ru is template text, identical across almost all rows of this TSV (distinct=1) — informational only, not a differentiation signal; members_* columns are the sourced composition estimate."
hh_occ_nov_occ_druzhina_warrior,occupation_linked,high,nov_occ_druzhina_warrior,"типовая семья или дом не создаётся автоматически; фиксировать только при сценической нужде, долге, поручительстве или ночлеге",имущество и люди домохозяйства остаются фоном до материализации; полный двор не раскрывать без причины,10,24,same basis as elite (book:622242 §519); high-rank household treated as elite-scale for this estimate,"unspecified (no source for a numeric count; see typical_obligations/typical_debts, occupations TSV, same row, for qualitative dependents)","households_kinship/kinship_terms.csv (closed vocabulary, not linked per-row)","social_norms_honour_hospitality/norms.csv (sn_* rows whose applies_to_roles matches this occupation, not linked per-row)","novgorod_occupations_v1_enriched.tsv#nov_occ_druzhina_warrior (status=approved, confidence=high); book:622242 §519 (Новгород и Новгородская земля; археологическое обследование дворов; средняя семья ~6 чел., боярская усадьба в 2,5-4 раза больше)",B,"household_pattern_ru is template text, identical across almost all rows of this TSV (distinct=1) — informational only, not a differentiation signal; members_* columns are the sourced composition estimate."
hh_occ_nov_occ_junior_retainer,occupation_linked,middle,nov_occ_junior_retainer,"типовая семья или дом не создаётся автоматически; фиксировать только при сценической нужде, долге, поручительстве или ночлеге",имущество и люди домохозяйства остаются фоном до материализации; полный двор не раскрывать без причины,4,8,"ordinary Novgorod household plot, average family ~6 people (book:622242 §519)","unspecified (no source for a numeric count; see typical_obligations/typical_debts, occupations TSV, same row, for qualitative dependents)","households_kinship/kinship_terms.csv (closed vocabulary, not linked per-row)","social_norms_honour_hospitality/norms.csv (sn_* rows whose applies_to_roles matches this occupation, not linked per-row)","novgorod_occupations_v1_enriched.tsv#nov_occ_junior_retainer (status=usable_with_caution, confidence=medium); book:622242 §519 (Новгород и Новгородская земля; археологическое обследование дворов; средняя семья ~6 чел., боярская усадьба в 2,5-4 раза больше)",B,"household_pattern_ru is template text, identical across almost all rows of this TSV (distinct=1) — informational only, not a differentiation signal; members_* columns are the sourced composition estimate."
hh_occ_nov_occ_gate_guard,occupation_linked,middle,nov_occ_gate_guard,"типовая семья или дом не создаётся автоматически; фиксировать только при сценической нужде, долге, поручительстве или ночлеге",имущество и люди домохозяйства остаются фоном до материализации; полный двор не раскрывать без причины,4,8,"ordinary Novgorod household plot, average family ~6 people (book:622242 §519)","unspecified (no source for a numeric count; see typical_obligations/typical_debts, occupations TSV, same row, for qualitative dependents)","households_kinship/kinship_terms.csv (closed vocabulary, not linked per-row)","social_norms_honour_hospitality/norms.csv (sn_* rows whose applies_to_roles matches this occupation, not linked per-row)","novgorod_occupations_v1_enriched.tsv#nov_occ_gate_guard (status=approved, confidence=medium_high); book:622242 §519 (Новгород и Новгородская земля; археологическое обследование дворов; средняя семья ~6 чел., боярская усадьба в 2,5-4 раза больше)",B,"household_pattern_ru is template text, identical across almost all rows of this TSV (distinct=1) — informational only, not a differentiation signal; members_* columns are the sourced composition estimate."
hh_occ_nov_occ_market_guard,occupation_linked,middle,nov_occ_market_guard,"типовая семья или дом не создаётся автоматически; фиксировать только при сценической нужде, долге, поручительстве или ночлеге",имущество и люди домохозяйства остаются фоном до материализации; полный двор не раскрывать без причины,4,8,"ordinary Novgorod household plot, average family ~6 people (book:622242 §519)","unspecified (no source for a numeric count; see typical_obligations/typical_debts, occupations TSV, same row, for qualitative dependents)","households_kinship/kinship_terms.csv (closed vocabulary, not linked per-row)","social_norms_honour_hospitality/norms.csv (sn_* rows whose applies_to_roles matches this occupation, not linked per-row)","novgorod_occupations_v1_enriched.tsv#nov_occ_market_guard (status=approved, confidence=medium_high); book:622242 §519 (Новгород и Новгородская земля; археологическое обследование дворов; средняя семья ~6 чел., боярская усадьба в 2,5-4 раза больше)",B,"household_pattern_ru is template text, identical across almost all rows of this TSV (distinct=1) — informational only, not a differentiation signal; members_* columns are the sourced composition estimate."
hh_occ_nov_occ_crossing_guard,occupation_linked,middle,nov_occ_crossing_guard,"типовая семья или дом не создаётся автоматически; фиксировать только при сценической нужде, долге, поручительстве или ночлеге",имущество и люди домохозяйства остаются фоном до материализации; полный двор не раскрывать без причины,4,8,"ordinary Novgorod household plot, average family ~6 people (book:622242 §519)","unspecified (no source for a numeric count; see typical_obligations/typical_debts, occupations TSV, same row, for qualitative dependents)","households_kinship/kinship_terms.csv (closed vocabulary, not linked per-row)","social_norms_honour_hospitality/norms.csv (sn_* rows whose applies_to_roles matches this occupation, not linked per-row)","novgorod_occupations_v1_enriched.tsv#nov_occ_crossing_guard (status=usable_with_caution, confidence=medium); book:622242 §519 (Новгород и Новгородская земля; археологическое обследование дворов; средняя семья ~6 чел., боярская усадьба в 2,5-4 раза больше)",B,"household_pattern_ru is template text, identical across almost all rows of this TSV (distinct=1) — informational only, not a differentiation signal; members_* columns are the sourced composition estimate."
hh_occ_nov_occ_toll_dues_collector,occupation_linked,middle,nov_occ_toll_dues_collector,"типовая семья или дом не создаётся автоматически; фиксировать только при сценической нужде, долге, поручительстве или ночлеге",имущество и люди домохозяйства остаются фоном до материализации; полный двор не раскрывать без причины,4,8,"ordinary Novgorod household plot, average family ~6 people (book:622242 §519)","unspecified (no source for a numeric count; see typical_obligations/typical_debts, occupations TSV, same row, for qualitative dependents)","households_kinship/kinship_terms.csv (closed vocabulary, not linked per-row)","social_norms_honour_hospitality/norms.csv (sn_* rows whose applies_to_roles matches this occupation, not linked per-row)","novgorod_occupations_v1_enriched.tsv#nov_occ_toll_dues_collector (status=usable_with_caution, confidence=medium); book:622242 §519 (Новгород и Новгородская земля; археологическое обследование дворов; средняя семья ~6 чел., боярская усадьба в 2,5-4 раза больше)",B,"household_pattern_ru is template text, identical across almost all rows of this TSV (distinct=1) — informational only, not a differentiation signal; members_* columns are the sourced composition estimate."
hh_occ_nov_occ_court_clerk_service,occupation_linked,middle,nov_occ_court_clerk_service,"типовая семья или дом не создаётся автоматически; фиксировать только при сценической нужде, долге, поручительстве или ночлеге",имущество и люди домохозяйства остаются фоном до материализации; полный двор не раскрывать без причины,4,8,"ordinary Novgorod household plot, average family ~6 people (book:622242 §519)","unspecified (no source for a numeric count; see typical_obligations/typical_debts, occupations TSV, same row, for qualitative dependents)","households_kinship/kinship_terms.csv (closed vocabulary, not linked per-row)","social_norms_honour_hospitality/norms.csv (sn_* rows whose applies_to_roles matches this occupation, not linked per-row)","novgorod_occupations_v1_enriched.tsv#nov_occ_court_clerk_service (status=usable_with_caution, confidence=medium); book:622242 §519 (Новгород и Новгородская земля; археологическое обследование дворов; средняя семья ~6 чел., боярская усадьба в 2,5-4 раза больше)",B,"household_pattern_ru is template text, identical across almost all rows of this TSV (distinct=1) — informational only, not a differentiation signal; members_* columns are the sourced composition estimate."
hh_occ_nov_occ_posadnik_household_service,occupation_linked,middle,nov_occ_posadnik_household_service,"типовая семья или дом не создаётся автоматически; фиксировать только при сценической нужде, долге, поручительстве или ночлеге",имущество и люди домохозяйства остаются фоном до материализации; полный двор не раскрывать без причины,4,8,"ordinary Novgorod household plot, average family ~6 people (book:622242 §519)","unspecified (no source for a numeric count; see typical_obligations/typical_debts, occupations TSV, same row, for qualitative dependents)","households_kinship/kinship_terms.csv (closed vocabulary, not linked per-row)","social_norms_honour_hospitality/norms.csv (sn_* rows whose applies_to_roles matches this occupation, not linked per-row)","novgorod_occupations_v1_enriched.tsv#nov_occ_posadnik_household_service (status=usable_with_caution, confidence=medium); book:622242 §519 (Новгород и Новгородская земля; археологическое обследование дворов; средняя семья ~6 чел., боярская усадьба в 2,5-4 раза больше)",B,"household_pattern_ru is template text, identical across almost all rows of this TSV (distinct=1) — informational only, not a differentiation signal; members_* columns are the sourced composition estimate."
hh_occ_nov_occ_tysyatsky_public_order,occupation_linked,high,nov_occ_tysyatsky_public_order,"типовая семья или дом не создаётся автоматически; фиксировать только при сценической нужде, долге, поручительстве или ночлеге",имущество и люди домохозяйства остаются фоном до материализации; полный двор не раскрывать без причины,10,24,same basis as elite (book:622242 §519); high-rank household treated as elite-scale for this estimate,"unspecified (no source for a numeric count; see typical_obligations/typical_debts, occupations TSV, same row, for qualitative dependents)","households_kinship/kinship_terms.csv (closed vocabulary, not linked per-row)","social_norms_honour_hospitality/norms.csv (sn_* rows whose applies_to_roles matches this occupation, not linked per-row)","novgorod_occupations_v1_enriched.tsv#nov_occ_tysyatsky_public_order (status=usable_with_caution, confidence=medium); book:622242 §519 (Новгород и Новгородская земля; археологическое обследование дворов; средняя семья ~6 чел., боярская усадьба в 2,5-4 раза больше)",B,"household_pattern_ru is template text, identical across almost all rows of this TSV (distinct=1) — informational only, not a differentiation signal; members_* columns are the sourced composition estimate."
hh_occ_nov_occ_bishop_court_service,occupation_linked,middle,nov_occ_bishop_court_service,"типовая семья или дом не создаётся автоматически; фиксировать только при сценической нужде, долге, поручительстве или ночлеге",имущество и люди домохозяйства остаются фоном до материализации; полный двор не раскрывать без причины,4,8,"ordinary Novgorod household plot, average family ~6 people (book:622242 §519)","unspecified (no source for a numeric count; see typical_obligations/typical_debts, occupations TSV, same row, for qualitative dependents)","households_kinship/kinship_terms.csv (closed vocabulary, not linked per-row)","social_norms_honour_hospitality/norms.csv (sn_* rows whose applies_to_roles matches this occupation, not linked per-row)","novgorod_occupations_v1_enriched.tsv#nov_occ_bishop_court_service (status=approved, confidence=medium_high); book:622242 §519 (Новгород и Новгородская земля; археологическое обследование дворов; средняя семья ~6 чел., боярская усадьба в 2,5-4 раза больше)",B,"household_pattern_ru is template text, identical across almost all rows of this TSV (distinct=1) — informational only, not a differentiation signal; members_* columns are the sourced composition estimate."
hh_occ_nov_occ_boyar_yard_manager,occupation_linked,middle,nov_occ_boyar_yard_manager,"типовая семья или дом не создаётся автоматически; фиксировать только при сценической нужде, долге, поручительстве или ночлеге",имущество и люди домохозяйства остаются фоном до материализации; полный двор не раскрывать без причины,4,8,"ordinary Novgorod household plot, average family ~6 people (book:622242 §519)","unspecified (no source for a numeric count; see typical_obligations/typical_debts, occupations TSV, same row, for qualitative dependents)","households_kinship/kinship_terms.csv (closed vocabulary, not linked per-row)","social_norms_honour_hospitality/norms.csv (sn_* rows whose applies_to_roles matches this occupation, not linked per-row)","novgorod_occupations_v1_enriched.tsv#nov_occ_boyar_yard_manager (status=usable_with_caution, confidence=medium); book:622242 §519 (Новгород и Новгородская земля; археологическое обследование дворов; средняя семья ~6 чел., боярская усадьба в 2,5-4 раза больше)",B,"household_pattern_ru is template text, identical across almost all rows of this TSV (distinct=1) — informational only, not a differentiation signal; members_* columns are the sourced composition estimate."
hh_occ_nov_occ_long_distance_merchant,occupation_linked,high,nov_occ_long_distance_merchant,"типовая семья или дом не создаётся автоматически; фиксировать только при сценической нужде, долге, поручительстве или ночлеге",имущество и люди домохозяйства остаются фоном до материализации; полный двор не раскрывать без причины,10,24,same basis as elite (book:622242 §519); high-rank household treated as elite-scale for this estimate,"unspecified (no source for a numeric count; see typical_obligations/typical_debts, occupations TSV, same row, for qualitative dependents)","households_kinship/kinship_terms.csv (closed vocabulary, not linked per-row)","social_norms_honour_hospitality/norms.csv (sn_* rows whose applies_to_roles matches this occupation, not linked per-row)","novgorod_occupations_v1_enriched.tsv#nov_occ_long_distance_merchant (status=approved, confidence=medium_high); book:622242 §519 (Новгород и Новгородская земля; археологическое обследование дворов; средняя семья ~6 чел., боярская усадьба в 2,5-4 раза больше)",B,"household_pattern_ru is template text, identical across almost all rows of this TSV (distinct=1) — informational only, not a differentiation signal; members_* columns are the sourced composition estimate."
hh_occ_nov_occ_local_trader,occupation_linked,middle,nov_occ_local_trader,"типовая семья или дом не создаётся автоматически; фиксировать только при сценической нужде, долге, поручительстве или ночлеге",имущество и люди домохозяйства остаются фоном до материализации; полный двор не раскрывать без причины,4,8,"ordinary Novgorod household plot, average family ~6 people (book:622242 §519)","unspecified (no source for a numeric count; see typical_obligations/typical_debts, occupations TSV, same row, for qualitative dependents)","households_kinship/kinship_terms.csv (closed vocabulary, not linked per-row)","social_norms_honour_hospitality/norms.csv (sn_* rows whose applies_to_roles matches this occupation, not linked per-row)","novgorod_occupations_v1_enriched.tsv#nov_occ_local_trader (status=approved, confidence=medium_high); book:622242 §519 (Новгород и Новгородская земля; археологическое обследование дворов; средняя семья ~6 чел., боярская усадьба в 2,5-4 раза больше)",B,"household_pattern_ru is template text, identical across almost all rows of this TSV (distinct=1) — informational only, not a differentiation signal; members_* columns are the sourced composition estimate."
hh_occ_nov_occ_market_stall_seller,occupation_linked,middle,nov_occ_market_stall_seller,"типовая семья или дом не создаётся автоматически; фиксировать только при сценической нужде, долге, поручительстве или ночлеге",имущество и люди домохозяйства остаются фоном до материализации; полный двор не раскрывать без причины,4,8,"ordinary Novgorod household plot, average family ~6 people (book:622242 §519)","unspecified (no source for a numeric count; see typical_obligations/typical_debts, occupations TSV, same row, for qualitative dependents)","households_kinship/kinship_terms.csv (closed vocabulary, not linked per-row)","social_norms_honour_hospitality/norms.csv (sn_* rows whose applies_to_roles matches this occupation, not linked per-row)","novgorod_occupations_v1_enriched.tsv#nov_occ_market_stall_seller (status=usable_with_caution, confidence=medium); book:622242 §519 (Новгород и Новгородская земля; археологическое обследование дворов; средняя семья ~6 чел., боярская усадьба в 2,5-4 раза больше)",B,"household_pattern_ru is template text, identical across almost all rows of this TSV (distinct=1) — informational only, not a differentiation signal; members_* columns are the sourced composition estimate."
hh_occ_nov_occ_merchant_clerk,occupation_linked,middle,nov_occ_merchant_clerk,"типовая семья или дом не создаётся автоматически; фиксировать только при сценической нужде, долге, поручительстве или ночлеге",имущество и люди домохозяйства остаются фоном до материализации; полный двор не раскрывать без причины,4,8,"ordinary Novgorod household plot, average family ~6 people (book:622242 §519)","unspecified (no source for a numeric count; see typical_obligations/typical_debts, occupations TSV, same row, for qualitative dependents)","households_kinship/kinship_terms.csv (closed vocabulary, not linked per-row)","social_norms_honour_hospitality/norms.csv (sn_* rows whose applies_to_roles matches this occupation, not linked per-row)","novgorod_occupations_v1_enriched.tsv#nov_occ_merchant_clerk (status=usable_with_caution, confidence=medium); book:622242 §519 (Новгород и Новгородская земля; археологическое обследование дворов; средняя семья ~6 чел., боярская усадьба в 2,5-4 раза больше)",B,"household_pattern_ru is template text, identical across almost all rows of this TSV (distinct=1) — informational only, not a differentiation signal; members_* columns are the sourced composition estimate."
hh_occ_nov_occ_measurer_weigher,occupation_linked,middle,nov_occ_measurer_weigher,"типовая семья или дом не создаётся автоматически; фиксировать только при сценической нужде, долге, поручительстве или ночлеге",имущество и люди домохозяйства остаются фоном до материализации; полный двор не раскрывать без причины,4,8,"ordinary Novgorod household plot, average family ~6 people (book:622242 §519)","unspecified (no source for a numeric count; see typical_obligations/typical_debts, occupations TSV, same row, for qualitative dependents)","households_kinship/kinship_terms.csv (closed vocabulary, not linked per-row)","social_norms_honour_hospitality/norms.csv (sn_* rows whose applies_to_roles matches this occupation, not linked per-row)","novgorod_occupations_v1_enriched.tsv#nov_occ_measurer_weigher (status=usable_with_caution, confidence=medium); book:622242 §519 (Новгород и Новгородская земля; археологическое обследование дворов; средняя семья ~6 чел., боярская усадьба в 2,5-4 раза больше)",B,"household_pattern_ru is template text, identical across almost all rows of this TSV (distinct=1) — informational only, not a differentiation signal; members_* columns are the sourced composition estimate."
hh_occ_nov_occ_storehouse_keeper,occupation_linked,middle,nov_occ_storehouse_keeper,"типовая семья или дом не создаётся автоматически; фиксировать только при сценической нужде, долге, поручительстве или ночлеге",имущество и люди домохозяйства остаются фоном до материализации; полный двор не раскрывать без причины,4,8,"ordinary Novgorod household plot, average family ~6 people (book:622242 §519)","unspecified (no source for a numeric count; see typical_obligations/typical_debts, occupations TSV, same row, for qualitative dependents)","households_kinship/kinship_terms.csv (closed vocabulary, not linked per-row)","social_norms_honour_hospitality/norms.csv (sn_* rows whose applies_to_roles matches this occupation, not linked per-row)","novgorod_occupations_v1_enriched.tsv#nov_occ_storehouse_keeper (status=approved, confidence=medium_high); book:622242 §519 (Новгород и Новгородская земля; археологическое обследование дворов; средняя семья ~6 чел., боярская усадьба в 2,5-4 раза больше)",B,"household_pattern_ru is template text, identical across almost all rows of this TSV (distinct=1) — informational only, not a differentiation signal; members_* columns are the sourced composition estimate."
hh_occ_nov_occ_debt_account_keeper,occupation_linked,middle,nov_occ_debt_account_keeper,"типовая семья или дом не создаётся автоматически; фиксировать только при сценической нужде, долге, поручительстве или ночлеге",имущество и люди домохозяйства остаются фоном до материализации; полный двор не раскрывать без причины,4,8,"ordinary Novgorod household plot, average family ~6 people (book:622242 §519)","unspecified (no source for a numeric count; see typical_obligations/typical_debts, occupations TSV, same row, for qualitative dependents)","households_kinship/kinship_terms.csv (closed vocabulary, not linked per-row)","social_norms_honour_hospitality/norms.csv (sn_* rows whose applies_to_roles matches this occupation, not linked per-row)","novgorod_occupations_v1_enriched.tsv#nov_occ_debt_account_keeper (status=usable_with_caution, confidence=medium); book:622242 §519 (Новгород и Новгородская земля; археологическое обследование дворов; средняя семья ~6 чел., боярская усадьба в 2,5-4 раза больше)",B,"household_pattern_ru is template text, identical across almost all rows of this TSV (distinct=1) — informational only, not a differentiation signal; members_* columns are the sourced composition estimate."
hh_occ_nov_occ_blacksmith,occupation_linked,middle,nov_occ_blacksmith,"типовая семья или дом не создаётся автоматически; фиксировать только при сценической нужде, долге, поручительстве или ночлеге",имущество и люди домохозяйства остаются фоном до материализации; полный двор не раскрывать без причины,4,8,"ordinary Novgorod household plot, average family ~6 people (book:622242 §519)","unspecified (no source for a numeric count; see typical_obligations/typical_debts, occupations TSV, same row, for qualitative dependents)","households_kinship/kinship_terms.csv (closed vocabulary, not linked per-row)","social_norms_honour_hospitality/norms.csv (sn_* rows whose applies_to_roles matches this occupation, not linked per-row)","novgorod_occupations_v1_enriched.tsv#nov_occ_blacksmith (status=approved, confidence=high); book:622242 §519 (Новгород и Новгородская земля; археологическое обследование дворов; средняя семья ~6 чел., боярская усадьба в 2,5-4 раза больше)",B,"household_pattern_ru is template text, identical across almost all rows of this TSV (distinct=1) — informational only, not a differentiation signal; members_* columns are the sourced composition estimate."
hh_occ_nov_occ_carpenter,occupation_linked,middle,nov_occ_carpenter,"типовая семья или дом не создаётся автоматически; фиксировать только при сценической нужде, долге, поручительстве или ночлеге",имущество и люди домохозяйства остаются фоном до материализации; полный двор не раскрывать без причины,4,8,"ordinary Novgorod household plot, average family ~6 people (book:622242 §519)","unspecified (no source for a numeric count; see typical_obligations/typical_debts, occupations TSV, same row, for qualitative dependents)","households_kinship/kinship_terms.csv (closed vocabulary, not linked per-row)","social_norms_honour_hospitality/norms.csv (sn_* rows whose applies_to_roles matches this occupation, not linked per-row)","novgorod_occupations_v1_enriched.tsv#nov_occ_carpenter (status=approved, confidence=high); book:622242 §519 (Новгород и Новгородская земля; археологическое обследование дворов; средняя семья ~6 чел., боярская усадьба в 2,5-4 раза больше)",B,"household_pattern_ru is template text, identical across almost all rows of this TSV (distinct=1) — informational only, not a differentiation signal; members_* columns are the sourced composition estimate."
hh_occ_nov_occ_cooper,occupation_linked,middle,nov_occ_cooper,"типовая семья или дом не создаётся автоматически; фиксировать только при сценической нужде, долге, поручительстве или ночлеге",имущество и люди домохозяйства остаются фоном до материализации; полный двор не раскрывать без причины,4,8,"ordinary Novgorod household plot, average family ~6 people (book:622242 §519)","unspecified (no source for a numeric count; see typical_obligations/typical_debts, occupations TSV, same row, for qualitative dependents)","households_kinship/kinship_terms.csv (closed vocabulary, not linked per-row)","social_norms_honour_hospitality/norms.csv (sn_* rows whose applies_to_roles matches this occupation, not linked per-row)","novgorod_occupations_v1_enriched.tsv#nov_occ_cooper (status=usable_with_caution, confidence=medium); book:622242 §519 (Новгород и Новгородская земля; археологическое обследование дворов; средняя семья ~6 чел., боярская усадьба в 2,5-4 раза больше)",B,"household_pattern_ru is template text, identical across almost all rows of this TSV (distinct=1) — informational only, not a differentiation signal; members_* columns are the sourced composition estimate."
hh_occ_nov_occ_leatherworker,occupation_linked,middle,nov_occ_leatherworker,"типовая семья или дом не создаётся автоматически; фиксировать только при сценической нужде, долге, поручительстве или ночлеге",имущество и люди домохозяйства остаются фоном до материализации; полный двор не раскрывать без причины,4,8,"ordinary Novgorod household plot, average family ~6 people (book:622242 §519)","unspecified (no source for a numeric count; see typical_obligations/typical_debts, occupations TSV, same row, for qualitative dependents)","households_kinship/kinship_terms.csv (closed vocabulary, not linked per-row)","social_norms_honour_hospitality/norms.csv (sn_* rows whose applies_to_roles matches this occupation, not linked per-row)","novgorod_occupations_v1_enriched.tsv#nov_occ_leatherworker (status=approved, confidence=medium_high); book:622242 §519 (Новгород и Новгородская земля; археологическое обследование дворов; средняя семья ~6 чел., боярская усадьба в 2,5-4 раза больше)",B,"household_pattern_ru is template text, identical across almost all rows of this TSV (distinct=1) — informational only, not a differentiation signal; members_* columns are the sourced composition estimate."
hh_occ_nov_occ_shoemaker,occupation_linked,middle,nov_occ_shoemaker,"типовая семья или дом не создаётся автоматически; фиксировать только при сценической нужде, долге, поручительстве или ночлеге",имущество и люди домохозяйства остаются фоном до материализации; полный двор не раскрывать без причины,4,8,"ordinary Novgorod household plot, average family ~6 people (book:622242 §519)","unspecified (no source for a numeric count; see typical_obligations/typical_debts, occupations TSV, same row, for qualitative dependents)","households_kinship/kinship_terms.csv (closed vocabulary, not linked per-row)","social_norms_honour_hospitality/norms.csv (sn_* rows whose applies_to_roles matches this occupation, not linked per-row)","novgorod_occupations_v1_enriched.tsv#nov_occ_shoemaker (status=approved, confidence=medium_high); book:622242 §519 (Новгород и Новгородская земля; археологическое обследование дворов; средняя семья ~6 чел., боярская усадьба в 2,5-4 раза больше)",B,"household_pattern_ru is template text, identical across almost all rows of this TSV (distinct=1) — informational only, not a differentiation signal; members_* columns are the sourced composition estimate."
hh_occ_nov_occ_potter,occupation_linked,middle,nov_occ_potter,"типовая семья или дом не создаётся автоматически; фиксировать только при сценической нужде, долге, поручительстве или ночлеге",имущество и люди домохозяйства остаются фоном до материализации; полный двор не раскрывать без причины,4,8,"ordinary Novgorod household plot, average family ~6 people (book:622242 §519)","unspecified (no source for a numeric count; see typical_obligations/typical_debts, occupations TSV, same row, for qualitative dependents)","households_kinship/kinship_terms.csv (closed vocabulary, not linked per-row)","social_norms_honour_hospitality/norms.csv (sn_* rows whose applies_to_roles matches this occupation, not linked per-row)","novgorod_occupations_v1_enriched.tsv#nov_occ_potter (status=approved, confidence=medium_high); book:622242 §519 (Новгород и Новгородская земля; археологическое обследование дворов; средняя семья ~6 чел., боярская усадьба в 2,5-4 раза больше)",B,"household_pattern_ru is template text, identical across almost all rows of this TSV (distinct=1) — informational only, not a differentiation signal; members_* columns are the sourced composition estimate."
hh_occ_nov_occ_weaver_cloth_worker,occupation_linked,middle,nov_occ_weaver_cloth_worker,"типовая семья или дом не создаётся автоматически; фиксировать только при сценической нужде, долге, поручительстве или ночлеге",имущество и люди домохозяйства остаются фоном до материализации; полный двор не раскрывать без причины,4,8,"ordinary Novgorod household plot, average family ~6 people (book:622242 §519)","unspecified (no source for a numeric count; see typical_obligations/typical_debts, occupations TSV, same row, for qualitative dependents)","households_kinship/kinship_terms.csv (closed vocabulary, not linked per-row)","social_norms_honour_hospitality/norms.csv (sn_* rows whose applies_to_roles matches this occupation, not linked per-row)","novgorod_occupations_v1_enriched.tsv#nov_occ_weaver_cloth_worker (status=usable_with_caution, confidence=medium); book:622242 §519 (Новгород и Новгородская земля; археологическое обследование дворов; средняя семья ~6 чел., боярская усадьба в 2,5-4 раза больше)",B,"household_pattern_ru is template text, identical across almost all rows of this TSV (distinct=1) — informational only, not a differentiation signal; members_* columns are the sourced composition estimate."
