lc_id,species_ref,season_period,housing,fodder,water,care_tasks_daily,care_tasks_seasonal,products_in_season,risks,region_id,source_refs,confidence,status
lc_cattle__winter,fa_dom_cattle,winter,хлев (стойловое содержание 6–7 месяцев),"сено; при нехватке мякина, овсяная и ячменная солома",поить из проруби или колодца,"задать корм, напоить, подоить, убрать навоз, подстелить",учёт сена до весны; отёл в конце зимы (C),"молоко (мало), навоз","нехватка сена, сырое сено греется, плесень в корме, спёртый воздух хлева",novgorod_land,src:kochin-1965-agriculture;claim:practical-fodder-hay;claim:macro-b17-high-moisture-stored-hay-can-heat-and-become-a-smoulder-fire-risk;claim:static-ruminant-feed-b11-some-feed-molds-can-produce-mycotoxins-with-animal-dependent-effects;claim:r7-poorly-ventilated-animal-housing-can-have-irritating-air-from-manure-and-urine,B,candidate
lc_cattle__spring_rasputitsa,fa_dom_cattle,spring_rasputitsa,"хлев, затем первый выгон","остатки сена, солома; первая трава","талая вода, река","поить, доить, отделять телят",выгон на поскотину (в поздней традиции — Егорьев день 23 апреля); скот выходит отощавшим,"молоко растёт, телята","истощение после зимы, распутица на прогоне",novgorod_land,src:kochin-1965-agriculture;src:korotkova-byt;claim:macro-b1819-cow-calf-separation-is-a-stressful-transition-and-context-can-moderate-added-stress,C,candidate
lc_cattle__summer,fa_dom_cattle,summer,"поскотина днём, двор или хлев ночью","пастбище, поскотина, телятник для телят","река, ручей","утром выгнать по прогону, вечером загнать и подоить; закуп отвечает, если не загнал и не запер",сенокос; огораживание полей и поскотин,"молоко, масло, сыр, творог","слепни и мошка, потрава посевов, волки",novgorod_land,src:kochin-1965-agriculture;src:russkaya-pravda-prostrannaya;claim:residual-law-zakup-loss-context;claim:macro-b1819-blood-feeding-flies-can-provoke-defensive-behavior-in-cattle;claim:place-milk-acid-or-enzymic-coagulation-can-form-curd,B,candidate
lc_cattle__autumn,fa_dom_cattle,autumn,"пастьба до холодов, затем хлев","отава и жнивьё (C), затем сено",река,"пасти, загонять, доить","решение, сколько голов зимовать при запасе сена; осенний забой (C)","мясо, шкуры, сало",нехватка сена ведёт к забою,novgorod_land,src:kochin-1965-agriculture;claim:practical-season-work,C,candidate
lc_horse__winter,fa_dom_horse,winter,хлев или конюшня,сено; овёс по достатку,поить,"кормить, поить, чистить копыта, осматривать под упряжью","зимние перевозки на санях, извоз",работа (сани),колики при резкой смене корма; потёртости упряжью,novgorod_land,claim:fodder-healthy-horse-forage;claim:static-abrupt-equine-diet-change-can-increase-colic-risk;claim:place-basic-equine-hoof-cleaning-can-remove-debris-around-the-frog;claim:reality-batch-01-horse-harness-contact-can-be-observed-for-rub-or-displacement;claim:static-straw-is-a-traditional-horse-bedding-source,B,candidate
lc_horse__spring_rasputitsa,fa_dom_horse,spring_rasputitsa,"хлев, затем выгон","сено, первая трава",река,"кормить, осматривать",пахота и боронование,работа (пахота),истощение после зимы; распутица,novgorod_land,src:kochin-1965-agriculture;claim:fodder-healthy-horse-forage,C,candidate
lc_horse__summer,fa_dom_horse,summer,пастьба; ночное (ночная пастьба — поздняя этнография),пастбище,река,после работы остудить постепенно и осмотреть,"сенокос и возка сена, жатва",работа,"перегрев на работе, слепни, пугливость",novgorod_land,claim:macro-b20-a-worked-horse-needs-gradual-cooling-and-observation-before-return-to-rest-or-work;claim:static-animal-b06-heat-humidity-work-and-transport-contextualize-equine-heat-strain-signs;src:korotkova-byt;src:kochin-1965-agriculture,B,candidate
lc_horse__autumn,fa_dom_horse,autumn,пастьба до снега,"отава, сено",река,"кормить, осматривать копыта","вывоз снопов, молотьба, осенние поездки",работа,распутица,novgorod_land,claim:place-equine-feet-bear-weight-absorb-shock-and-provide-traction;claim:practical-season-work,C,candidate
lc_pig__winter,fa_dom_pig,winter,хлев,"отходы кухни, мякина, отруби (C)",поить,"кормить, убирать",опорос (C),—,холод поросятам,novgorod_land,claim:livestock-swine-comparative-diet;src:korotkova-byt,C,candidate
lc_pig__summer,fa_dom_pig,summer,"выпас во дворе, на выгоне, у леса","отходы, трава, корни (C)","лужи, река","выгонять, загонять",—,—,потрава огородов,novgorod_land,claim:livestock-swine-comparative-diet;src:russkaya-pravda-prostrannaya,C,candidate
