id	slug	title	summary	route_kind	default_edge_type	surface_type	requires_landscape_template	requires_water_body_template	supports_pedestrian	supports_horse	supports_cart	supports_sled	supports_boat	seasonal_availability	default_access_rule	default_orientation_difficulty	default_risk_level	default_movement_multiplier	game_use	limits	status	confidence	sources	audit_notes
rt_major_road	major_road	Большая сухопутная дорога	Устойчивый сухопутный путь между крупными местами, торгами, погостами, городами или региональными направлениями.	road	road	утоптанная земля, колея, местами настил или мощение	True	False	True	True	True	True	False	all_year_but_condition_depends_on_season	Открытость, пошлины, стража и запреты задаются конкретным graph_edge.	easy	low	1.0	Использовать для значимого сухопутного ребра G1/G2 или части дальнего G0/G1 направления.	Не означает безопасность, охрану, постоялый двор или хорошее состояние; конкретика хранится в graph_edges, modifiers и историческом слое.	draft	medium	[]	Очищено: универсальный шаблон без региональной конкретики.
rt_local_road	local_road	Местная дорога	Обычная дорога между близкими поселениями, погостом, дворами, пашнями, бродом, лесным станом или хозяйственным узлом.	road	road	грунт, колея, утоптанная земля	True	False	True	True	True	True	False	all_year_but_bad_in_mud	Обычно известна местным; чужаку может требоваться расспрос или ориентир.	ordinary	low	1.2	Использовать для обычных сухопутных связей внутри G1/G2.	Не делать магистралью и не выводить из неё торговлю, стражу или поселение автоматически.	draft	medium	[]	Очищено: универсальный шаблон без региональной конкретики.
rt_path	path	Тропа	Узкий устойчивый пеший путь между близкими внешними узлами: деревней, лесным участком, покосом, берегом, бродом или соседним местом.	path	path	тропа, трава, корни, земля, камни по среде	True	False	True	False	False	False	False	season_and_visibility_dependent	Обычно понятна местным; может быть плохо видна чужаку, в снегу или зарослях.	ordinary	medium	1.5	Использовать для малых межузловых ходов G2, реже G1.	Не использовать для проходов внутри двора, ворот, улиц, комнат и сценических точек G4/G5.	draft	medium	[]	Очищено: объединены footpath/hunting_path/animal_track как частные случаи, не отдельные шаблоны.
rt_forest_track	forest_track	Лесной ход	Устойчивый ход через лес: старая лесная дорога, просека, промысловый след или хозяйственный проезд.	forest_track	forest_track	лесная подстилка, корни, грязь, валежник	True	False	True	True	False	True	False	all_year_but_hard_after_windfall_or_thaw	Часто известен местным, охотникам, бортникам, лесным людям; чужаку нужна осторожность.	hard	medium	1.8	Использовать для ребра через лес, когда есть устойчивый ход, а не чистое движение напрямик.	Не заменяет forest landscape_template; лесная среда задаётся ландшафтом, а этот шаблон задаёт наличие хода.	draft	medium	[]	Очищено: оставлен только edge_type forest_track.
rt_offroad_crossing	offroad_crossing	Переход без дороги	Движение между узлами без устойчивой дороги, тропы или хода; среда берётся из landscape_template_id ребра.	offroad	offroad_crossing	нет устойчивого покрытия; поверхность задаётся ландшафтом	True	False	True	True	False	False	False	depends_on_landscape_season_weather	Доступность зависит от среды, сезона, груза, знания пути и проверки ориентирования.	hard	medium	2.0	Использовать для G1/G2 перехода без дороги; конкретный тип среды задаётся landscape_template_id.	Не плодить отдельные dry/forest/wetland/snow offroad templates; это модификаторы ландшафта, сезона и погоды.	draft	medium	[]	Очищено: объединены все offroad-варианты в один шаблон.
rt_winter_road	winter_road	Зимник	Сезонный путь по снегу, мерзлой земле, льду или промёрзшей топи, доступный только при подходящей зиме.	winter_road	winter_road	снег, лёд, мерзлая земля, наст	True	False	True	True	False	True	False	winter_only; unsafe_in_thaw	Открыт только при устойчивом зимнем состоянии; оттепель, тонкий лёд и метель задаются conditions/modifiers.	ordinary	medium	1.1	Использовать для сезонных сухопутных зимних связей G1/G2.	Не создавать отдельные ледовые дороги по каждой реке; ледовый переход задаётся graph_edge + water_body + seasonal_rule.	draft	medium	[]	Очищено: sled_track/winter_river/frozen_bog сведены к одному зимнику или к сезонным правилам ребра.
rt_ford	ford	Брод	Конкретное место перехода через водный объект по мелководью или твёрдому дну.	ford	ford	вода, камни, песок, ил или твёрдое дно	False	True	True	True	True	False	False	best_in_low_water; dangerous_in_flood_ice_or_dark	Доступность зависит от уровня воды, дна, течения, сезона и груза.	ordinary	medium	1.4	Использовать как graph_edge ford через water_body_template_id.	Не выводить наличие брода из любой реки автоматически; нужен конкретный участок/ребро. Риск задаётся graph_edge.	draft	medium	[]	Очищено: shallow/dangerous ford объединены; опасность хранится в graph_edge.
rt_ferry	ferry	Перевоз / паром	Организованная или местная переправа через воду с помощью лодки, плота или парома.	ferry	ferry	водная переправа; лодка, плот или паром	False	True	True	False	False	False	True	open_water_season; may_be_replaced_by_winter_crossing	Требует перевозчика, лодку или доступ к месту; плата и контроль задаются конкретным edge/place.	ordinary	medium	1.5	Использовать как graph_edge ferry через реку, протоку, озёрный участок или залив.	Не означает постоянный сервис; расписание, владелец, цена и доступ — не часть шаблона.	draft	medium	[]	Очищено: оставлен один общий тип переправы.
rt_bridge	bridge	Мост	Устойчивая переправа через воду, овраг или топкое место. Материал и состояние задаются конкретным ребром.	bridge	bridge	настил, брёвна, камень или смешанная конструкция	False	True	True	True	True	True	False	all_year_if_intact; flood_or_ice_can_damage	Доступен, если цел и не закрыт; несущая способность задаётся graph_edge.	none	low	1.0	Использовать как graph_edge bridge для переправы через water_body_template_id или препятствие.	Не делить в этой таблице на деревянный/каменный; материал, редкость и состояние относятся к конкретному мосту.	draft	medium	[]	Очищено: timber/stone bridge объединены.
rt_river_route	river_route	Речной путь	Движение по реке на лодке, судне, плоту или ином водном средстве.	water_route	river	вода; течение и русло задаются water_body_template	False	True	False	False	False	False	True	open_water_season; flood_ice_low_water_modify	Требует подходящего судна, навыка, воды и доступа к берегу/пристани.	ordinary	medium	1.0	Использовать для graph_edge river с water_body_template_id.	Не задаёт конкретную реку, пристань, фарватер или безопасность; это хранится в graph_edges и water_body_templates.	draft	medium	[]	Очищено: не делить на дельтовый/болотный/сплавной путь в общем справочнике.
