tool_ref,name_ru,used_by,source_refs,confidence,note,status
tool:hands,голыми руками,nm_clay|nm_sand|nm_gravel_pebbles|nm_boulders_fieldstone|nm_bog_iron_ore|nm_river_silt|nm_osmol_resinous_stumps|nm_deadwood|nm_dry_brushwood|nm_driftwood|nm_moss|nm_spruce_roots|nm_water,editorial,A,без инструмента,candidate_proposal_for_craft_tools_gear
tool:axe,топор,nm_birch_bark|nm_lime_bast|nm_tree_bark|nm_pine_resin|nm_osmol_resinous_stumps|nm_deadwood|nm_dry_brushwood|nm_driftwood|nm_willow_rods|nm_water,wk:claim:population-woodwork-axe,A,,candidate_proposal_for_craft_tools_gear
tool:knife,нож,nm_peat|nm_birch_bark|nm_lime_bast|nm_tree_bark|nm_pine_resin|nm_dry_brushwood|nm_reeds|nm_sedge_grass|nm_willow_rods|nm_spruce_roots,master-archive-v1/data/normalized_source_tables/material_entities/material_entities.csv,A,бытовой железный нож,candidate_proposal_for_craft_tools_gear
tool:sickle,серп,nm_reeds|nm_sedge_grass|nm_willow_rods,wk:claim:harvest-sickle-crops-grasses,A,,candidate_proposal_for_craft_tools_gear
tool:scythe,коса,nm_sedge_grass,"Колчин Б.А. Черная металлургия и металлообработка в древней Руси (домонгольский период) // МИА 32. М., 1953. https://archaeolog.ru/el-bib/el-cat/el-series/mia/kolchin-1953",B,коса-горбуша/литовка: тип для 1230 уточнить в craft_tools_gear,candidate_proposal_for_craft_tools_gear
tool:zastup_ironshod,заступ (деревянная лопата с железной оковкой),nm_clay|nm_sand|nm_gravel_pebbles|nm_bog_iron_ore|nm_peat|nm_river_silt|nm_spruce_roots,"Колчин Б.А. Черная металлургия и металлообработка в древней Руси (домонгольский период) // МИА 32. М., 1953. https://archaeolog.ru/el-bib/el-cat/el-series/mia/kolchin-1953",B,оковки лопат — в обзоре Колчина; страница не перечитана,candidate_proposal_for_craft_tools_gear
tool:lever_pole,"вага, кол-рычаг",nm_boulders_fieldstone,editorial,C,,candidate_proposal_for_craft_tools_gear
tool:wedges_and_hammer,клинья и молот,nm_limestone_slab,editorial,C,для раскалывания плитняка,candidate_proposal_for_craft_tools_gear
tool:iron_pick_or_crowbar,кирка или железный лом,nm_limestone_slab,editorial,C,наличие типа в 1230 проверить в craft_tools_gear,candidate_proposal_for_craft_tools_gear
tool:sledge_or_cart,сани или телега,nm_boulders_fieldstone|nm_limestone_slab,wk:claim:population-wood-sledge|wk:claim:population-wood-cart,A,,candidate_proposal_for_craft_tools_gear
tool:container_basket_or_box,"короб, корзина или мешок",nm_clay|nm_sand|nm_gravel_pebbles|nm_bog_iron_ore|nm_peat|nm_moss,wk:claim:household-bark-tues,B,,candidate_proposal_for_craft_tools_gear
tool:container_bucket_or_vessel,"ведро, кадь, горшок",nm_river_silt|nm_pine_resin|nm_water,master-archive-v1/data/normalized_source_tables/material_entities/material_entities.csv,A,,candidate_proposal_for_craft_tools_gear
tool:soaking_place,место для вымачивания (вода),nm_lime_bast,wk:claim:place-adhesive-linden-bast-soaking-can-support-separation-and-flexible-handling,B,"не инструмент, а условие процесса",candidate_proposal_for_craft_tools_gear
