table_name,group,required_for_mvp,purpose,source_basis,notes
party_state,core,yes,"One saved game/party state: current historical frame, current game time, global hidden state and summaries.",read_only_database_and_graph_architecture.md §2.2; time_system.txt,
party_player_characters,core,yes,Player character profile and mutable body/knowledge/inventory state.,player_character_generation.txt; character_parameters.txt,
party_graph_nodes,graph,yes,"Materialized or changed graph nodes in a party. Canonical nodes are referenced by ID, but party state owns changes.",read_only_database_and_graph_architecture.md §14.1,
party_graph_edges,graph,yes,"Mutable routes and links in the current party: opened, blocked, changed, or discovered edges.",read_only_database_and_graph_architecture.md §14.2; movement_locations_regions.txt,
party_places,places,yes,"Materialized places in the party, canonical or LLM-created with approved cause.",world_generation_and_turns.txt; movement_locations_regions.txt,
party_locations,places,yes,Materialized locations inside a place.,movement_locations_regions.txt; world_generation_and_turns.txt,
party_minilocations,places,yes,Exact scenic zones inside a location.,movement_locations_regions.txt; world_generation_and_turns.txt,
party_scene_anchors,places,yes,"Scene anchor points: door, chest, cart, well, fire, gate.",movement_locations_regions.txt; items_and_property.txt,
party_current_position,core,yes,"Current technical position: region -> place -> location -> minilocation -> scene anchor, plus last route.",movement_locations_regions.txt §1; world_generation_and_turns.txt,
party_map_knowledge,graph,yes,"Map knowledge of a character, separate from factual party graph.",read_only_database_and_graph_architecture.md §14.3; movement_locations_regions.txt visible/factual map,
party_route_journal,graph,yes,Travel history and consequences for movement.,read_only_database_and_graph_architecture.md §14.4; movement_locations_regions.txt,
party_npcs,actors,yes,"Materialized NPCs and groups with profile depth: background, scene, key.",npc_generation_profiles.txt,
party_items,items,yes,Materialized significant items and containers. Player request never creates items without causal basis.,items_and_property.txt; character_inventory_equipment.txt; npc_inventory_item_marks.txt,
party_inventory_entries,items,yes,Inventory/access index for carried or controlled items; separates owner from physical holder.,character_inventory_equipment.txt; npc_inventory_item_marks.txt,
party_events,events,yes,Materialized historical/local/deferred events and consequences in the current party.,time_system.txt; historical_events_and_figures.txt,
party_turns,logs,yes,"Processed player turns: input, intent, time cost, visible result and hidden updates.",llm_agent_prompt_templates.md main turn pipeline; time_system.txt,
party_journal_entries,logs,yes,"Party memory: important facts, rumors, obligations, discoveries and visible history.",interface_ux.md journal; information_sources_llm_prompts.md information layers,
party_llm_steps,logs,optional,"LLM step provenance: generated content, validation status, repair lineage. Does not expose hidden prompts to player UI.",world_generation_and_turns.txt no silent placeholders; llm_agent_prompt_templates.md,
party_validation_issues,logs,optional,"Structured validation/audit issues found during generation, import, or turn processing.",world_generation_and_turns.txt repair/audit rule,
