fa_id,name_ru,name_ru_alt,name_lat,name_en,class,order,group,category_ref,scope,region_scope,base_frequency_class,base_frequency_basis,presence_1230_confidence,historical_evidence,activity_time,dormant_seasons,season_winter,season_spring,season_summer,season_autumn,rut_period,moult,winter_coat,signs_tracks,signs_droppings,signs_feeding,signs_dens_nests,signs_sounds,signs_smell,behaviour_to_humans,danger_level,products,hunting_methods,hunting_method_refs,wk_refs,habitats,source_refs,confidence,notes,status
fa_m_elk,Лось,"лось, сохатый (народн.)",Alces alces,Elk (moose),Mammalia,Artiodactyla,ungulate,fauna.mammal.ungulate.elk,universal_taxon,novgorod_land,common,Most frequent wild ungulate in Novgorod bone assemblages (one of three most frequent wild mammals); modern common game (SRC_VALDAY_NP),A,"Кости лося — среди трёх самых частых диких млекопитающих Новгорода; ~0,2% определимых костей, треть с порезами, спилы рогов (SRC_HDBM2017, SRC_ELK_RUS2025); лосиные шкуры в берестяных грамотах (SRC_RYBINA2015)",crepuscular,,"держится в густых молодняках и ельниках, объедает побеги и кору осины, сосны, ивы; в глубокий снег малоподвижен; зимой могут держаться группами","в мае–июне отёл в укромных сырых местах; линяет, старые рога сброшены ещё зимой","кормится у воды и в воде (водные растения), спасается от гнуса в воде и на ветру; у быков растут рога в бархате","гон сентябрь–октябрь: быки ревут, ломают кусты, бьют рогами деревья; очищают рога",сентябрь–октябрь,весна,зимой шерсть длиннее и светлее,"крупные парные раздвоенные следы копыт до 15 см, глубокая борозда в снегу, тропы к водопою","крупные продолговатые орешки зимой (из коры и веток), летом — лепёшки","скусанные на высоте груди побеги, «задиры» — ободранная зубами кора осины, обломанные вершинки молодых сосёнок",лёжки — протаявшие ямы в снегу под елями,осенний глухой стонущий рёв быка; треск сучьев; фырканье,у лёжек и мочевых луж на гону — резкий запах,"обычно уходит; самка с телёнком и бык на гону могут атаковать, бьют передними копытами",moderate,meat;hide;antler;bone;sinew,"загон к стрелкам и в засеки, ямы-ловушки на тропах, рогатина; зимой по насту на лыжах",n1230:material_item:hnt0003;n1230:material_item:hnt0002;n1230:material_item:hnt0005;n1230:material_item:hnt0026,wk:biology_physiology:fauna-moose;claim:fauna-mammals-moose-crepuscular-seasonal-movement;claim:fauna-mammals-moose-defensive-antlers-hooves;claim:fauna-mammals-moose-browse-aquatic-forage,"mixed:c,conif:c,bog:c,stream:c,edge:c,broad:m,flood:m,lake:m,bank:m,river:m",SRC_HDBM2017;SRC_ELK_RUS2025;SRC_RYBINA2015;SRC_MASTER_FOOD#ING0115;SRC_VOLOGDA_MAMM,B,,candidate
fa_m_wild_boar,Кабан,вепрь (др.-рус.),Sus scrofa,Wild boar,Mammalia,Artiodactyla,ungulate,fauna.mammal.ungulate.wild_boar,universal_taxon,novgorod_land,rare,"Northern range edge; in NW Russia boar vanished by XIX c. and returned in XX c. (modern ""common"" at Valday reflects recolonisation) -> rare for 1230",C,"MASTER ING0117 (мясо дикого кабана, B, отсылка к SRC040 — общая зооархеология); прямой находки в прочитанных источниках нет",nocturnal,,"держится табунками в хвойно-лиственных крепях, в глубокий снег страдает, подходит к нераскопанным полям",поросята (полосатые) в апреле–мае в гайнах,"купается в грязевых ваннах, роет пойменные луга",жирует на желудях и корнях; секачи набирают калкан,ноябрь–декабрь,весна,зимой густая щетина с пухом,"следы с отпечатками боковых копыт (подвесков), широкая постановка",крупные кучки из сросшихся комков,"перерытая земля пластами («порои»), выкопанные корни","гайно из наломанных веток и травы; «чесалки» — стволы, натёртые грязью","хрюканье, резкое «фрук» при тревоге, визг поросят",у грязевых ванн — резкий свиной запах,уходит; раненый секач и самка с поросятами опасны,high,meat;hide;fat;bristle;tusks,"облава с собаками, рогатина",n1230:material_item:hnt0005;n1230:material_item:hnt0012,wk:biology_physiology:fauna-wild-boar;claim:fauna-mammals-wild-boar-grubbing-soil-disturbance;claim:fauna-mammals-wild-boar-group-offspring-protection,"broad:c,mixed:c,edge:m,flood:m,stream:m,field:m",SRC_MASTER_FOOD#ING0117;SRC_VALDAY_NP;SRC_WK_FAUNA,B,"Range doubt for 1230: keep rare, confidence C; verify with Novgorod bone lists (GAP)",candidate
fa_m_roe_deer,Косуля,дикая коза (народн.),Capreolus capreolus,Roe deer,Mammalia,Artiodactyla,ungulate,fauna.mammal.ungulate.roe_deer,universal_taxon,novgorod_land,rare,"Modern Red Book species of Novgorod oblast, rare in adjacent Vologda (2 skins 1953, SRC_VOLOGDA_MAMM); northern range edge sensitive to snow",C,Прямых новгородских находок в прочитанных источниках нет,crepuscular,,"собирается у кормных мест, выкапывает лёжки в снегу; в многоснежные зимы гибнет",в мае–июне рождаются пятнистые косулята,рыжая шерсть; держится в кустарниках опушек,серо-бурый зимний мех,июль–август,весна и осень,"зимой серо-бурая, летом рыжая",маленькие узкие парные следы копыт 4–5 см,мелкие чёрные орешки кучкой,обкусанные почки и побеги кустарников,"лёжки, выкопанные в снегу до земли",отрывистый лающий крик тревоги,,"пуглива, уходит прыжками",none,meat;hide,"засады у троп, петли",n1230:material_item:hnt0003;n1230:material_item:hnt0008,wk:biology_physiology:fauna-roe-deer;claim:fauna-mammals-roe-deer-seasonal-grouping,"broad:c,edge:c,mixed:m,flood:m,hay:m,field:m",SRC_VOLOGDA_MAMM;SRC_VALDAY_NP;SRC_WK_FAUNA,B,Range doubt for 1230,candidate
fa_m_reindeer,Северный олень (лесной),"олень, дикий олень",Rangifer tarandus fennicus,Wild forest reindeer,Mammalia,Artiodactyla,ungulate,fauna.mammal.ungulate.reindeer,universal_taxon,novgorod_land,rare,Wild forest reindeer extinct in the Novgorod area in modern times; covered in SRC_VOLOGDA_MAMM as northern species; in 1230 plausible only in large bog-forest tracts,C,«Оленьи шкуры» в новгородских берестяных грамотах (SRC_RYBINA2015) — не различают оленя дикого и привозного,cathemeral,,"копытит снег, добывая ягель на борах и болотах; держится стадами",отёл в мае,"на обширных болотах, спасаясь от гнуса",гон в октябре,октябрь,один раз в год (лето),зимой светлый густой мех,округлые широкие отпечатки копыт с далеко расставленными боковыми,орешки,копанки в снегу до ягеля,,"хрюкающее похоркивание, щёлканье суставов на ходу",,"осторожен, уходит стадом",low,meat;hide;antler,"загон, засады на переходах",n1230:material_item:hnt0003;n1230:material_item:hnt0026,,"bog:c,conif:c,mixed:m",SRC_VOLOGDA_MAMM;SRC_RYBINA2015,B,Only for remote northern/eastern bog-forest parts; not near the city,candidate
fa_m_brown_bear,Бурый медведь,"медведь, «хозяин» (табуир.)",Ursus arctos,Brown bear,Mammalia,Carnivora,large_predator,fauna.mammal.large_predator.brown_bear,universal_taxon,novgorod_land,contextual,Modern: present but less frequent than fox/elk (Valday); bear claws in Novgorod bones (fur) -> contextual,A,Медвежьи когти в костных сборах Новгорода (шкуры) (SRC_HDBM2017); медвежьи шкуры в грамотах (SRC_RYBINA2015),crepuscular,winter,"спит в берлоге под выворотнем, в ельнике или на болотном острове (ноябрь–март/апрель); медвежата рождаются в берлоге","выходит тощим, ест прошлогоднюю клюкву, падаль, муравьёв; опасен, если голоден","травы, ягоды, муравейники, иногда скот на выгоне","жирует на ягодах и овсах, делает переходы к кормным местам",май–июнь,весна–лето,,"широкий след, похожий на босую человечью ступню, с отпечатками когтей; тропы","крупные кучи с остатками ягод, шерсти, травы","разрытые муравейники, разломанные пни, ободранная кора, задавленная скотина, «привада» — заваленная хворостом туша","берлога под выворотнем или в куче валежника, «чело» с куржаком от дыхания","рявканье, фырканье, треск; редко рёв",тяжёлый звериный запах у задавленной туши и берлоги,"обычно избегает людей; опасен у добычи, с медвежатами, раненый и разбуженный в берлоге; нападает на скот",high,hide;meat;fat;claws,"на берлоге с рогатиной, облава с собаками",n1230:material_item:hnt0005;n1230:material_item:hnt0012;n1230:material_item:hnt0003,wk:biology_physiology:fauna-brown-bear;claim:fauna-mammals-brown-bear-cover-rest;claim:fauna-mammals-brown-bear-seasonal-omnivory;claim:fauna-mammals-brown-bear-maternal-care,"conif:c,mixed:c,bog:m,edge:m,broad:m,stream:m",SRC_HDBM2017;SRC_RYBINA2015;SRC_WK_FAUNA;SRC_VOLOGDA_MAMM,B,Winter denning per research population-fauna-mammals-winter.md WINT-01 (candidate),candidate
fa_m_wolf,Волк,"волк, «серый»",Canis lupus,Grey wolf,Mammalia,Carnivora,large_predator,fauna.mammal.large_predator.wolf,universal_taxon,novgorod_land,contextual,"Modern regional: present, less common; follows livestock and settlements; no Novgorod bone evidence read",B,Прямой новгородской находки в прочитанных источниках нет; вид повсеместен в лесной зоне,nocturnal,,"стая бродит по участку, ходит по дорогам и льду рек, подходит к деревням за скотом и собаками; вой слышен далеко",в апреле–мае щенки в логове,"стая держится у логова, взрослые воют на зорях; режут скот на выгонах","выводок ходит с родителями, «прибылые» воют вместе",январь–март,весна,зимой густой,"крупный овальный след со сжатыми пальцами, строчка «след в след» по прямой",серые кучки с шерстью и костями на тропах и перекрёстках,"растерзанные туши, растащенные кости",логово в глухом месте на сухом островке среди болота,"вой по ночам и на заре; у логова — лай, скуление",мочевые метки на снегу,"обычно избегает людей, опасен для скота и собак; бешеный волк опасен",moderate,hide;fur,"облава, ямы, петли",n1230:material_item:hnt0008;n1230:material_item:hnt0003,wk:biology_physiology:fauna-wolf;claim:fauna-mammals-wolf-howling-communication;claim:fauna-mammals-wolf-pack-sociality,"mixed:c,conif:c,edge:c,bog:m,field:m,pasture:m,flood:m,road:m,lane:m",SRC_VOLOGDA_MAMM;SRC_WK_FAUNA;SRC_VALDAY_NP,B,"Wolves raiding livestock in byres (SRC_VOLOGDA_MAMM, 1955 example)",candidate
fa_m_red_fox,Лисица,лиса,Vulpes vulpes,Red fox,Mammalia,Carnivora,fur_predator,fauna.mammal.fur_predator.red_fox,universal_taxon,novgorod_land,common,"Modern common (nbcrs, Valday); fox bones and birch-bark mention",A,Кости лисицы среди немногих пушных в Новгороде (SRC_HDBM2017); лисица в берестяной грамоте (SRC_RYBINA2015),crepuscular,,"мышкует на полях и лугах, ныряя в снег; пушистый мех",в апреле–мае лисята в норе,"лисята играют у нор на склонах; мех редкий, линялый",молодые расселяются; мех выходной с ноября,январь–февраль,весна–лето,"зимний мех густой, огненно-рыжий",аккуратная «строчка» следов по прямой,удлинённый помёт с шерстью мышей на кочках и пнях,мышкованье — разрытые ямки в снегу; перья задавленных птиц,"нора с несколькими выходами на песчаном склоне, у входа кости и перья","хриплое тявканье, особенно зимой в гон",резкий «лисий» запах у нор и меток,осторожна; таскает кур,low,fur,"капканы-самоловы, ловля в норах, стрельба",n1230:material_item:hnt0009;n1230:material_item:hnt0001;n1230:material_item:hnt0021,wk:biology_physiology:fauna-red-fox;claim:fauna-mammals-red-fox-habitat-flexibility;claim:fauna-mammals-red-fox-omnivory-food-caching,"edge:c,field:c,margin:c,flood:c,mixed:m,broad:m,hay:c,pasture:m,homestead:m,lane:m,bank:m",SRC_HDBM2017;SRC_RYBINA2015;SRC_WK_FAUNA;SRC_VOLOGDA_MAMM,B,,candidate
fa_m_lynx,Рысь,рысь,Lynx lynx,Eurasian lynx,Mammalia,Carnivora,fur_predator,fauna.mammal.fur_predator.lynx,universal_taxon,novgorod_land,rare,Modern: rarer than fox/wolf at Valday,B,Прямой находки в прочитанных источниках нет,crepuscular,,"охотится на зайца-беляка и рябчиков, ходит по следу добычи",котята в апреле–мае,держится в захламлённых ельниках,выводок держится с матерью,февраль–март,весна,зимний пушистый мех с пятнами,"крупный округлый след без когтей, строчкой","помёт, прикопанный или на виду на следу","недоеденный заяц или косуля, прикопанные снегом",логово под выворотнем,"в гон — хриплое мяуканье, вопли",метки мочой,"скрытна, людей избегает",low,fur,"самоловы, с собаками",n1230:material_item:hnt0009;n1230:material_item:hnt0012,wk:biology_physiology:fauna-eurasian-lynx;claim:fauna-mammals-eurasian-lynx-ambush-hunting;claim:fauna-mammals-eurasian-lynx-prey-spectrum,"conif:c,mixed:c,bog:m,edge:m",SRC_WK_FAUNA;SRC_VALDAY_NP,B,,candidate
fa_m_wolverine,Росомаха,росомаха,Gulo gulo,Wolverine,Mammalia,Carnivora,fur_predator,fauna.mammal.fur_predator.wolverine,universal_taxon,novgorod_land,rare,Northern taiga species; south to Gryazovets area in XX c. (SRC_VOLOGDA_MAMM),C,Росомаха названа один раз в берестяных грамотах (SRC_RYBINA2015) — меха могли быть привозными с севера,cathemeral,,"бродит по тайге, ходит по следам рыси и волков, разоряет ловушки",детёныши в феврале–марте в логове в снегу,одиночна,одиночна,лето,весна,грубый тёмный мех,"крупные пятипалые следы с когтями, двойками («прыжками»)",,разорённые ловушки и лабазы,в естественном углублении под укрытием,редко; ворчание,сильный мускусный запах,"избегает людей, но разоряет ловушки и охотничьи запасы",low,fur,самоловы,n1230:material_item:hnt0023,,"conif:c,bog:m,mixed:m",SRC_VOLOGDA_MAMM;SRC_RYBINA2015,B,Only remote north/east parts,candidate
fa_m_badger,Барсук,барсук,Meles meles,European badger,Mammalia,Carnivora,fur_predator,fauna.mammal.fur_predator.badger,universal_taxon,novgorod_land,contextual,Modern: common at Valday but local (burrow colonies),B,Прямой находки в прочитанных источниках нет,nocturnal,winter,"спит в норе (неглубокая спячка, ноябрь–март/апрель)","выходит из норы, чистит её, выбрасывает старую подстилку",барсучата играют у нор,"жиреет, таскает в нору сухую траву и листья",лето,весна,грубая серая остевая шерсть,косолапый след с длинными когтями передних лап,помёт в специально вырытых ямках-«уборных»,"копанки с разрытым дёрном (черви, личинки), разрытые осиные гнёзда","городок нор на склоне с множеством выходов и отвалами песка, тропы","сопение, ворчание",мускусный запах у нор,"ночной, людей избегает",low,fat;hide,"раскопка нор, с собаками",n1230:material_item:hnt0012,,"broad:c,mixed:c,edge:c,margin:m,flood:m",SRC_VOLOGDA_MAMM;SRC_VALDAY_NP,B,Only mustelid that hibernates in the region (SRC_VOLOGDA_MAMM),candidate
