profile_id,name_ru,location_archetypes,context_anchor_item_ids,season_scope,state_modifier,wealth_context,canonical_existing_item_ids,common_new_item_ids,contextual_new_item_ids,state_variant_ids,background_group_labels,max_concrete_items,selection_rule,property_rule,placement_rule,excluded_rules,prompt_file,notes
SPN001,Жилой дом: очаг и повседневная утварь,"[""urban_house"",""hearth""]","[""ARC0020"",""ARC0021"",""INT0015"",""INT0019"",""INT0001"",""INT0010"",""INT0043"",""INT0044""]","[""spring"",""summer"",""autumn"",""winter""]",normal_1230,context_dependent,"[""POT0002"",""HOU0014"",""HOU0010"",""HOU0007"",""HOU0008"",""POT0021"",""MSC0025""]","[""OMI01833"",""OMI00166"",""OMI01321"",""OMI01800"",""OMI01401"",""OMI01799"",""OMI01834"",""OMI01841"",""OMI00169"",""OMI00172"",""OMI01494"",""OMI01798"",""OMI01827"",""OMI01848""]","[""OMI01371"",""OMI01825"",""OMI01818"",""OMI01819"",""OMI01826"",""OMI01851"",""OMI00087""]","[""STA0001"",""STA0002"",""STA0004"",""STA0005"",""STA0006"",""STA0007"",""STA0008"",""STA0009"",""STA0010"",""STA0011"",""STA0012"",""STA0013""]","[""small_household_personal"",""food_agricultural_materials"",""wood_bark_plant_materials""]",14,"select only after a committed household, craft, environment, trade, loss, discard, process or owner basis exists; remaining detail may stay a background group",man-made objects inherit the location/container/household/workplace owner or controller unless a committed lost/discarded/abandoned basis says otherwise,use item placement_modes and location function; do not scatter every listed item simultaneously,"[""confidence D or generation_policy=never_generate"",""modern packaging, plastics, rubber, machine-uniform hardware"",""weapons, money, valuables or documents without an explicit context-bound basis"",""whole clothing/accessory items owned by another catalog"",""automatic loot or unowned status""]",prompts/spn001.txt,"A profile is a bounded context slice, not an inventory that must be fully materialized."
SPN002,Бедное жилище: хранение и ремонт,"[""poor_house"",""urban_house""]","[""ARC0020"",""INT0015"",""ARC0021"",""INT0019""]","[""spring"",""summer"",""autumn"",""winter""]",normal_1230,context_dependent,"[""HOU0015"",""HOU0016"",""HOU0018"",""HOU0034"",""HOU0035"",""CRF0025""]","[""OMI00477"",""OMI00312"",""OMI00500"",""OMI00501"",""OMI00502"",""OMI01544"",""OMI00503"",""OMI00530"",""OMI00313"",""OMI01546""]","[""OMI00256"",""OMI00329"",""OMI00527"",""OMI01577"",""OMI01564""]","[""STA0004"",""STA0005"",""STA0006"",""STA0007"",""STA0008"",""STA0009"",""STA0010"",""STA0011"",""STA0012"",""STA0013"",""STA0014"",""STA0015""]","[""small_household_personal"",""packaging_trade_storage"",""fiber_textile_cordage"",""leather_hide_fur""]",10,"select only after a committed household, craft, environment, trade, loss, discard, process or owner basis exists; remaining detail may stay a background group",man-made objects inherit the location/container/household/workplace owner or controller unless a committed lost/discarded/abandoned basis says otherwise,use item placement_modes and location function; do not scatter every listed item simultaneously,"[""confidence D or generation_policy=never_generate"",""modern packaging, plastics, rubber, machine-uniform hardware"",""weapons, money, valuables or documents without an explicit context-bound basis"",""whole clothing/accessory items owned by another catalog"",""automatic loot or unowned status""]",prompts/spn002.txt,"A profile is a bounded context slice, not an inventory that must be fully materialized."
SPN003,Зажиточный дом: кладовая и личные мелочи,"[""wealthy_house"",""storehouse""]","[""ARC0020"",""ARC0021"",""FUR0012"",""ARC0018"",""ARC0026""]","[""spring"",""summer"",""autumn"",""winter""]",normal_1230,context_dependent,"[""FUR0026"",""HOU0024"",""HOU0043"",""HOU0026"",""WRT0016""]","[""OMI01764"",""OMI01580"",""OMI01581"",""OMI01586"",""OMI01615"",""OMI01537"",""OMI01547"",""OMI01559"",""OMI01578"",""OMI01583"",""OMI01600"",""OMI01652""]","[""OMI01218"",""OMI01226"",""OMI01227"",""OMI01228"",""OMI01230"",""OMI01231""]","[""STA0003"",""STA0004"",""STA0005"",""STA0006"",""STA0007"",""STA0008"",""STA0009"",""STA0010"",""STA0011"",""STA0012"",""STA0018"",""STA0019""]","[""packaging_trade_storage"",""small_household_personal"",""writing_bookmaking_religious"",""glass_amber_inlay""]",12,"select only after a committed household, craft, environment, trade, loss, discard, process or owner basis exists; remaining detail may stay a background group",man-made objects inherit the location/container/household/workplace owner or controller unless a committed lost/discarded/abandoned basis says otherwise,use item placement_modes and location function; do not scatter every listed item simultaneously,"[""confidence D or generation_policy=never_generate"",""modern packaging, plastics, rubber, machine-uniform hardware"",""weapons, money, valuables or documents without an explicit context-bound basis"",""whole clothing/accessory items owned by another catalog"",""automatic loot or unowned status""]",prompts/spn003.txt,"A profile is a bounded context slice, not an inventory that must be fully materialized."
SPN004,Двор усадьбы: хозяйственные мелочи,"[""yard""]","[""STR0013"",""ARC0031""]","[""spring"",""summer"",""autumn"",""winter""]",normal_1230,context_dependent,"[""HOU0018"",""CON0010"",""CON0011"",""HOU0032"",""MSC0035""]","[""OMI02166"",""OMI00149"",""OMI00176"",""OMI00177"",""OMI00187"",""OMI00200"",""OMI00612"",""OMI02054"",""OMI02065"",""OMI02146"",""OMI02178"",""OMI02206"",""OMI02213"",""OMI00021"",""OMI00202"",""OMI00215""]","[""OMI00627"",""OMI01564"",""OMI02233"",""OMI00141"",""OMI00606"",""OMI00615"",""OMI00626"",""OMI00746""]","[""STA0001"",""STA0002"",""STA0004"",""STA0005"",""STA0006"",""STA0007"",""STA0008"",""STA0009"",""STA0010"",""STA0015"",""STA0016"",""STA0017""]","[""wood_bark_plant_materials"",""ferrous_metal"",""packaging_trade_storage"",""refuse_deposits_environment"",""agriculture_fishing_hunting_consumables""]",16,"select only after a committed household, craft, environment, trade, loss, discard, process or owner basis exists; remaining detail may stay a background group",man-made objects inherit the location/container/household/workplace owner or controller unless a committed lost/discarded/abandoned basis says otherwise,use item placement_modes and location function; do not scatter every listed item simultaneously,"[""confidence D or generation_policy=never_generate"",""modern packaging, plastics, rubber, machine-uniform hardware"",""weapons, money, valuables or documents without an explicit context-bound basis"",""whole clothing/accessory items owned by another catalog"",""automatic loot or unowned status""]",prompts/spn004.txt,"A profile is a bounded context slice, not an inventory that must be fully materialized."
SPN005,"Улица и мостовая: потерянное, грязь и ремонтный мусор","[""street""]","[""STR0007"",""STR0008"",""STR0009""]","[""spring"",""summer"",""autumn"",""winter""]",normal_1230,context_dependent,"[""STR0007"",""STR0008"",""MSC0026"",""MSC0020""]","[""OMI02193"",""OMI00202"",""OMI01107"",""OMI02173"",""OMI00204"",""OMI02194"",""OMI00176"",""OMI00177"",""OMI01072"",""OMI01081""]","[""OMI02196"",""OMI02195"",""OMI00189"",""OMI00207"",""OMI00208""]","[""STA0021"",""STA0029"",""STA0030"",""STA0031"",""STA0032"",""STA0087"",""STA0088""]","[""refuse_deposits_environment"",""ferrous_metal"",""clay_ceramic_mineral"",""wood_bark_plant_materials"",""small_household_personal""]",10,"select only after a committed household, craft, environment, trade, loss, discard, process or owner basis exists; remaining detail may stay a background group",man-made objects inherit the location/container/household/workplace owner or controller unless a committed lost/discarded/abandoned basis says otherwise,use item placement_modes and location function; do not scatter every listed item simultaneously,"[""confidence D or generation_policy=never_generate"",""modern packaging, plastics, rubber, machine-uniform hardware"",""weapons, money, valuables or documents without an explicit context-bound basis"",""whole clothing/accessory items owned by another catalog"",""automatic loot or unowned status""]",prompts/spn005.txt,"A profile is a bounded context slice, not an inventory that must be fully materialized."
SPN006,"Торг: прилавок, тара, бирки и упаковка","[""torg""]","[""STR0006""]","[""spring"",""summer"",""autumn"",""winter""]",normal_1230,context_dependent,"[""HOU0015"",""HOU0016"",""TRD0023"",""TRD0042"",""TRD0038"",""STR0006""]","[""OMI01568"",""OMI01559"",""OMI01540"",""OMI01544"",""OMI01541"",""OMI01615"",""OMI01571"",""OMI00301"",""OMI01547"",""OMI01578"",""OMI01600"",""OMI01652"",""OMI01653"",""OMI00312"",""OMI00339"",""OMI01506"",""OMI01519"",""OMI01522""]","[""OMI01564"",""OMI01622"",""OMI00324"",""OMI01531"",""OMI01550"",""OMI01565"",""OMI01566"",""OMI01534""]","[""STA0004"",""STA0005"",""STA0006"",""STA0007"",""STA0008"",""STA0009"",""STA0010"",""STA0011"",""STA0012"",""STA0013"",""STA0014"",""STA0018""]","[""packaging_trade_storage"",""food_agricultural_materials"",""fiber_textile_cordage"",""writing_bookmaking_religious""]",18,"select only after a committed household, craft, environment, trade, loss, discard, process or owner basis exists; remaining detail may stay a background group",man-made objects inherit the location/container/household/workplace owner or controller unless a committed lost/discarded/abandoned basis says otherwise,use item placement_modes and location function; do not scatter every listed item simultaneously,"[""confidence D or generation_policy=never_generate"",""modern packaging, plastics, rubber, machine-uniform hardware"",""weapons, money, valuables or documents without an explicit context-bound basis"",""whole clothing/accessory items owned by another catalog"",""automatic loot or unowned status""]",prompts/spn006.txt,"A profile is a bounded context slice, not an inventory that must be fully materialized."
SPN007,"Купеческий склад: партии, остатки и крепёж тары","[""storehouse""]","[""ARC0018"",""ARC0026""]","[""spring"",""summer"",""autumn"",""winter""]",normal_1230,context_dependent,"[""ARC0018"",""ARC0026"",""HOU0024"",""HOU0036"",""TRD0042"",""TRD0029""]","[""OMI01303"",""OMI01288"",""OMI01330"",""OMI01285"",""OMI01320"",""OMI01321"",""OMI01368"",""OMI01388"",""OMI01396"",""OMI01417"",""OMI01418"",""OMI01419"",""OMI01421"",""OMI01422"",""OMI01425"",""OMI01439"",""OMI01461"",""OMI01600"",""OMI01277"",""OMI01540""]","[""OMI00621"",""OMI00675"",""OMI00676"",""OMI00677"",""OMI00704"",""OMI01324"",""OMI01521"",""OMI01591"",""OMI01594"",""OMI00598""]","[""STA0003"",""STA0004"",""STA0005"",""STA0006"",""STA0007"",""STA0008"",""STA0009"",""STA0010"",""STA0011"",""STA0012"",""STA0018"",""STA0019""]","[""packaging_trade_storage"",""food_agricultural_materials"",""fiber_textile_cordage"",""ferrous_metal""]",20,"select only after a committed household, craft, environment, trade, loss, discard, process or owner basis exists; remaining detail may stay a background group",man-made objects inherit the location/container/household/workplace owner or controller unless a committed lost/discarded/abandoned basis says otherwise,use item placement_modes and location function; do not scatter every listed item simultaneously,"[""confidence D or generation_policy=never_generate"",""modern packaging, plastics, rubber, machine-uniform hardware"",""weapons, money, valuables or documents without an explicit context-bound basis"",""whole clothing/accessory items owned by another catalog"",""automatic loot or unowned status""]",prompts/spn007.txt,"A profile is a bounded context slice, not an inventory that must be fully materialized."
SPN008,"Кузница: горн, поковки и производственный слой","[""forge"",""workshop""]","[""ARC0031"",""INT0044"",""INT0019""]","[""spring"",""summer"",""autumn"",""winter""]",normal_1230,context_dependent,"[""CRF0121"",""CRF0117"",""CRF0118"",""CRF0119"",""CRF0122"",""INT0044""]","[""OMI00166"",""OMI00172"",""OMI00723"",""OMI00724"",""OMI00727"",""OMI02251"",""OMI00165"",""OMI00167"",""OMI00738"",""OMI00573"",""OMI00579"",""OMI00590"",""OMI00145"",""OMI00149"",""OMI00151"",""OMI00169"",""OMI00175""]","[""OMI00728"",""OMI00730"",""OMI00739"",""OMI00571"",""OMI00574"",""OMI00575"",""OMI00576"",""OMI00623"",""OMI00729""]","[""STA0001"",""STA0002"",""STA0003"",""STA0008"",""STA0009"",""STA0010"",""STA0015"",""STA0018"",""STA0019"",""STA0022"",""STA0023"",""STA0024""]","[""ferrous_metal"",""wood_bark_plant_materials"",""refuse_deposits_environment""]",18,"select only after a committed household, craft, environment, trade, loss, discard, process or owner basis exists; remaining detail may stay a background group",man-made objects inherit the location/container/household/workplace owner or controller unless a committed lost/discarded/abandoned basis says otherwise,use item placement_modes and location function; do not scatter every listed item simultaneously,"[""confidence D or generation_policy=never_generate"",""modern packaging, plastics, rubber, machine-uniform hardware"",""weapons, money, valuables or documents without an explicit context-bound basis"",""whole clothing/accessory items owned by another catalog"",""automatic loot or unowned status""]",prompts/spn008.txt,"A profile is a bounded context slice, not an inventory that must be fully materialized."
SPN009,Кузнечный запас мелкого крепежа и ремонта,"[""forge"",""workshop"",""storehouse""]","[""ARC0031"",""INT0044"",""INT0019"",""ARC0018"",""ARC0026""]","[""spring"",""summer"",""autumn"",""winter""]",normal_1230,context_dependent,"[""CON0010"",""CON0011"",""HOU0032"",""HOU0002"",""HOU0003""]","[""OMI00612"",""OMI00609"",""OMI00608"",""OMI00613"",""OMI00614"",""OMI00624"",""OMI00662"",""OMI00663"",""OMI00664"",""OMI00689"",""OMI00605"",""OMI00607"",""OMI00610"",""OMI00611"",""OMI00616"",""OMI00617""]","[""OMI00621"",""OMI00627"",""OMI00640"",""OMI00644"",""OMI00645"",""OMI00671"",""OMI00704"",""OMI00709""]","[""STA0001"",""STA0002"",""STA0003"",""STA0004"",""STA0005"",""STA0006"",""STA0007"",""STA0008"",""STA0009"",""STA0010"",""STA0011"",""STA0012""]","[""nails_rivets_clamps_and_joinery_hardware"",""doors_locks_chests_and_container_hardware"",""wire_chain_hooks_handles_and_small_mechanisms""]",16,"select only after a committed household, craft, environment, trade, loss, discard, process or owner basis exists; remaining detail may stay a background group",man-made objects inherit the location/container/household/workplace owner or controller unless a committed lost/discarded/abandoned basis says otherwise,use item placement_modes and location function; do not scatter every listed item simultaneously,"[""confidence D or generation_policy=never_generate"",""modern packaging, plastics, rubber, machine-uniform hardware"",""weapons, money, valuables or documents without an explicit context-bound basis"",""whole clothing/accessory items owned by another catalog"",""automatic loot or unowned status""]",prompts/spn009.txt,"A profile is a bounded context slice, not an inventory that must be fully materialized."
SPN010,Мастерская цветного металла и ювелира,"[""workshop""]","[""ARC0031"",""INT0019"",""INT0044""]","[""spring"",""summer"",""autumn"",""winter""]",normal_1230,context_dependent,"[""CRF0046""]","[""OMI00784"",""OMI00778"",""OMI00811"",""OMI00820"",""OMI02247"",""OMI02248"",""OMI02251"",""OMI02252"",""OMI02258"",""OMI02260"",""OMI02272"",""OMI00780"",""OMI00786""]","[""OMI00812"",""OMI00835"",""OMI00837"",""OMI01251"",""OMI00758"",""OMI00759"",""OMI00760""]","[""STA0001"",""STA0002"",""STA0003"",""STA0008"",""STA0009"",""STA0010"",""STA0015"",""STA0018"",""STA0019"",""STA0022"",""STA0023"",""STA0024""]","[""nonferrous_metal"",""glass_amber_inlay"",""refuse_deposits_environment""]",14,"select only after a committed household, craft, environment, trade, loss, discard, process or owner basis exists; remaining detail may stay a background group",man-made objects inherit the location/container/household/workplace owner or controller unless a committed lost/discarded/abandoned basis says otherwise,use item placement_modes and location function; do not scatter every listed item simultaneously,"[""confidence D or generation_policy=never_generate"",""modern packaging, plastics, rubber, machine-uniform hardware"",""weapons, money, valuables or documents without an explicit context-bound basis"",""whole clothing/accessory items owned by another catalog"",""automatic loot or unowned status""]",prompts/spn010.txt,"A profile is a bounded context slice, not an inventory that must be fully materialized."
