deny_id,pattern,name_ru,why_wrong,replacement,scope,exception,source_refs,status
ANTI001,кафтан,Позднемосковский кафтан XVI–XVII вв.,"Поздний крой, застёжка, воротник и силуэт.","Туникообразная шерстяная одежда, свита или простой плащ.",name_ru|material|dye_color|decoration,,costume:ANTI001,candidate
ANTI002,косоворот,Косоворотка XIX века,Боковая застёжка и фольклорная стилизация анахроничны.,Прямая сорочица с простой горловиной и минимальной отделкой.,name_ru|material|dye_color|decoration,,costume:ANTI002,candidate
ANTI003,сплошн\w* вышив,Сплошная яркая «славянская» вышивка,Не подтверждена как массовый визуальный язык костюма 1230.,Локальная неброская отделка по горловине/краю при наличии основания.,name_ru|material|dye_color|decoration,,costume:ANTI003,candidate
ANTI004,жилет|наплечник,Фэнтезийные кожаные жилеты и наплечники,Не являются типовой защитой или одеждой Новгорода XIII века.,"Тканевые слои, рабочий передник или кольчуга у обеспеченного воина.",name_ru|material|dye_color|decoration,,costume:ANTI004,candidate
ANTI005,лапт,Поголовные лапти у городского населения,Новгородская археология даёт богатый набор хорошо сшитой кожаной обуви.,"Поршни, мягкие туфли, полуботинки и сапоги по статусу.",name_ru|material|dye_color|decoration,"gm_new_lapti allowed only as disputed row, never in outfits",costume:ANTI005,candidate
ANTI006,высок\w* мехов\w* шапк,Карикатурная высокая меховая шапка,Поздние и театральные формы подменяют раннесредневековый костюм.,Компактная мягкая тканевая или меховая шапка.,name_ru|material|dye_color|decoration,,costume:ANTI006,candidate
ANTI007,викинг,Образ «викинга» X века,"В 1230 скандинавский приезжий — христианский купец/воин своего времени, а не языческий викинг.",Западно-/североевропейский костюм начала XIII в. с одним региональным акцентом.,name_ru|material|dye_color|decoration,,costume:ANTI007,candidate
ANTI008,монгол,Образ «монгола» по умолчанию,Монгольские клише не объясняют новгородский местный костюм и вооружение.,Древнерусские и североевропейские формы; восточные влияния только по конкретному источнику.,name_ru|material|dye_color|decoration,,costume:ANTI008,candidate
ANTI009,униформ,Униформа всех сословий,"Материалы, качество, цвет, количество слоёв и аксессуары зависели от достатка и роли.","Варьировать ткань, износ, обувь, украшения и доспех.",name_ru|material|dye_color|decoration,,costume:ANTI009,candidate
ANTI010,латн\w* доспех|полные латы,Полные латные доспехи,Пластинчатая рыцарская броня XIV–XV вв. анахронична.,"Кольчуга, шлем, щит; редкий и осторожный пластинчатый вариант.",name_ru|material|dye_color|decoration,,costume:ANTI010,candidate
ANTI011,рогат\w* шлем,Рогатые шлемы,Фантазийный/театральный штамп.,Конические и сфероконические железные шлемы без рогов.,name_ru|material|dye_color|decoration,,costume:ANTI011,candidate
ANTI012,мехом наружу|шкуры наружу,Шкуры наружу и «варварский» меховой костюм,"Мех был практическим утеплителем и статусным материалом, но не дикарской униформой.","Кожух мехом внутрь, ограниченная видимая опушка.",name_ru|material|dye_color|decoration,,costume:ANTI012,candidate
ANTI013,корсет,Современный корсет и подчёркнутая талия,Не соответствует конструкции женской одежды первой половины XIII в.,Длинные мягкие слои с естественной посадкой и поясом.,name_ru|material|dye_color|decoration,,costume:ANTI013,candidate
ANTI014,кокошник,Кокошник позднего типа,Высокие жёсткие кокошники относятся к иным эпохам и региональным традициям.,"Нижний чепец/повой, покрывало, низкое очелье или девичья лента.",name_ru|material|dye_color|decoration,,costume:ANTI014,candidate
ANTI015,сарафан,Сарафан как универсальная новгородская форма 1230,Точная сарафанная модель для этого времени не должна приниматься без доказательства.,Длинная сорочица плюс шерстяная верхняя одежда; понёва только C-гипотеза.,name_ru|material|dye_color|decoration,,costume:ANTI015,candidate
ANTI016,каблук,Современные сапоги с каблуком и жёстким носком,Средневековая новгородская обувь была мягкой и плоской.,"Мягкая кожаная подошва, ручные швы, умеренное голенище.",name_ru|material|dye_color|decoration,,costume:ANTI016,candidate
ANTI017,хлоп|ситец|ситц,Яркий хлопчатобумажный ситец,Хлопок не является обычным материалом Новгорода около 1230; набивные фабричные принты поздние.,"Лён, конопля, шерсть; редкий шёлк как отделка.",name_ru|material|dye_color|decoration,,costume:ANTI017,candidate
ANTI018,одинаков\w* доспех,Одинаковые доспехи у дружины и ополчения,Снаряжение зависело от профессионализма и достатка.,"Ополчение — щит, копьё/топор, редкий простой шлем; дружина — кольчуга, шлем, меч/копьё.",name_ru|material|dye_color|decoration,,costume:ANTI018,candidate
ANTI019,герб|геральд,Геральдическая униформа и развитые гербы,Не следует переносить позднюю западную геральдическую систему на всех воинов Новгорода 1230.,Простая окраска щитов и индивидуальные знаки только при источнике.,name_ru|material|dye_color|decoration,,costume:ANTI019,candidate
ANTI020,ювелирн\w* перегруз,Ювелирная перегрузка каждой женщины,"Элитные колты, рясна и золото были редкими.","Бусы, простые серьги/кольца у средних слоёв; элитные комплекты — единично.",name_ru|material|dye_color|decoration,,costume:ANTI020,candidate
ANACH_POTATO,картоф,"Картофель — американская культура, после XVI в.","Картофель — американская культура, после XVI в.",,name_ru|material|dye_color|decoration,,wk:technology-boundaries,candidate
ANACH_BUTTONHOLE_LOOPS,петлиц,Горизонтальные петлицы московского типа — XVI–XVII вв.,Горизонтальные петлицы московского типа — XVI–XVII вв.,,name_ru|material|dye_color|decoration,,risovalka §5,candidate
ANACH_KNITTING_MACHINE,машинн\w* вяз|трикотаж,Машинное вязание/трикотаж — поздние,Машинное вязание/трикотаж — поздние,,name_ru|material|dye_color|decoration,,costume:ANTI017 (аналогия),candidate
ANACH_ANILINE,анилин,Анилиновые красители — XIX в.,Анилиновые красители — XIX в.,,name_ru|material|dye_color|decoration,,C,candidate
