palette_id,kind,name_ru,description_ru,typical_scope,social_notes,confidence,source_ids,notes_for_image_generation
MAT001,material,Лён,"Главное растительное волокно для нижних рубах, сорочиц, покрывал и подкладок. Ткань могла быть небелёной или выбеленной.",все слои; качество различалось,тонкое и хорошо выбеленное полотно дороже грубого,A,SRC008 | SRC009,"матовая ткань, видимое полотняное переплетение, оттенки от серо-бежевого до молочного"
MAT002,material,Конопляное полотно,Грубое растительное полотно для рабочих и бытовых вещей; конкретное определение волокна не всегда возможно.,"бедные/рабочие слои, хозяйственные вещи",не делать похожим на грубую джутовую мешковину,B,SRC009 | SRC034,"серо-бежевое, плотное, но всё ещё тканое полотно"
MAT003,material,Обычная шерстяная ткань,"Основной материал верхней одежды, плащей, портов и покрывал.",все слои,"различия в тонкости, плотности и окраске",A,SRC007 | SRC008 | SRC009,"матовая, мягко драпируется, без современного фабричного блеска"
MAT004,material,Тонкое импортное сукно,Качественная западноевропейская шерстяная ткань для богатой одежды и торговли.,"купцы, знать, приезжие",не массовый материал бедного костюма,A–B,SRC010 | SRC028 | SRC029,"ровная поверхность и окраска, но без современной идеальной гладкости"
MAT005,material,Войлок,"Плотный валяный материал для стелек, подкладок и возможных практических деталей.",широкий практический,"головные уборы около 1230 менее прямо подтверждены, чем стельки",A для стелек; C для части одежды,SRC001 | SRC007,"волокнистая матовая поверхность, серо-бурые натуральные тона"
MAT006,material,Кожа крупного и мелкого рогатого скота,"Обувь, ремни, сумки, кошели, чехлы, ножны и рабочие детали.",все слои,качество выделки и декор различали достаток,A,SRC001 | SRC002 | SRC044,"мягкая, ручные швы, натуральные коричневые оттенки; не пластик"
MAT007,material,Овчина,"Обычное утепление кожухов, шуб и зимних шапок.",все слои,простая овчина шире дорогих мехов,A–B,SRC016 | SRC020 | SRC034,мех преимущественно внутрь; снаружи видна кожа или ткань
MAT008,material,Ценный мех,Меховой товар и статусная отделка; конкретный вид требует источника и экономического контекста.,"богатые купцы, знать, дипломатический/торговый контекст",редкий и дорогой; не у всех бояр одинаково,A–B,SRC016 | SRC020,небольшая опушка или внутренняя подкладка; избегать «варварских» шкур
MAT009,material,Шёлк,"Импортная дорогая ткань, чаще разумная как отделка, лента, головная деталь или церковный текстиль, чем как цельная повседневная одежда.","элита, богатое духовенство, редкий импорт",очень ограниченное использование,A,SRC008 | SRC010,"тонкая слегка блестящая кайма, не сплошной парчовый костюм"
MAT010,material,Золотная нить/золото-тканая деталь,Редкая высокостатусная отделка и церковный текстиль.,высшая элита и богатый храм,исключительный материал,A–B,SRC010 | SRC043,"очень локальный золотистый акцент, без сплошного металлического блеска"
MAT011,material,Железо/сталь,"Оружие, кольчуга, шлемы, пряжки, ножи, ледоходы и инструменты.",все слои по назначению,большой объём металла в доспехе дорог,A,SRC006 | SRC021 | SRC022 | SRC023,"тёмный, маслянистый, кованый металл; не хромированная поверхность"
MAT012,material,Бронза/медный сплав,"Пряжки, накладки, украшения, подвески и отдельные оружейные детали.","широкий, но сложность и вес различались",в живом виде не покрывать музейной зелёной патиной,A,SRC005 | SRC028 | SRC032,"тёплый тёмно-золотистый металл, умеренный блеск"
MAT013,material,Серебро,"Статусные украшения, поясные детали и церковные предметы.",средний/богатый слой и элита,не массовое покрытие одежды,A,SRC013 | SRC016 | SRC032,"небольшие детали, слегка потемневший серебряный тон"
MAT014,material,Золото и эмаль,Исключительные украшения и церковно-элитные предметы.,высшая элита,единичные вещи,A,SRC004,"один небольшой фокусный предмет, не общий золотой костюм"
MAT015,material,"Кость, рог и дерево","Гребни, рукояти, коньки, футляры, коробья, детали снаряжения и инструменты.",все слои,декор зависит от предмета и статуса,A,SRC001 | SRC006 | SRC018,"натуральные матовые поверхности, ручная обработка"
COL001,color,Небелёный лён,"Серо-бежевый, льняной, молочно-серый диапазон.",повседневный и рабочий,самый безопасный базовый цвет нижних слоёв,A–B,SRC008 | SRC009,не ярко-белый; лёгкая неоднородность нити
