contract_id,step_id,required_fields,writes_to,blocking_validations
G5StartInputContext,g5_01_start_context_lock,"['party_id', 'character_id', 'region_id', 'place_id', 'location_id', 'canonical_g4_node_id', 'g4_type_id', 'g4_type_title', 'season', 'game_time', 'weather_state', 'start_cause', 'player_request_summary', 'locked_facts']",party_llm_steps,complete G4 context; no runtime G1-G4 creation
G5TemplateMatch,g5_02_template_match,"['g4_type_id', 'template_source', 'category', 'allowed_g5_anchor_types', 'required_anchor_categories', 'optional_anchor_categories', 'forbidden_anchor_types', 'generation_limit_profile', 'status', 'confidence', 'sources']",party_llm_steps,exact template match or explicit needs_review fallback
G5ExistingStateSnapshot,g5_03_existing_state_check,"['existing_minilocations', 'existing_scene_anchors', 'existing_items', 'existing_npcs', 'existing_edges', 'locked_facts', 'duplicate_risks']","party_llm_steps, party_validation_issues",no silent overwrite of existing party facts
G5SceneGraphDraft,g5_04_scene_graph_draft,"['materialization_reason', 'minilocations', 'scene_anchors', 'primary_anchor_temp_id', 'required_categories_covered', 'visible_scene_logic', 'hidden_scene_logic', 'template_limits_used']",party_llm_steps,anchors inside G4; allowed anchor types; no forbidden anchors
G5AnchorAccessVisibilityPackage,g5_05_visibility_access_ownership_audit,"['anchor_visibility', 'anchor_access', 'ownership_or_control', 'witnesses', 'risk_state', 'hidden_signs', 'audit_findings']","party_llm_steps, party_validation_issues",visibility/access/ownership/risk complete for each significant anchor
G5ObjectNpcBinding,g5_06_objects_npcs_binding,"['bound_items', 'bound_containers', 'bound_npcs', 'materialization_reasons', 'visibility_split', 'ownership_risk_checks']",party_llm_steps,items/NPCs have causal basis and anchor placement
G5SceneEdgePackage,g5_07_edges_movement_graph,"['scene_edges', 'reversible_edges', 'blocked_or_conditioned_edges', 'movement_notes', 'base_time_minutes_checks']",party_llm_steps,G5 edges same parent G4 and 0-5 minutes
G5CurrentPositionCommitPlan,g5_08_current_position_selection,"['selected_minilocation_temp_id', 'selected_anchor_temp_id', 'current_node_temp_id', 'position_visible_text', 'last_route_temp_id', 'current_position_fields']",party_llm_steps,full current_position can be written
G5VisibleStartPackage,g5_09_visible_start_package,"['visible_scene', 'visible_position', 'visible_npc', 'visible_objects', 'sensory_details', 'known_context', 'uncertainties', 'do_not_imply']","party_llm_steps, party_journal_entries",no hidden-state leak
G5AuditReport,g5_10_commit_gate_audit,"['status', 'blocking_issues', 'warnings', 'repair_targets', 'commit_allowed', 'visibility_leak_check', 'fk_plan_check', 'template_compliance_check']","party_validation_issues, party_llm_steps",commit_allowed must be true for DB write
G5CommitResult,g5_11_db_write_plan_and_commit,"['committed', 'party_graph_node_ids', 'party_graph_edge_ids', 'minilocation_ids', 'scene_anchor_ids', 'item_ids', 'npc_ids', 'current_position_id', 'llm_step_ids', 'rollback_reason']",party_* target tables,transaction success or rollback recorded
