ad_id,source_item_id,kind,name_ru,target_table,slot,material,material_ids,sex,age,marital_status,status_band,origin_refs,appearance_facet,vocabulary_value,needs_vocabulary_extension,frequency_class,weight,weight_rule,weight_basis,wear_states,source_refs,confidence,status,notes
ad_ac015,AC015,fibula,Фибула или штифтовая застёжка плаща,item_templates,garment_fastener,железо | бронза | серебро — редко,MAT011|MAT012|MAT013,male|female,young_adult|adult|middle_aged|old,any,low|middle|high|elite,local,,,false,contextual,2,frequency_class ubiquitous/common/contextual/rare -> 8/4/2/1,при ношении плаща,new|serviceable|worn|dirty|rusted|broken,costume:AC015|costume:SRC006|costume:SRC028|costume:SRC035,B,candidate,Металлическая застёжка для фиксации плаща или накидки; типологически могла быть местной или импортной.
ad_ac016,AC016,ring_brooch_foreign,Кольцевидная/подковообразная застёжка приезжего западного или северного круга,item_templates,garment_fastener,бронза | серебро — у дорогих,MAT012|MAT013,male|female,young_adult|adult|middle_aged|old,any,middle|high,west|scandinavian,,,false,rare,1,frequency_class ubiquitous/common/contextual/rare -> 8/4/2/1,иноземный круг,new|serviceable|worn|dirty|broken,costume:AC016|costume:SRC028|costume:SRC035|costume:SRC049,B,candidate,"Застёжка кольцевой или близкой формы, более характерная для западно- и североевропейских комплексов; могла попасть в Новгород с купцом или как импорт."
ad_ac017,AC017,pectoral_cross,Нательный крест,item_templates,chest_pendant,бронза | оловянистый сплав | серебро | кость/камень — возможны,MAT012|MAT013|MAT015|stone|tin_alloy,male|female,young_adult|adult|middle_aged|old,any,low|middle|high|elite,local,,,false,common,4,frequency_class ubiquitous/common/contextual/rare -> 8/4/2/1,costume A; esoserver: янтарные крестики среди >1000 янтарных изделий,new|serviceable|worn|dirty|broken,costume:AC017|costume:SRC030|costume:SRC047|web:WEB03,A,candidate,"Небольшой крест, носимый на шнуре или цепочке под одеждой или у горловины."
ad_ac018,AC018,encolpion,Крест-энколпион,item_templates,chest_pendant,бронза | серебро — редко,MAT012|MAT013,male|female,young_adult|adult|middle_aged|old,any,middle|high,local,,,false,contextual,2,frequency_class ubiquitous/common/contextual/rare -> 8/4/2/1,costume: средний/высокий статус,new|serviceable|worn|dirty|broken,costume:AC018|costume:SRC006|costume:SRC030,B,candidate,"Составной крест-реликварий, обычно более крупный и статусный, чем простой нательный крест."
ad_ac019,AC019,lunula_pendant,Лунничная подвеска,item_templates,neck,бронза | серебро,MAT012|MAT013,female,young_adult|adult|middle_aged|old,any,low|middle|high|elite,local,,,false,contextual,2,frequency_class ubiquitous/common/contextual/rare -> 8/4/2/1,costume B,new|serviceable|worn|dirty|broken,costume:AC019|costume:SRC003|costume:SRC035|costume:SRC037,B,candidate,"Подвеска полулунной формы; могла сочетаться с христианскими предметами, поэтому не маркирует автоматически «язычницу»."
ad_ac020,AC020,bead_necklace,Ожерелье из бус,item_templates,neck,стекло | янтарь | камень | металл,glass|amber|stone,female,young_adult|adult|middle_aged|old,any,low|middle|high|elite,local,,,false,common,4,frequency_class ubiquitous/common/contextual/rare -> 8/4/2/1,esoserver: >2000 стеклянных бус в раскопках,new|serviceable|worn|dirty|broken,costume:AC020|costume:SRC003|costume:SRC016|costume:SRC030|web:WEB03,A,candidate,"Нить стеклянных, каменных, янтарных или металлических бус; состав и богатство сильно различались."
ad_ac021,AC021,temple_rings_earrings,Серьги или височные кольца,item_templates,ear_temple,бронза | серебро | золото — редко,MAT012|MAT013|MAT014,female,young_adult|adult|middle_aged|old,any,low|middle|high|elite,local,,,false,common,4,frequency_class ubiquitous/common/contextual/rare -> 8/4/2/1,costume A; sqlite material_culture A,new|serviceable|worn|dirty|broken,costume:AC021|costume:SRC003|costume:SRC013|costume:SRC016|costume:SRC032|sqlite:material_culture,A,candidate,"Парные металлические украшения у ушей/висков; способ крепления мог быть к волосам, головному убору или уху в зависимости от типа."
ad_ac022,AC022,spiral_temple_ornament,Спиральные височные/волосяные украшения пограничных групп,item_templates,ear_temple,бронза | серебро — редко,MAT012|MAT013,female,young_adult|adult|middle_aged|old,any,low|middle|high|elite,baltic_finnic,,,false,rare,1,frequency_class ubiquitous/common/contextual/rare -> 8/4/2/1,региональный маркер пограничных групп,new|serviceable|worn|dirty|broken,costume:AC022|costume:SRC035|costume:SRC036|costume:SRC037,C,candidate,"Спиральные бронзовые украшения волос или головного убора, характерные для части балто-финских и балтийских комплексов."
ad_ac023,AC023,bracelet,Браслет,item_templates,wrist,бронза | серебро | стекло — в отдельных типах/периодах,MAT012|MAT013|glass,female,young_adult|adult|middle_aged|old,any,low|middle|high|elite,local,,,false,common,4,frequency_class ubiquitous/common/contextual/rare -> 8/4/2/1,costume A,new|serviceable|worn|dirty|broken,costume:AC023|costume:SRC003|costume:SRC032|costume:SRC037|costume:SRC046,A,candidate,"Металлический браслет — проволочный, пластинчатый или иной датированный тип; мог носиться по одному или парой."
ad_ac024,AC024,finger_ring,Перстень или кольцо,item_templates,finger,бронза | серебро | золото — редко | камень/стекло — у вставок,MAT012|MAT013|MAT014|glass|stone,male|female,young_adult|adult|middle_aged|old,any,low|middle|high|elite,local,,,false,common,4,frequency_class ubiquitous/common/contextual/rare -> 8/4/2/1,costume A,new|serviceable|worn|dirty|broken,costume:AC024|costume:SRC003|costume:SRC032|costume:SRC047,A,candidate,"Небольшое металлическое кольцо, от простого проволочного до перстня со вставкой у богатого владельца."
ad_ac025,AC025,kolt,Колт — редкое элитное женское украшение,item_templates,ear_temple,серебро | золото | эмаль — у дорогих,MAT013|MAT014,female,young_adult|adult|middle_aged|old,any,elite,local,,,false,rare,1,frequency_class ubiquitous/common/contextual/rare -> 8/4/2/1,ANTI020: элитные колты редки,new|serviceable|worn|dirty|broken,costume:AC025|costume:SRC032|costume:SRC043,B,candidate,"Парное полое височное украшение высокого статуса, связанное с элитной древнерусской традицией; для 1230 может быть уже редким/наследуемым."
ad_ac026,AC026,ryasna,Подвески рясен,item_templates,head_ornament,серебро | золото — редко | подвески,MAT013|MAT014,female,young_adult|adult|middle_aged|old,any,elite,local,,,false,rare,1,frequency_class ubiquitous/common/contextual/rare -> 8/4/2/1,ANTI020,new|serviceable|worn|dirty|broken,costume:AC026|costume:SRC032,B,candidate,"Подвесные цепочки/элементы от головного убора к височным украшениям, известные в элитном древнерусском комплексе."
ad_ac027,AC027,quadrifolium_enamel_pendant,Золотая эмалевая подвеска-квадрифолий,item_templates,chest_pendant,золото | стеклянная эмаль,MAT014|glass,male|female,young_adult|adult|middle_aged|old,any,elite,local,,,false,rare,1,frequency_class ubiquitous/common/contextual/rare -> 8/4/2/1,единичная находка SRC004,new|serviceable|worn|dirty|broken,costume:AC027|costume:SRC004,A,candidate,"Конкретный редкий золотой предмет начала XIII в. с полихромной эмалью, найденный в богатой новгородской усадьбе."
ad_ac028,AC028,chain_pins,"Длинные булавки, соединённые цепочкой",item_templates,garment_fastener,бронза | цепь,MAT012,female,young_adult|adult|middle_aged|old,any,high,baltic,,,false,rare,1,frequency_class ubiquitous/common/contextual/rare -> 8/4/2/1,"C, предварительная публикация",new|serviceable|worn|dirty|broken,costume:AC028|costume:SRC037,C,candidate,Пара длинных металлических булавок с цепью для крепления одежды/покрывала; известна в предварительно опубликованном нетипичном погребении Старой Руссы.
ad_ac041,AC041,amulet_pendant,Небольшая амулетная подвеска,item_templates,chest_pendant,бронза | кость | камень | зуб животного — при конкретном аналоге,MAT012|MAT015|stone,male|female,young_adult|adult|middle_aged|old,any,low|middle|high|elite,local,,,false,contextual,2,frequency_class ubiquitous/common/contextual/rare -> 8/4/2/1,costume B,new|serviceable|worn|dirty|broken,costume:AC041|costume:SRC003|costume:SRC006,B,candidate,"Маленькая подвеска с защитной/личной функцией; могла сосуществовать с нательным крестом, но значение конкретного предмета не всегда известно."
ad_fr006,FR006,neck_ring_grivna,Балто-финская шейная гривна,item_templates,neck,бронза | серебро — редко,MAT012|MAT013,male|female,young_adult|adult|middle_aged|old,any,low|middle|high|elite,baltic_finnic,,,false,rare,1,frequency_class ubiquitous/common/contextual/rare -> 8/4/2/1,C,new|serviceable|worn|dirty|broken,costume:FR006|costume:SRC035|costume:SRC036,C,candidate,"Жёсткое металлическое украшение шеи, характерное для части пограничных археологических групп; к 1230 не универсально и может быть наследуемой/региональной формой."
ad_fr007,FR007,bracelet_regional_plate,Пластинчатый браслет балто-финского/балтийского круга,item_templates,wrist,бронза,MAT012,female,young_adult|adult|middle_aged|old,any,low|middle|high|elite,baltic_finnic,,,false,rare,1,frequency_class ubiquitous/common/contextual/rare -> 8/4/2/1,иноземный/региональный круг,new|serviceable|worn|dirty|broken,costume:FR007|costume:SRC035|costume:SRC036|costume:SRC037,C,candidate,Бронзовый полосчатый/пластинчатый браслет с региональной орнаментацией.
ad_fr008,FR008,ring_brooch_scandinavian,Скандинавская/готландская кольцевая брошь,item_templates,garment_fastener,бронза | серебро,MAT012|MAT013,male|female,young_adult|adult|middle_aged|old,any,low|middle|high|elite,scandinavian,,,false,rare,1,frequency_class ubiquitous/common/contextual/rare -> 8/4/2/1,иноземный круг,new|serviceable|worn|dirty|broken,costume:FR008|costume:SRC028|costume:SRC039|costume:SRC049,B,candidate,Кольцевая застёжка североевропейского круга начала XIII в.; у приезжего христианского купца она заменяет «викингский» набор ранней эпохи.
ad_new_glass_bracelet,,bracelet_glass,Стеклянный браслет,item_templates,wrist,"стекло: чёрное, коричневое, зелёное, жёлтое, бирюзовое, фиолетовое, синее, прозрачное",glass,female,young_adult|adult|middle_aged|old,any,low|middle|high,local|import,,,false,common,4,frequency_class ubiquitous/common/contextual/rare -> 8/4/2/1,"книга: «браслеты из этого стекла делали ... в Новгороде — с конца XII до середины XIV в.» (Древняя Русь. Быт и культура, 1997, §Украшения из стекла Ю.Л. Щапова, ¶858); свинцово-калиевое стекло — вероятный импорт начала XIII в. (web:WEB02), местное производство этим не доказано",new|serviceable|worn|dirty|broken,book:624953 §Украшения из стекла (Ю.Л. Щапова) ¶858|web:WEB02|costume:AC023,B,candidate,"1230 внутри новгородского периода бытования (кон. XII — сер. XIV в., книга). Прежняя дата «мода с 1030-х» и утверждение о местном производстве с конца XII в. по WEB03 не подтверждались источником и удалены."
ad_new_shield_temple_ring,,temple_ring_shield_type,Ромбощитковое височное кольцо новгородского типа,item_templates,ear_temple,серебро|бронза,MAT013|MAT012,female,young_adult|adult|middle_aged|old,any,low|middle|high,local,,,false,contextual,2,frequency_class ubiquitous/common/contextual/rare -> 8/4/2/1,"книга: «у новгородских словен характерной этноопределяющей деталью женского костюма являлись ромбощитковые височные кольца» (Древняя Русь. Быт и культура, 1997, §Украшения из меди и сплавов М.В. Седова, ¶649); «ромбо-щитковые височные кольца ... датируются началом XI–XIV в.» (Финно-угры и балты в эпоху средневековья, 1987, ¶343)",new|serviceable|worn|dirty|broken,book:624953 §Украшения из меди и сплавов (М.В. Седова) ¶649|book:681281 §Прибалтийские финны ¶343|costume:AC021,B,candidate,"1230 внутри книжного диапазона бытования (нач. XI–XIV в.). WEB04 (booksite, короткая энциклопедическая статья «Височные кольца», не текст Седовой) снят как источник узкой датировки; см. также sources.csv."
ad_new_amber_pendant,,amber_pendant_bead,"Янтарные бусины, крестики и привески",item_templates,neck,янтарь,amber,male|female,young_adult|adult|middle_aged|old,any,low|middle|high,local|baltic_import,,,false,common,4,frequency_class ubiquitous/common/contextual/rare -> 8/4/2/1,>1000 янтарных изделий в раскопках,new|serviceable|worn|dirty|broken,web:WEB03,A,candidate,Янтарь — Поднепровье и Прибалтика.
ad_new_collar_button_bronze,,collar_button,Литая бронзовая пуговица ворота рубахи,item_templates,garment_fastener,бронза,MAT012,male|female,young_adult|adult|middle_aged|old,any,low|middle|high|elite,local,,,false,contextual,2,frequency_class ubiquitous/common/contextual/rare -> 8/4/2/1,WK: один из исторических вариантов застёжки,new|serviceable|worn|dirty|broken,wk:material_culture:shirt-collar-button|claim:clothing-bronze-button|claim:clothing-button-shirt,B,candidate,
ad_new_collar_button_bone,,collar_button,Костяная пуговица ворота рубахи,item_templates,garment_fastener,кость,MAT015,male|female,young_adult|adult|middle_aged|old,any,low|middle|high,local,,,false,contextual,2,frequency_class ubiquitous/common/contextual/rare -> 8/4/2/1,WK: наряду с бронзовыми,new|serviceable|worn|dirty|broken,wk:material_culture:shirt-collar-button|claim:clothing-bone-button,B,candidate,
