category_id,domain,facet,stable_code,parent_category_id,name_ru,name_en,preferred_label,title,definition,scope_note,inclusion_rules,exclusion_rules,region_id,universal,pf_ref,source_domain_file,source_refs,status
cat_place_family,place_family,place_family,place_family,,Семейство места,Place family,Place family,Семейство места,Root of place families: kinds of ordinary places used as the key of presence pools.,Universal (world-wide); regional permission via region_category_options.,All place-first families.,"Concrete places, nodes, templates.",,true,,places-binding/places/place_families.csv,data/world-catalogs/novgorod/world-knowledge/production-v1/place-first-cartography.json,candidate
cat_place_family_kind_agrarian,place_family,place_family,place_family.kind.agrarian,cat_place_family,,agrarian,agrarian,agrarian,Place families of kind agrarian.,Grouping level for presence rule inheritance by parent_category_id.,pf_kind = agrarian in places/place_families.csv,Families of another kind.,,true,,places-binding/places/place_families.csv,data/world-catalogs/novgorod/world-knowledge/production-v1/place-first-cartography.json,candidate
cat_place_family_kind_interior,place_family,place_family,place_family.kind.interior,cat_place_family,,interior,interior,interior,Place families of kind interior.,Grouping level for presence rule inheritance by parent_category_id.,pf_kind = interior in places/place_families.csv,Families of another kind.,,true,,places-binding/places/place_families.csv,data/world-catalogs/novgorod/world-knowledge/production-v1/place-first-cartography.json,candidate
cat_place_family_kind_natural_edge,place_family,place_family,place_family.kind.natural_edge,cat_place_family,,natural edge,natural edge,natural edge,Place families of kind natural_edge.,Grouping level for presence rule inheritance by parent_category_id.,pf_kind = natural_edge in places/place_families.csv,Families of another kind.,,true,,places-binding/places/place_families.csv,data/world-catalogs/novgorod/world-knowledge/production-v1/place-first-cartography.json,candidate
cat_place_family_kind_natural_forest,place_family,place_family,place_family.kind.natural_forest,cat_place_family,,natural forest,natural forest,natural forest,Place families of kind natural_forest.,Grouping level for presence rule inheritance by parent_category_id.,pf_kind = natural_forest in places/place_families.csv,Families of another kind.,,true,,places-binding/places/place_families.csv,data/world-catalogs/novgorod/world-knowledge/production-v1/place-first-cartography.json,candidate
cat_place_family_kind_natural_open,place_family,place_family,place_family.kind.natural_open,cat_place_family,,natural open,natural open,natural open,Place families of kind natural_open.,Grouping level for presence rule inheritance by parent_category_id.,pf_kind = natural_open in places/place_families.csv,Families of another kind.,,true,,places-binding/places/place_families.csv,data/world-catalogs/novgorod/world-knowledge/production-v1/place-first-cartography.json,candidate
cat_place_family_kind_natural_wetland,place_family,place_family,place_family.kind.natural_wetland,cat_place_family,,natural wetland,natural wetland,natural wetland,Place families of kind natural_wetland.,Grouping level for presence rule inheritance by parent_category_id.,pf_kind = natural_wetland in places/place_families.csv,Families of another kind.,,true,,places-binding/places/place_families.csv,data/world-catalogs/novgorod/world-knowledge/production-v1/place-first-cartography.json,candidate
cat_place_family_kind_overlay,place_family,place_family,place_family.kind.overlay,cat_place_family,,overlay,overlay,overlay,Place families of kind overlay.,Grouping level for presence rule inheritance by parent_category_id.,pf_kind = overlay in places/place_families.csv,Families of another kind.,,true,,places-binding/places/place_families.csv,data/world-catalogs/novgorod/world-knowledge/production-v1/place-first-cartography.json,candidate
cat_place_family_kind_religious_space,place_family,place_family,place_family.kind.religious_space,cat_place_family,,religious space,religious space,religious space,Place families of kind religious_space.,Grouping level for presence rule inheritance by parent_category_id.,pf_kind = religious_space in places/place_families.csv,Families of another kind.,,true,,places-binding/places/place_families.csv,data/world-catalogs/novgorod/world-knowledge/production-v1/place-first-cartography.json,candidate
cat_place_family_kind_route,place_family,place_family,place_family.kind.route,cat_place_family,,route,route,route,Place families of kind route.,Grouping level for presence rule inheritance by parent_category_id.,pf_kind = route in places/place_families.csv,Families of another kind.,,true,,places-binding/places/place_families.csv,data/world-catalogs/novgorod/world-knowledge/production-v1/place-first-cartography.json,candidate
