pb_id,item_category_ref,value_band,seasonal_modifier,war_modifier,road_modifier,famine_modifier,basis,source_refs,confidence
pb_bread_loaf,gap:tsv_category.food (item_category_ref pending materials_registry/category_parameters domain),low,higher_when_grain_short,"rises_with_war_or_fire (проектное правило, tsv#crisis_variation)","rises_when_route_closed_or_distant (проектное правило, tsv#crisis_variation)","rises_sharply_in_famine, order of magnitude ~x7 for staple grain/food (see basis); category ""food"" follows the same direction","tsv base_value_band (draft, project rule, medium confidence) + derived multiplier (script-computed from compensation_reference.csv, not invented): ratio ×6.7 (rye/kad, 1228 non-famine vs 1230-1231 famine per НПЛ); cross-check ×2.5 (rye/kad, 1215 famine vs 1170 military blockade). Used only as an order-of-magnitude direction for famine_modifier, never as an item price. See compensation_reference.csv#cr_rye_kad_1228,cr_rye_kad_1230_famine,cr_rye_kad_1215_famine,cr_rye_kad_1170_blockade.","tools/rus13-novgorod-regional-templates/novgorod_goods_prices_v1.tsv#price_bread_loaf; price_bands/compensation_reference.csv#cr_rye_kad_1228,cr_rye_kad_1230_famine,cr_rye_kad_1215_famine,cr_rye_kad_1170_blockade",C (band) / B (famine ratio basis)
pb_grain_rye,gap:tsv_category.grain (item_category_ref pending materials_registry/category_parameters domain),ordinary,lowest_after_harvest; higher_late_winter,"rises_with_war_or_fire (проектное правило, tsv#crisis_variation)","rises_when_route_closed_or_distant (проектное правило, tsv#crisis_variation)","rises_sharply_in_famine, order of magnitude ~x7 for staple grain/food (see basis); category ""grain"" follows the same direction","tsv base_value_band (draft, project rule, medium confidence) + derived multiplier (script-computed from compensation_reference.csv, not invented): ratio ×6.7 (rye/kad, 1228 non-famine vs 1230-1231 famine per НПЛ); cross-check ×2.5 (rye/kad, 1215 famine vs 1170 military blockade). Used only as an order-of-magnitude direction for famine_modifier, never as an item price. See compensation_reference.csv#cr_rye_kad_1228,cr_rye_kad_1230_famine,cr_rye_kad_1215_famine,cr_rye_kad_1170_blockade.","tools/rus13-novgorod-regional-templates/novgorod_goods_prices_v1.tsv#price_grain_rye; price_bands/compensation_reference.csv#cr_rye_kad_1228,cr_rye_kad_1230_famine,cr_rye_kad_1215_famine,cr_rye_kad_1170_blockade",C (band) / B (famine ratio basis)
pb_grain_barley_oats,gap:tsv_category.grain (item_category_ref pending materials_registry/category_parameters domain),ordinary,seasonal; tied_to_fodder,"rises_with_war_or_fire (проектное правило, tsv#crisis_variation)","rises_when_route_closed_or_distant (проектное правило, tsv#crisis_variation)","rises_sharply_in_famine, order of magnitude ~x7 for staple grain/food (see basis); category ""grain"" follows the same direction","tsv base_value_band (draft, project rule, medium confidence) + derived multiplier (script-computed from compensation_reference.csv, not invented): ratio ×6.7 (rye/kad, 1228 non-famine vs 1230-1231 famine per НПЛ); cross-check ×2.5 (rye/kad, 1215 famine vs 1170 military blockade). Used only as an order-of-magnitude direction for famine_modifier, never as an item price. See compensation_reference.csv#cr_rye_kad_1228,cr_rye_kad_1230_famine,cr_rye_kad_1215_famine,cr_rye_kad_1170_blockade.","tools/rus13-novgorod-regional-templates/novgorod_goods_prices_v1.tsv#price_grain_barley_oats; price_bands/compensation_reference.csv#cr_rye_kad_1228,cr_rye_kad_1230_famine,cr_rye_kad_1215_famine,cr_rye_kad_1170_blockade",C (band) / B (famine ratio basis)
pb_flour,gap:tsv_category.food (item_category_ref pending materials_registry/category_parameters domain),ordinary,higher_in_winter_and_shortage,"rises_with_war_or_fire (проектное правило, tsv#crisis_variation)","rises_when_route_closed_or_distant (проектное правило, tsv#crisis_variation)","rises_sharply_in_famine, order of magnitude ~x7 for staple grain/food (see basis); category ""food"" follows the same direction","tsv base_value_band (draft, project rule, medium confidence) + derived multiplier (script-computed from compensation_reference.csv, not invented): ratio ×6.7 (rye/kad, 1228 non-famine vs 1230-1231 famine per НПЛ); cross-check ×2.5 (rye/kad, 1215 famine vs 1170 military blockade). Used only as an order-of-magnitude direction for famine_modifier, never as an item price. See compensation_reference.csv#cr_rye_kad_1228,cr_rye_kad_1230_famine,cr_rye_kad_1215_famine,cr_rye_kad_1170_blockade.","tools/rus13-novgorod-regional-templates/novgorod_goods_prices_v1.tsv#price_flour; price_bands/compensation_reference.csv#cr_rye_kad_1228,cr_rye_kad_1230_famine,cr_rye_kad_1215_famine,cr_rye_kad_1170_blockade",C (band) / B (famine ratio basis)
pb_salt,gap:tsv_category.preservation (item_category_ref pending materials_registry/category_parameters domain),valuable,depends_on_supply_routes; high_when_routes_closed,"rises_with_war_or_fire (проектное правило, tsv#crisis_variation)","rises_when_route_closed_or_distant (проектное правило, tsv#crisis_variation)","rises_sharply_in_famine, order of magnitude ~x7 for staple grain/food (see basis); category ""preservation"" follows the same direction","tsv base_value_band (draft, project rule, medium confidence) + derived multiplier (script-computed from compensation_reference.csv, not invented): ratio ×6.7 (rye/kad, 1228 non-famine vs 1230-1231 famine per НПЛ); cross-check ×2.5 (rye/kad, 1215 famine vs 1170 military blockade). Used only as an order-of-magnitude direction for famine_modifier, never as an item price. See compensation_reference.csv#cr_rye_kad_1228,cr_rye_kad_1230_famine,cr_rye_kad_1215_famine,cr_rye_kad_1170_blockade.","tools/rus13-novgorod-regional-templates/novgorod_goods_prices_v1.tsv#price_salt; price_bands/compensation_reference.csv#cr_rye_kad_1228,cr_rye_kad_1230_famine,cr_rye_kad_1215_famine,cr_rye_kad_1170_blockade",C (band) / B (famine ratio basis)
pb_fresh_fish,gap:tsv_category.food (item_category_ref pending materials_registry/category_parameters domain),low_to_ordinary,best_in_fishing_season; spoils_quickly,"rises_with_war_or_fire (проектное правило, tsv#crisis_variation)","rises_when_route_closed_or_distant (проектное правило, tsv#crisis_variation)","rises_sharply_in_famine, order of magnitude ~x7 for staple grain/food (see basis); category ""food"" follows the same direction","tsv base_value_band (draft, project rule, medium confidence) + derived multiplier (script-computed from compensation_reference.csv, not invented): ratio ×6.7 (rye/kad, 1228 non-famine vs 1230-1231 famine per НПЛ); cross-check ×2.5 (rye/kad, 1215 famine vs 1170 military blockade). Used only as an order-of-magnitude direction for famine_modifier, never as an item price. See compensation_reference.csv#cr_rye_kad_1228,cr_rye_kad_1230_famine,cr_rye_kad_1215_famine,cr_rye_kad_1170_blockade.","tools/rus13-novgorod-regional-templates/novgorod_goods_prices_v1.tsv#price_fresh_fish; price_bands/compensation_reference.csv#cr_rye_kad_1228,cr_rye_kad_1230_famine,cr_rye_kad_1215_famine,cr_rye_kad_1170_blockade",C (band) / B (famine ratio basis)
pb_dried_fish,gap:tsv_category.food_preserved (item_category_ref pending materials_registry/category_parameters domain),ordinary,valued_in_travel_and_winter,"rises_with_war_or_fire (проектное правило, tsv#crisis_variation)","rises_when_route_closed_or_distant (проектное правило, tsv#crisis_variation)","rises_sharply_in_famine, order of magnitude ~x7 for staple grain/food (see basis); category ""food_preserved"" follows the same direction","tsv base_value_band (draft, project rule, medium confidence) + derived multiplier (script-computed from compensation_reference.csv, not invented): ratio ×6.7 (rye/kad, 1228 non-famine vs 1230-1231 famine per НПЛ); cross-check ×2.5 (rye/kad, 1215 famine vs 1170 military blockade). Used only as an order-of-magnitude direction for famine_modifier, never as an item price. See compensation_reference.csv#cr_rye_kad_1228,cr_rye_kad_1230_famine,cr_rye_kad_1215_famine,cr_rye_kad_1170_blockade.","tools/rus13-novgorod-regional-templates/novgorod_goods_prices_v1.tsv#price_dried_fish; price_bands/compensation_reference.csv#cr_rye_kad_1228,cr_rye_kad_1230_famine,cr_rye_kad_1215_famine,cr_rye_kad_1170_blockade",C (band) / B (famine ratio basis)
pb_honey,gap:tsv_category.food_trade (item_category_ref pending materials_registry/category_parameters domain),valuable,harvest_season_supply; valuable_for_trade,"rises_with_war_or_fire (проектное правило, tsv#crisis_variation)","rises_when_route_closed_or_distant (проектное правило, tsv#crisis_variation)","rises_sharply_in_famine, order of magnitude ~x7 for staple grain/food (see basis); category ""food_trade"" follows the same direction","tsv base_value_band (draft, project rule, medium confidence) + derived multiplier (script-computed from compensation_reference.csv, not invented): ratio ×6.7 (rye/kad, 1228 non-famine vs 1230-1231 famine per НПЛ); cross-check ×2.5 (rye/kad, 1215 famine vs 1170 military blockade). Used only as an order-of-magnitude direction for famine_modifier, never as an item price. See compensation_reference.csv#cr_rye_kad_1228,cr_rye_kad_1230_famine,cr_rye_kad_1215_famine,cr_rye_kad_1170_blockade.","tools/rus13-novgorod-regional-templates/novgorod_goods_prices_v1.tsv#price_honey; price_bands/compensation_reference.csv#cr_rye_kad_1228,cr_rye_kad_1230_famine,cr_rye_kad_1215_famine,cr_rye_kad_1170_blockade",C (band) / B (famine ratio basis)
pb_wax,gap:tsv_category.trade_church (item_category_ref pending materials_registry/category_parameters domain),high_value,stable_trade_good; high_demand_for_church,"rises_with_war_or_fire (проектное правило, tsv#crisis_variation)","rises_when_route_closed_or_distant (проектное правило, tsv#crisis_variation)",secondary_rise_via_general_scarcity_and_debt_pressure (no category-specific sourced ratio; only staple grain/bread has a direct chronicle ratio -- see basis),"tsv base_value_band (draft, project rule, medium confidence); famine magnitude not sourced for this category -- direction only, no invented number",tools/rus13-novgorod-regional-templates/novgorod_goods_prices_v1.tsv#price_wax,C
pb_fur_squirrel,gap:tsv_category.fur (item_category_ref pending materials_registry/category_parameters domain),valuable,winter_quality_matters,"rises_with_war_or_fire (проектное правило, tsv#crisis_variation)","rises_when_route_closed_or_distant (проектное правило, tsv#crisis_variation)",secondary_rise_via_general_scarcity_and_debt_pressure (no category-specific sourced ratio; only staple grain/bread has a direct chronicle ratio -- see basis),"tsv base_value_band (draft, project rule, medium confidence); famine magnitude not sourced for this category -- direction only, no invented number",tools/rus13-novgorod-regional-templates/novgorod_goods_prices_v1.tsv#price_fur_squirrel,C
