binding_id,region_id,landscape_template_id,regional_link_id,landscape_title_ru,ground_nm_id,soil_ground_type,moisture_level,source_refs,confidence,status
nmb_lt_alluvial_floodplain,region_novgorod_land,lt_alluvial_floodplain,rlt_novgorod_alluvial_floodplain,Аллювиальная пойма,nm_ground_alluvial_silt_clay,alluvial_silt_clay,seasonally_wet,world_db.world_base.landscape_templates + region_landscape_templates region_novgorod_land (draft; exported to _shared/novgorod_landscape_templates.world_db.tsv)#lt_alluvial_floodplain,C,candidate
nmb_lt_boreal_mixed_forest,region_novgorod_land,lt_boreal_mixed_forest,rlt_novgorod_boreal_mixed_forest,Бореальный смешанный лес,nm_ground_podzolic_litter_roots,podzolic_litter_roots,normal_or_wet,world_db.world_base.landscape_templates + region_landscape_templates region_novgorod_land (draft; exported to _shared/novgorod_landscape_templates.world_db.tsv)#lt_boreal_mixed_forest,C,candidate
nmb_lt_boreal_taiga_coniferous_forest,region_novgorod_land,lt_boreal_taiga_coniferous_forest,rlt_novgorod_boreal_taiga_coniferous_forest,Бореальный хвойный лес / тайга,nm_ground_podzolic_soil_moss_roots,podzolic_soil_moss_roots,normal_or_wet,world_db.world_base.landscape_templates + region_landscape_templates region_novgorod_land (draft; exported to _shared/novgorod_landscape_templates.world_db.tsv)#lt_boreal_taiga_coniferous_forest,C,candidate
nmb_lt_dense_coniferous_forest,region_novgorod_land,lt_dense_coniferous_forest,rlt_novgorod_dense_coniferous_forest,Густой хвойный лес,nm_ground_needle_litter_roots_deadwood,needle_litter_roots_deadwood,normal_or_wet,world_db.world_base.landscape_templates + region_landscape_templates region_novgorod_land (draft; exported to _shared/novgorod_landscape_templates.world_db.tsv)#lt_dense_coniferous_forest,C,candidate
nmb_lt_dry_meadow,region_novgorod_land,lt_dry_meadow,rlt_novgorod_dry_meadow,Сухой луг / сухая травянистая местность,nm_ground_firm_grass_soil,firm_grass_soil,dry,world_db.world_base.landscape_templates + region_landscape_templates region_novgorod_land (draft; exported to _shared/novgorod_landscape_templates.world_db.tsv)#lt_dry_meadow,C,candidate
nmb_lt_dry_ravine_gully,region_novgorod_land,lt_dry_ravine_gully,rlt_novgorod_dry_ravine_gully,Сухой овраг / балка / промоина,nm_ground_clay_sand_loam,clay_sand_loam,dry,world_db.world_base.landscape_templates + region_landscape_templates region_novgorod_land (draft; exported to _shared/novgorod_landscape_templates.world_db.tsv)#lt_dry_ravine_gully,C,candidate
nmb_lt_fen,region_novgorod_land,lt_fen,rlt_novgorod_fen,Низинное торфяное болото / фен,nm_ground_minerotrophic_peat,minerotrophic_peat,waterlogged,world_db.world_base.landscape_templates + region_landscape_templates region_novgorod_land (draft; exported to _shared/novgorod_landscape_templates.world_db.tsv)#lt_fen,C,candidate
nmb_lt_floodplain_wet_grassland,region_novgorod_land,lt_floodplain_wet_grassland,rlt_novgorod_floodplain_wet_grassland,Пойменный влажный луг,nm_ground_alluvial_wet_soil,alluvial_wet_soil,seasonally_wet,world_db.world_base.landscape_templates + region_landscape_templates region_novgorod_land (draft; exported to _shared/novgorod_landscape_templates.world_db.tsv)#lt_floodplain_wet_grassland,C,candidate
nmb_lt_freshwater_marsh,region_novgorod_land,lt_freshwater_marsh,rlt_novgorod_freshwater_marsh,Пресноводный марш / травяное болото на минеральных почвах,nm_ground_mineral_mud_silt,mineral_mud_silt,waterlogged,world_db.world_base.landscape_templates + region_landscape_templates region_novgorod_land (draft; exported to _shared/novgorod_landscape_templates.world_db.tsv)#lt_freshwater_marsh,C,candidate
nmb_lt_gentle_hills,region_novgorod_land,lt_gentle_hills,rlt_novgorod_gentle_hills,Пологие холмы,nm_ground_firm_soil,firm_soil,normal,world_db.world_base.landscape_templates + region_landscape_templates region_novgorod_land (draft; exported to _shared/novgorod_landscape_templates.world_db.tsv)#lt_gentle_hills,C,candidate
