id	title	type	url	summary	use_in_file	status
src_project_g1_architecture	Проектная архитектура G1/GU/G0-G5	project_doc	read_only_database_and_graph_architecture.md	G1 — дневная ячейка 32×32 км; 1 travel_day = 8 GU = 32 км; крупные объекты накладываются на G1 как якоря и коридоры.	Размер ячейки, поля G1, правило наложения якорей/коридоров.	project_rule
src_project_schema_graph_nodes	Схема world_base.graph_nodes	project_schema	world_base_schema_reference.md	Для G1 region_cell обязательны grid_x, grid_y, grid_z, cell_size_km, crossing_base_gu, crossing_base_time_hours, region_cell_status, primary_landscape_template_id.	Структура G1_cells_70.	project_rule
src_project_g1_g5_rules	Правила генерации G1-G5	project_doc	Правила-генерации-G1-G5.txt	G1 должен иметь богатый профиль, а не вручную прописанную каждую избу; G2/G3/G4 разворачиваются дальше.	Файл ограничен G1 и готовит основу для G2-G4.	project_rule
src_information_policy	Работа с источниками и статусами сведений	project_doc	information_sources_llm_prompts.md	Внешние/черновые сведения должны иметь происхождение, статус и проверяемость; исторически допустимые допущения не равны фактам.	Поля evidence_status, confidence, audit_notes.	project_rule
src_nosov_iskos_1984	E. N. Nosov — Historical ties / Ilmen basin and Volkhov source	academic	https://journal.fi/iskos/article/view/143136/90577	Ильменская система Мсты, Ловати, Полы и Шелони сходится у истока Волхова; северо-западное Приильменье и исток Волхова — ключевая зона раннего расселения.	Приильменье, Волхов, Мста, Ловать/Пола, Шелонь как основные коридоры G1.	source_backed
src_novgorod_wider_context	Medieval Novgorod in Its Wider Context	academic_pdf	https://eprints.bournemouth.ac.uk/23438/1/01%20Novgorod%20IV.pdf	Поозерие — узкая плодородная полоса к северо-западу от Ильменя, плотно заселённая и снабжавшая Новгород продовольствием.	Высокая сельская плотность северо-западного Приильменья, связь города с сельской округой.	source_backed
src_lake_ilmen_params	Lake Ilmen parameters and inflow/outflow	reference	https://en.wikipedia.org/wiki/Lake_Ilmen	Ильмень: Мста, Пола, Ловать, Шелонь впадают; Волхов вытекает; озеро около 40×32 км, площадь изменчива.	Водные ячейки Ильменя и озёрные/речные коридоры.	reference_check
src_unesco_novgorod	Historic Monuments of Novgorod and Surroundings	heritage	https://whc.unesco.org/en/list/604/	Новгород и окружение как крупный исторический городской, торговый и церковный комплекс.	Ячейка Новгорода, монастырские и городские якоря.	source_backed
src_staraya_russa_salt	Staraya Russa salt / medieval salt production	heritage_reference	https://www.fondazioneslowfood.com/en/ark-of-taste-slow-food/starorusskaya-salt/	Старая Русса/Руса у Полисти и Порусьи связана с солеварением с XI века.	Соляной кластер Русы и южное Приильменье.	source_backed
src_novgorod_archaeology_waterlogged	Medieval Novgorod: early urban life in northern Europe	archaeology_article	https://journals.uclpress.co.uk/ai/article/575/galley/12753/view/	Археологическая среда Новгорода водонасыщена и даёт детальные свидетельства городской жизни и построек.	Уточнение городского профиля Новгородской G1.	source_backed
src_master_audit_2026_07_05_v6	LLM-аудит и пересборка карты Новгородского региона v6	project_audit	generated_in_task	Исправление топонимики, масштаба, G4 и связности после полного D&D/историко-графового аудита.	v6 audit and final import package	project_rule
