gm_id,source_item_id,name_ru,alt_names_ru,name_en,garment_category,universal_category_layer,region_id,equipment_slot,usage_context,material,material_ids,material_class,dye_color,color_ids,dye_evidence_refs,decoration,sex,age,marital_status,status_band,status_basis,season,season_basis,wear_states,mark_slots,runtime_daily_eligible,existing_runtime_template,visual_fabric,visual_main_color,visual_new_values,do_not_confuse_with,source_refs,confidence,status,notes
gm_gm001,GM001,Сорочица из льняного полотна,рубаха | нижняя рубаха,linen shirt (sorochitsa),garment.kind.tunic_shirt,universal,region_novgorod_land,base_garment,daily,лён | льняная нить,MAT001,textile,небелёный серо-бежевый | выбеленный молочно-белый,COL001|COL002|COL003,undyed|undyed(bleached)|undyed(natural wool),нет/минимальная (ANTI003),male,young_adult|adult|middle_aged|old,any,low|middle|high,kw:бедн|нижн;средн;богат|зажиточ|обеспеч,summer|spring|spring_rasputitsa|autumn|winter,text:круглый год;лет,new|serviceable|worn|patched|dirty|torn|wet,collar|cuffs|hem,true,item_tpl_nov_linen_shirt_v1,light_linen,undyed_linen,,косоворотка XIX века с боковой застёжкой и фабричной декоративной тесьмой,costume:GM001|costume:SRC006|costume:SRC008|costume:SRC019|wk:material_culture:tunic-shirt|claim:clothing-linen-shirt|claim:clothing-tunic-shirt-folded-panel|claim:clothing-shirt-principal-garment,B,candidate,"Прямая или умеренно расширяющаяся рубаха с длинными рукавами, надеваемая непосредственно на тело. Археология подтверждает растительные ткани, письменные источники — термин «сорочица»; конкретная выкройка реконструируется."
gm_gm002,GM002,Грубая сорочица из конопляного или смешанного полотна,рабочая рубаха,linen shirt (sorochitsa),garment.kind.tunic_shirt,universal,region_novgorod_land,base_garment,daily,конопля | лён | смешанное растительное полотно,MAT001|MAT002,textile,серо-бежевый | серо-коричневый,COL003,undyed(natural wool),нет/минимальная (ANTI003),male,young_adult|adult|middle_aged|old,any,low|middle,kw:бедн|нижн;средн,summer|spring|spring_rasputitsa|autumn|winter,text:лет;весн|весен;осен; combo:CMB002|CMB008,new|serviceable|worn|patched|dirty|torn|wet,collar|cuffs|hem,true,,light_linen,brown,,мешковиной грубого современного типа или лохмотьями «варвара»,costume:GM002|costume:SRC008|costume:SRC009|costume:SRC034|wk:material_culture:tunic-shirt|claim:clothing-hemp|claim:clothing-linen-shirt,B,candidate,Более грубый и тёмный вариант нижней/рабочей рубахи из растительного волокна; удобен для тяжёлой работы и бедного сельского комплекта.
gm_gm003,GM003,Шерстяная верхняя рубаха или туникообразная одежда,верхняя рубаха | туника — условный современный термин,wool upper tunic,garment.kind.wool_tunic,universal,region_novgorod_land,outer_garment,daily,шерсть | льняная нить для швов/подкладки,MAT001|MAT003,textile,натуральный серый | коричневый | приглушённый красный | синий | зелёный — при доступном красителе,COL003|COL004|COL005|COL006,claim:textile-indigo-yellow-analysis|claim:textile-lac-dye-analysis|costume:SRC007|costume:SRC015|costume:SRC016|undyed(natural wool),нет/минимальная (ANTI003),male,young_adult|adult|middle_aged|old,any,low|middle|high|elite,range:от небогат\w* до знати,summer|spring|spring_rasputitsa|autumn|winter,text:весн|весен;осен;зим; combo:CMB034,new|serviceable|worn|patched|dirty|torn|wet,collar|front_edge|cuffs|hem,true,,light_linen,brown,,поздним кафтаном с длинным рядом пуговиц и жёстким стоячим воротником,costume:GM003|costume:SRC007|costume:SRC008|costume:SRC025|costume:SRC027|claim:clothing-wool-shirt|claim:clothing-wool,B,candidate,"Длиннорукавная шерстяная одежда поверх сорочицы, обычно до колен или немного ниже. Название «туника» используется только как описательный термин, а не как древнерусское имя."
gm_gm004,GM004,Порты из полотна,штаны | нижние штаны,trousers (porty),garment.kind.trousers_porty,universal,region_novgorod_land,lower_garment,daily,лён | конопля | иногда тонкая шерсть,MAT001|MAT002|MAT004|MAT003,textile,небелёный | белёный | серый | коричневый,COL001|COL002|COL003,undyed|undyed(bleached)|undyed(natural wool),нет/минимальная (ANTI003),male,young_adult|adult|middle_aged|old,any,low|middle|high|elite,range:все слои|широк|все группы|разн|все в разн,summer|spring|spring_rasputitsa|autumn|winter,text:круглый год,new|serviceable|worn|patched|dirty|torn|wet,waistband,true,item_tpl_nov_trousers_v1,light_linen,undyed_linen,,широкими шароварами позднего восточного типа или современными брюками с гульфиком,costume:GM004|costume:SRC006|costume:SRC008|costume:SRC034|wk:material_culture:porty-trousers|claim:clothing-porty-cut,B,candidate,"Мужские штаны свободного или умеренно свободного кроя, носимые с обувью и при необходимости с обмотками. Конкретный способ соединения деталей реконструируется."
gm_gm005,GM005,Шерстяные зимние порты,тёплые штаны,wool winter trousers,garment.kind.trousers_porty,universal,region_novgorod_land,lower_garment,daily,шерсть,MAT003,textile,серый | коричневый | тёмный натуральный,COL003|COL008,claim:textile-ellagic-acid-analysis|costume:SRC007|costume:SRC043|undyed(natural wool),нет/минимальная (ANTI003),male,young_adult|adult|middle_aged|old,any,low|middle|high|elite,range:все слои|широк|все группы|разн|все в разн,autumn|winter,text:осен;зим;холод,new|serviceable|worn|patched|dirty|torn|wet,waistband,true,,wool,brown,,меховыми штанами кочевого/фэнтезийного типа как городской нормой,costume:GM005|costume:SRC007|costume:SRC008|costume:SRC034|wk:material_culture:porty-trousers|claim:clothing-porty-cut|claim:clothing-wool,B,candidate,"Тёплый вариант штанов из шерстяной ткани, возможно поверх более лёгкого нижнего слоя. Точная конструкция для Новгорода не сохранилась."
gm_gm006,GM006,Обмотки голени,онучи для голени | шерстяные обмотки,shin wraps,garment.kind.leg_wraps,universal,region_novgorod_land,leg_wrap,daily,шерсть | льняная ткань,MAT001|MAT003,textile,серый | коричневый | небелёный,COL001|COL002|COL003,undyed|undyed(bleached)|undyed(natural wool),нет/минимальная (ANTI003),male,young_adult|adult|middle_aged|old,any,low|middle|high|elite,unspecified(all),spring|spring_rasputitsa|autumn|winter,text:осен;зим;межсезон,new|serviceable|worn|patched|dirty|torn|wet,none,true,,light_linen,undyed_linen,,унифицированными «викингскими» обмотками у каждого персонажа,costume:GM006|costume:SRC006|costume:SRC034|wk:material_culture:onuchi|claim:clothing-onuchi-wrap,B,candidate,"Полосы ткани вокруг голени поверх нижней части портов; могли защищать от холода, грязи и цепляния одежды."
gm_gm007,GM007,Свита,верхняя шерстяная одежда,svita (wool outer coat),garment.kind.svita,universal,region_novgorod_land,outer_garment,daily,шерсть | льняная подкладка — возможна,MAT001|MAT003,textile,серый | коричневый | бурый | приглушённый красный | синий для более дорогой ткани,COL003|COL004|COL005,claim:textile-indigo-yellow-analysis|claim:textile-lac-dye-analysis|costume:SRC007|costume:SRC015|costume:SRC016|undyed(natural wool),нет/минимальная (ANTI003),male,young_adult|adult|middle_aged|old,any,middle|high|elite,range:от среднего слоя до знати,spring|spring_rasputitsa|autumn|winter,text:весн|весен;осен;зим,new|serviceable|worn|patched|dirty|torn|wet,collar|front_edge|cuffs|hem,true,item_tpl_nov_wool_outer_garment_v1,light_linen,brown,,"кафтаном XVI–XVII вв. с частой застёжкой, стоячим воротником и поздним силуэтом",costume:GM007|costume:SRC006|costume:SRC019|costume:SRC025|wk:material_culture:svita|claim:clothing-svita-outer-garment,B,candidate,"Длиннополая шерстяная верхняя одежда, закрывающая туловище и бёдра; могла запахиваться или застёгиваться ограниченным числом завязок/застёжек. Точный крой около 1230 реконструируется."
gm_gm008,GM008,Простой кожух,шуба мехом внутрь | овчинная верхняя одежда,sheepskin coat (kozhukh),garment.kind.sheepskin_coat_kozhukh,universal,region_novgorod_land,over_garment_winter,daily,овчина | другой доступный мех | кожа,MAT006|MAT007|fur_ordinary,leather,натуральный коричневый | серый | кремовый мех,COL003,undyed(natural wool),нет/минимальная (ANTI003),male,young_adult|adult|middle_aged|old,any,low|middle|high|elite,range:все слои|широк|все группы|разн|все в разн,winter,text:зим,new|serviceable|worn|patched|dirty|torn|wet,collar|front_edge|hem,true,,leather,brown,leather,огромной богатырской шубой наружным длинным мехом у любого персонажа,costume:GM008|costume:SRC016|costume:SRC018|costume:SRC019|costume:SRC020|wk:material_culture:kozhukh|claim:clothing-sheepskin-kozhukh,B,candidate,"Тёплая одежда из меховой шкуры, чаще с мехом внутрь; могла иметь тканевое покрытие у более обеспеченных владельцев."
gm_gm009,GM009,Покрытая тканью меховая шуба,богатая шуба,cloth-covered fur coat (shuba),garment.kind.fur_coat_shuba,universal,region_novgorod_land,over_garment_winter,daily,качественный мех | тонкая шерсть | редко импортная ткань,MAT004|MAT003|MAT008|fur_ordinary,textile,тёмно-синий | красный | бурый | зелёный | натуральный мех,COL003|COL004|COL005|COL006|COL008,claim:textile-ellagic-acid-analysis|claim:textile-indigo-yellow-analysis|claim:textile-lac-dye-analysis|costume:SRC007|costume:SRC015|costume:SRC016|costume:SRC043|undyed(natural wool),дорогой мех; ровная ткань; ограниченная декоративная кайма,male,young_adult|adult|middle_aged|old,any,high|elite,kw:богат|зажиточ|обеспеч;элит|знат|высш|исключительн,winter,text:зим,new|serviceable|worn|patched|dirty|torn|wet,collar|front_edge|hem,true,,wool,brown,,поздними русскими парадными шубами XVII века с чрезмерно широкими рукавами,costume:GM009|costume:SRC010|costume:SRC016|costume:SRC020|costume:SRC029,B,candidate,"Статусный меховой верхний слой, возможно покрытый тонкой шерстью или импортной тканью; мех служит утеплением и признаком достатка."
gm_gm010,GM010,Плащ-мятель,мятель | плащ | накидка,cloak,garment.kind.cloak,universal,region_novgorod_land,cloak,daily,шерсть | металлическая или костяная застёжка — возможна,MAT003|MAT015,textile,бурый | серый | красно-коричневый | синий/зелёный у обеспеченных,COL003|COL004|COL005|COL006,claim:textile-indigo-yellow-analysis|claim:textile-lac-dye-analysis|costume:SRC007|costume:SRC015|costume:SRC016|undyed(natural wool),нет/минимальная (ANTI003),male,young_adult|adult|middle_aged|old,any,low|middle|high|elite,range:все слои|широк|все группы|разн|все в разн,summer|spring|spring_rasputitsa|autumn|winter,text:лет;весн|весен;осен;зим,new|serviceable|worn|patched|dirty|torn|wet,edge|fastening_point,true,,wool,brown,,"римской тоги, фэнтезийной многослойной мантией или поздним опашнем",costume:GM010|costume:SRC015|costume:SRC025|costume:SRC027|costume:SRC049,B,candidate,Шерстяной плащ или накидка для улицы и дороги. Термин «мятель» близко по времени засвидетельствован в Новгороде; точная форма могла варьировать от прямоугольного полотнища до более обработанного плаща.
