scene_id,name_ru,scene_type,period_scope,location_scope,description_ru,required_item_ids,allowed_item_ids,forbidden_item_ids,object_counts,layout_rules,condition_ru,season_variants,source_ids,image_refs,confidence,prompt_hint
SCN001,Бедный городской дом летом,domestic,около 1230 года; рабочий диапазон 1200–1240,жилая усадьба,"Исторически ограниченная композиция «Бедный городской дом летом». Обязательные объекты задают конструктивный каркас; допустимые используются выборочно, а не все одновременно.",ARC0021 | INT0007 | FUR0002 | FUR0008 | POT0019 | POT0001,HOU0016 | HOU0015 | HOU0001 | MSC0046 | MSC0035,AP001 | AP003 | AP052,1 дом; 1 печь; 1–2 лавки; 1 малый стол; 3–7 сосудов; 1–3 тары,Печь у стены/угла по выбранному плану; лавки вдоль стен; минимум свободностоящей мебели.,"Ручная работа, неодинаковость, функциональный износ и локальный ремонт; состояние зависит от достатка и ухода.","лето; больше света через дверь, грязь/пыль по погоде",SRC001 | SRC003 | SRC005 | SRC012 | SRC089 | SRC008 | SRC067 | SRC006 | SRC024 | SRC080,IMG_SHEET_ARCHITECTURE_01 | IMG_SHEET_INTERIORS_01 | IMG_SHEET_FURNITURE_01 | IMG_SHEET_POTTERY_01 | IMG_SHEET_HOUSEHOLD_01,B,"Historically grounded Бедный городской дом летом in Novgorod around 1230. Use required item IDs exactly; select only a few allowed objects. Печь у стены/угла по выбранному плану; лавки вдоль стен; минимум свободностоящей мебели. No fantasy, no later Russian folk styling."
SCN002,Бедный городской дом зимой,domestic,около 1230 года; рабочий диапазон 1200–1240,жилая усадьба,"Исторически ограниченная композиция «Бедный городской дом зимой». Обязательные объекты задают конструктивный каркас; допустимые используются выборочно, а не все одновременно.",ARC0021 | INT0007 | FUR0002 | MSC0046 | MSC0025,HOU0016 | HOU0001 | HOU0002 | POT0019 | POT0001,AP001 | AP003 | AP052,1 дом; 1 печь; 1–2 лавки; 1 запас топлива; 2–6 сосудов,Плотная внутренняя организация вокруг источника тепла; не превращать печь в этнографическую русскую печь XIX века.,"Ручная работа, неодинаковость, функциональный износ и локальный ремонт; состояние зависит от достатка и ухода.","зима; закрытые проёмы, снег у входа, больше топлива",SRC001 | SRC003 | SRC005 | SRC012 | SRC089 | SRC008 | SRC067 | SRC006 | SRC025 | SRC061,IMG_SHEET_ARCHITECTURE_01 | IMG_SHEET_INTERIORS_01 | IMG_SHEET_FURNITURE_01 | IMG_SHEET_HOUSEHOLD_01 | IMG_SHEET_POTTERY_01,B,"Historically grounded Бедный городской дом зимой in Novgorod around 1230. Use required item IDs exactly; select only a few allowed objects. Плотная внутренняя организация вокруг источника тепла; не превращать печь в этнографическую русскую печь XIX века. No fantasy, no later Russian folk styling."
SCN003,Дом городского ремесленника,domestic_workshop,около 1230 года; рабочий диапазон 1200–1240,ремесленная усадьба,"Исторически ограниченная композиция «Дом городского ремесленника». Обязательные объекты задают конструктивный каркас; допустимые используются выборочно, а не все одновременно.",ARC0020 | ARC0031 | FUR0008 | FUR0001 | CRF0138 | CRF0001 | CRF0002,HOU0002 | HOU0016 | MSC0002 | MSC0001 | MSC0003,AP001 | AP003 | AP052,1 жилой сруб; 1 рабочая зона; 4–10 инструментов; 1–3 запаса сырья,"Жилая и рабочая зоны связаны, но грязное производство вынесено к двору/отдельной постройке, когда это функционально.","Ручная работа, неодинаковость, функциональный износ и локальный ремонт; состояние зависит от достатка и ухода.","лето/осень/зима/весна меняют грязь, снег, влажность, свет и транспорт, но не типологию предметов",SRC001 | SRC003 | SRC005 | SRC012 | SRC089 | SRC019 | SRC006 | SRC008 | SRC032 | SRC033,IMG_SHEET_ARCHITECTURE_01 | IMG_SHEET_FURNITURE_01 | IMG_SHEET_TOOLS_01 | IMG_SHEET_HOUSEHOLD_01,C,"Historically grounded Дом городского ремесленника in Novgorod around 1230. Use required item IDs exactly; select only a few allowed objects. Жилая и рабочая зоны связаны, но грязное производство вынесено к двору/отдельной постройке, когда это функционально. No fantasy, no later Russian folk styling."
SCN004,Дом купца,domestic_merchant,около 1230 года; рабочий диапазон 1200–1240,торговая городская усадьба,"Исторически ограниченная композиция «Дом купца». Обязательные объекты задают конструктивный каркас; допустимые используются выборочно, а не все одновременно.",ARC0001 | ARC0002 | FUR0026 | FUR0006 | FUR0008 | TRD0037 | TRD0052 | TRD0001,POT0001 | POT0002 | POT0003 | WRT0014 | WRT0001,AP001 | AP003 | AP052,1–2 жилых/складских строения; 2–5 сундуков/ларей; 1 весовой комплект; 5–20 единиц тары/товара,Хранение и счёт отделены от жилой зоны; дорогие вещи не выставлены случайно и остаются property контекста.,"Ручная работа, неодинаковость, функциональный износ и локальный ремонт; состояние зависит от достатка и ухода.","лето/осень/зима/весна меняют грязь, снег, влажность, свет и транспорт, но не типологию предметов",SRC001 | SRC003 | SRC005 | SRC012 | SRC089 | SRC007 | SRC006 | SRC008 | SRC032 | SRC009,IMG_SHEET_OUTBUILDINGS_01 | IMG_SHEET_FURNITURE_01 | IMG_SHEET_TRADE_01 | IMG_SHEET_POTTERY_01 | IMG_SHEET_WRITING_MUSIC_01,C,"Historically grounded Дом купца in Novgorod around 1230. Use required item IDs exactly; select only a few allowed objects. Хранение и счёт отделены от жилой зоны; дорогие вещи не выставлены случайно и остаются property контекста. No fantasy, no later Russian folk styling."
SCN005,Боярская усадьба,estate,около 1230 года; рабочий диапазон 1200–1240,крупная городская усадьба,"Исторически ограниченная композиция «Боярская усадьба». Обязательные объекты задают конструктивный каркас; допустимые используются выборочно, а не все одновременно.",ARC0018 | ARC0015 | ARC0001 | ARC0002 | FUR0026 | FUR0008 | TRD0006 | TRD0050,HRS0034 | HRS0035 | REL0001 | REL0008 | MIL0003 | MIL0001,AP001 | AP003 | AP052,2–6 строений; ограда и ворота; 1–2 склада; ограниченные статусные предметы,Несколько построек вокруг двора; хозяйственные и статусные зоны различаются; никакого дворца Московского царства.,"Ручная работа, неодинаковость, функциональный износ и локальный ремонт; состояние зависит от достатка и ухода.","лето/осень/зима/весна меняют грязь, снег, влажность, свет и транспорт, но не типологию предметов",SRC001 | SRC003 | SRC005 | SRC012 | SRC089 | SRC007 | SRC006 | SRC008 | SRC032 | SRC009,IMG_SHEET_OUTBUILDINGS_01 | IMG_SHEET_ARCHITECTURE_01 | IMG_SHEET_FURNITURE_01 | IMG_SHEET_TRADE_01 | IMG_SHEET_HARNESS_01 | IMG_SHEET_RELIGIOUS_01 | IMG_SHEET_ARMOR_01,B,"Historically grounded Боярская усадьба in Novgorod around 1230. Use required item IDs exactly; select only a few allowed objects. Несколько построек вокруг двора; хозяйственные и статусные зоны различаются; никакого дворца Московского царства. No fantasy, no later Russian folk styling."
SCN006,Бедная городская усадьба,estate,около 1230 года; рабочий диапазон 1200–1240,плотная городская застройка,"Исторически ограниченная композиция «Бедная городская усадьба». Обязательные объекты задают конструктивный каркас; допустимые используются выборочно, а не все одновременно.",ARC0021 | ARC0017 | ARC0001 | MSC0046 | MSC0011,LIV0005 | LIV0016 | HOU0031 | HOU0019,AP001 | AP003 | AP052,1 жилое и 0–2 хозяйственных строения; 1 малая зона хранения,"Малый двор, тесные проходы, минимум специализированных построек; отходы локальны.","Ручная работа, неодинаковость, функциональный износ и локальный ремонт; состояние зависит от достатка и ухода.","лето/осень/зима/весна меняют грязь, снег, влажность, свет и транспорт, но не типологию предметов",SRC001 | SRC003 | SRC005 | SRC012 | SRC089 | SRC025 | SRC067 | SRC040 | SRC041 | SRC042,IMG_SHEET_ARCHITECTURE_01 | IMG_SHEET_OUTBUILDINGS_01 | IMG_SHEET_HOUSEHOLD_01 | IMG_SHEET_LIVESTOCK_01,B,"Historically grounded Бедная городская усадьба in Novgorod around 1230. Use required item IDs exactly; select only a few allowed objects. Малый двор, тесные проходы, минимум специализированных построек; отходы локальны. No fantasy, no later Russian folk styling."
SCN007,Торговая усадьба у берега,estate,около 1230 года; рабочий диапазон 1200–1240,прибрежный городской участок,"Исторически ограниченная композиция «Торговая усадьба у берега». Обязательные объекты задают конструктивный каркас; допустимые используются выборочно, а не все одновременно.",ARC0020 | ARC0001 | STR0011 | STR0001 | TRD0047 | TRD0052 | TRD0037,WTR0038 | WTR0017 | LTR0017 | LTR0028,AP001 | AP003 | AP052,1 склад; 1 пристань/сходни; 5–30 единиц тары; 0–2 транспортных средства,"Склад ориентирован к воде и дворовому проезду; груз перемещается по сходням, не телепортируется.","Ручная работа, неодинаковость, функциональный износ и локальный ремонт; состояние зависит от достатка и ухода.","лето/осень/зима/весна меняют грязь, снег, влажность, свет и транспорт, но не типологию предметов",SRC001 | SRC003 | SRC005 | SRC012 | SRC089 | SRC013 | SRC083 | SRC011 | SRC031 | SRC009,IMG_SHEET_ARCHITECTURE_01 | IMG_SHEET_OUTBUILDINGS_01 | IMG_SHEET_STREETS_01 | IMG_SHEET_TRADE_01 | IMG_SHEET_BOATS_01 | IMG_SHEET_CARTS_01,B,"Historically grounded Торговая усадьба у берега in Novgorod around 1230. Use required item IDs exactly; select only a few allowed objects. Склад ориентирован к воде и дворовому проезду; груз перемещается по сходням, не телепортируется. No fantasy, no later Russian folk styling."
SCN008,Сельский крестьянский двор,rural_estate,около 1230 года; рабочий диапазон 1200–1240,Новгородская земля,"Исторически ограниченная композиция «Сельский крестьянский двор». Обязательные объекты задают конструктивный каркас; допустимые используются выборочно, а не все одновременно.",ARC0020 | ARC0018 | ARC0002 | AGR0023 | AGR0012 | AGR0003 | LIV0024 | LIV0030 | LIV0005,LTR0017 | LTR0028 | MSC0040 | MSC0046 | MSC0001,AP001 | AP003 | AP052,1 жилое строение; 2–5 хозяйственных; 2–8 крупных и мелких животных по достатку,"Жилище, хранение зерна и скотные зоны функционально связаны; не копировать двор XIX века целиком.","Ручная работа, неодинаковость, функциональный износ и локальный ремонт; состояние зависит от достатка и ухода.","лето/осень/зима/весна меняют грязь, снег, влажность, свет и транспорт, но не типологию предметов",SRC001 | SRC003 | SRC005 | SRC012 | SRC089 | SRC007 | SRC044 | SRC045 | SRC046 | SRC008,IMG_SHEET_ARCHITECTURE_01 | IMG_SHEET_OUTBUILDINGS_01 | IMG_SHEET_AGRICULTURE_01 | IMG_SHEET_LIVESTOCK_01 | IMG_SHEET_CARTS_01 | IMG_SHEET_HOUSEHOLD_01,B,"Historically grounded Сельский крестьянский двор in Novgorod around 1230. Use required item IDs exactly; select only a few allowed objects. Жилище, хранение зерна и скотные зоны функционально связаны; не копировать двор XIX века целиком. No fantasy, no later Russian folk styling."
SCN009,Церковная усадьба,religious_estate,около 1230 года; рабочий диапазон 1200–1240,городской церковный участок,"Исторически ограниченная композиция «Церковная усадьба». Обязательные объекты задают конструктивный каркас; допустимые используются выборочно, а не все одновременно.",ARC0008 | ARC0018 | ARC0001 | REL0008 | REL0001,WRT0022 | WRT0001 | HOU0031 | HOU0002,AP001 | AP003 | AP052,1 храм; 1–3 хозяйственных строения; ограниченная утварь,Небольшой храм и хозяйственные помещения без позднего большого монастырского ансамбля.,"Ручная работа, неодинаковость, функциональный износ и локальный ремонт; состояние зависит от достатка и ухода.","лето/осень/зима/весна меняют грязь, снег, влажность, свет и транспорт, но не типологию предметов",SRC019 | SRC001 | SRC003 | SRC005 | SRC012 | SRC089 | SRC017 | SRC018 | SRC020 | SRC062,IMG_SHEET_CHURCHES_01 | IMG_SHEET_OUTBUILDINGS_01 | IMG_SHEET_RELIGIOUS_01 | IMG_SHEET_WRITING_MUSIC_01 | IMG_SHEET_HOUSEHOLD_01,B,"Historically grounded Церковная усадьба in Novgorod around 1230. Use required item IDs exactly; select only a few allowed objects. Небольшой храм и хозяйственные помещения без позднего большого монастырского ансамбля. No fantasy, no later Russian folk styling."
SCN010,Сапожная мастерская,workshop,около 1230 года; рабочий диапазон 1200–1240,ремесленная усадьба,"Исторически ограниченная композиция «Сапожная мастерская». Обязательные объекты задают конструктивный каркас; допустимые используются выборочно, а не все одновременно.",CRF0106 | CRF0050 | CRF0001 | CRF0002 | FUR0001 | MSC0003,HOU0016 | HOU0015 | TRD0001 | TRD0003,AP001 | AP003 | AP052,1 рабочее место; 5–15 инструментов/колодок; 1–3 связки кожи; заметные обрезки,Инструменты сгруппированы у низкой рабочей скамьи; колодки и выкройки не лежат декоративным набором.,"Ручная работа, неодинаковость, функциональный износ и локальный ремонт; состояние зависит от достатка и ухода.","лето/осень/зима/весна меняют грязь, снег, влажность, свет и транспорт, но не типологию предметов",SRC032 | SRC033 | SRC005 | SRC061 | SRC089 | SRC006 | SRC008 | SRC001 | SRC003 | SRC025,IMG_SHEET_TOOLS_01 | IMG_SHEET_FURNITURE_01 | IMG_SHEET_HOUSEHOLD_01 | IMG_SHEET_TRADE_01,C,"Historically grounded Сапожная мастерская in Novgorod around 1230. Use required item IDs exactly; select only a few allowed objects. Инструменты сгруппированы у низкой рабочей скамьи; колодки и выкройки не лежат декоративным набором. No fantasy, no later Russian folk styling."
