ap_id,title,why_wrong,use_instead,risk_level,applies_to,source_refs
AP001,Изба XIX века,"Пятистенная этнографическая изба с высоким подклетом, большими окнами и поздней планировкой подменяет археологически фиксируемое жильё XIII века.","Простой сруб/жилая клеть по footprint, с малыми проёмами, пристройками и дворовой логикой.",critical,architecture|interiors,matcult:anti_patterns.json
AP002,Резные наличники,Декоративные оконные наличники и пропильная резьба относятся к гораздо более поздней традиции.,"Небольшой простой проём, ставня/закрытие только по конкретной реконструкции.",critical,architecture,matcult:anti_patterns.json
AP003,Русское узорочье XVII века,"Кокошники, килевидные декоративные фронтоны, шатры и многоцветный кирпичный декор не относятся к Новгороду 1230.",Домонгольская каменная архитектура и простое деревянное строительство.,critical,architecture|religion,matcult:anti_patterns.json
AP004,Кирпичный Кремль,Современный краснокирпичный Детинец и поздние башни нельзя переносить в 1230.,Земляной вал и деревянные оборонительные конструкции с осторожной реконструкцией ворот.,critical,fortifications,matcult:anti_patterns.json
AP005,Поздние кремлёвские башни,Существующие каменные башни в основном позднесредневековые.,Неопределённая/простая деревянная башенно-воротная конструкция только с confidence C и референсом.,critical,fortifications,matcult:anti_patterns.json
AP006,Фэнтезийная крепость,"Гигантские зубчатые стены, каменные донжоны и декоративные башни не следуют новгородским данным.",Низкая функциональная земляно-деревянная оборона.,critical,fortifications,matcult:anti_patterns.json
AP007,Викингский длинный дом IX века,Автоматический «викингский» longhouse переносит другой регион и эпоху.,Новгородская усадьба с несколькими срубными постройками и оградами.,high,architecture|foreign,matcult:anti_patterns.json
AP008,Готический город XIV–XV века,"Фахверк, многоэтажные каменные фасады и поздняя готика не являются обликом Новгорода 1230.","Низкая деревянная усадебная ткань, домонгольские каменные храмы и Торг.",critical,architecture|foreign,matcult:anti_patterns.json
AP009,Сплошная соломенная кровля,Этнографическая деревня с одинаковыми соломенными крышами не доказана для городской застройки.,Разные осторожные кровельные решения: дрань/тёс/береста; солома только локально и C.,high,architecture,matcult:anti_patterns.json
AP010,Большие прозрачные окна,Большие стеклянные оконные рамы нового времени и залитые светом интерьеры анахроничны.,Малые проёмы; стекло только точечно и при прямом основании.,critical,architecture|interiors,matcult:anti_patterns.json
AP011,Современная железная печь,Чугунная печь с трубой и конфорками нового времени недопустима.,Глинобитная/каменно-глиняная печь или очаг по археологическому плану.,critical,interiors,matcult:anti_patterns.json
AP012,Универсальная «русская печь» XIX века,Большая белёная печь с лежанкой и поздней формой не должна подменять ранние печи.,Конструкция и расположение по footprint конкретного дома.,critical,interiors,matcult:anti_patterns.json
AP013,Современная мебель,"Высокие шкафы, комоды, кровати с матрасом и одинаковые стулья создают интерьер нового времени.","Лавки, простые столы, лари, сундуки, полки и настилы по находкам.",critical,furniture|interiors,matcult:anti_patterns.json
AP014,Таверна D&D,"Общий западноевропейский трактир с бочками, кружками и стойкой не подтверждает новгородское пространство.","Конкретная торговая/пиршественная сцена с местной тарой, лавками и функцией.",high,interiors|trade,matcult:anti_patterns.json
AP015,Глазурованная посуда у всех,Яркая импортная глазурь не является обычной массовой кухонной керамикой.,Серо-коричневые местные горшки; импорт контекстно ограничен.,high,pottery|trade,matcult:anti_patterns.json
AP016,Фарфор и стеклянные бутылки,Фарфор и бутылочная тара нового времени анахроничны.,"Глина, дерево, береста, кожа; редкое стекло только по находке.",critical,household|trade,matcult:anti_patterns.json
AP017,Фэнтезийный меч,"Огромный широкий клинок, сложная гарда и декоративная гравировка без аналога искажают оружие.","Конкретный тип клинка, гарды и навершия 1200–1250 по Кирпичникову/находке.",critical,weapons,matcult:anti_patterns.json
AP018,Двуручный меч позднего времени,Большие двуручные мечи XIV–XVI веков не принадлежат 1230.,Одноручный меч статусного воина; копьё остаётся массовее.,critical,weapons,matcult:anti_patterns.json
AP019,Катана/сабля позднего типа,Экзотические и поздние клинки не следует добавлять без прямого contact context.,"Меч, нож, топор и копьё соответствующих древнерусских типов.",critical,weapons,matcult:anti_patterns.json
AP020,Шипованная фэнтезийная булава,Гигантские шипы и чрезмерный размер не следуют археологии.,Малая булава конкретного типа и размера.,high,weapons,matcult:anti_patterns.json
AP021,Поздний арбалет,Тяжёлый стальной арбалет с воротом и болтами позднего Средневековья не подходит.,"Ранний самострел только C, с отдельным референсом и редкостью.",critical,weapons,matcult:anti_patterns.json
AP022,Латы XIV–XV века,"Полный пластинчатый доспех, горжет и сочленённые латные конечности анахроничны.",Кольчуга; отдельные пластинчатые/ламеллярные элементы только осторожно.,critical,armor,matcult:anti_patterns.json
AP023,Поздний бацинет/салад,Шлемы XIV–XV веков не должны попадать в 1230.,Конический/сфероконический шлем конкретной ранней типологии.,critical,helmets,matcult:anti_patterns.json
