hl_id,kind,name_ru,facts_summary,period_care_practice_note,period,fact_count,source_refs,confidence,status
hlb_001,caregiver_role,лечец (врач),"social_rule: В древнейшем (новгородском, кон. XIII в.) списке устава Владимира лечец, слепец, хромец, больницы, странноприимницы — «церковные люди» под ведением архиерея",,c1230,1,book:728823 §Медицина Древней Руси > Глава I. Медицина Древней Руси (X–XIII вв.) ¶100,B,candidate
hlb_002,institutional_care,монастырская больница,"social_rule: В монастырских больницах лечили безмездно, мирские лечцы брали плату",,c1230,1,book:728823 §Медицина Древней Руси > Глава I. Медицина Древней Руси (X–XIII вв.) ¶107,B,candidate
hlb_003,institutional_care,монастыри,quantity: В 1-й пол. XIII в. известно до 70 монастырей; в Киеве и Новгороде по 17–18,,c1230,1,book:728823 §Медицина Древней Руси > Глава I. Медицина Древней Руси (X–XIII вв.) ¶87,B,candidate
hlb_004,caregiver_role,мирской лечец,social_rule: Мирские лечцы лечили больных на дому за плату | price: Житие Варлаама Хутынского: слепой в Новгороде «много же и врачем разда и никое же пользы обрете» — лечение дорого и часто бесполезно,,c1230,2,book:728823 §Медицина Древней Руси > Глава I. Медицина Древней Руси (X–XIII вв.) ¶144;book:728823 §Медицина Древней Руси > Глава I. Медицина Древней Руси (X–XIII вв.) ¶146,B,candidate
hlb_005,caregiver_role,иноземные лекари,"social_rule: В XI–XIII вв. верили, что врачевание требует сокровенных знаний, и предпочитали иноземных лекарей",,c1230,1,book:728823 §Медицина Древней Руси > Глава I. Медицина Древней Руси (X–XIII вв.) ¶130,B,candidate
hlb_006,folk_healing_practice,волхвы и знахарки,social_rule: Волхвы и женщины-ведуньи («бабы богомерзкие» XII в.) лечили травами; к ним обращались и после крещения,"historical practice only, not medical advice",c1230,1,book:728823 §Медицина Древней Руси > Глава I. Медицина Древней Руси (X–XIII вв.) ¶72,B,candidate
hlb_007,folk_healing_practice,заговор от крови,"technique: Заговор «от течения крови»: трижды читать над раной «Кровь булат, мать руда, тело древо»","historical practice only, not medical advice",ethnographic_late,1,book:728823 §Медицина Древней Руси > Глава I. Медицина Древней Руси (X–XIII вв.) ¶67,B,candidate
hlb_008,birth_and_bathhouse,баня лечебная,"use: Лечение в бане — часть терапии; ПВЛ описывает парение в деревянных банях со «квасом уснияным», прутьями и холодной водой | technique: Грыжу вправляли после бани; баня сопровождала кровопускание, лечение нарывов и ран",,c1230,2,book:728823 §Медицина Древней Руси > Глава I. Медицина Древней Руси (X–XIII вв.) ¶151;book:728823 §Медицина Древней Руси > Глава I. Медицина Древней Руси (X–XIII вв.) ¶166,B,candidate
hlb_009,caregiver_role,травмы и хирургические болезни,"description: Древнерусские «хирургические» случаи: раны, переломы, вывихи, «расшибение с коней», «притрение возом», растерзание зверем, ожоги, грыжа, камни, трудные роды, гангрена от спорыньи",,c1230,1,book:728823 §Медицина Древней Руси > Глава I. Медицина Древней Руси (X–XIII вв.) ¶153,B,candidate
hlb_010,disease,эрготизм («гангрена удов»),description: «Гангрена удов» — следствие питания бедноты заражённым спорыньёй хлебом,,c1230,1,book:728823 §Медицина Древней Руси > Глава I. Медицина Древней Руси (X–XIII вв.) ¶153,B,candidate
