mp_id,practice_kind,name_ru,description_ru,source_refs,confidence
mp_torg,trade_place,Торг (ряды),"Главное место открытого обмена в городе; торговля велась по рядам (специализированным линиям), среди них — вощаной (воск) и великий ряды; не магазин, цена торгуется, толпа создаёт свидетелей.",book:622242 §Глава третья Древнерусские поселения > Важнейшие города Руси ¶694; tools/rus13-novgorod-regional-templates/novgorod_trade_rules_v1.json#trade_place_torg,B
mp_pier,trade_place,Пристань и берег,"Товар связан с лодкой, грузчиками, погодой, очередью и правом разгрузки; мокрый груз теряет ценность; перевозчик контролирует доступ (проектное правило).",tools/rus13-novgorod-regional-templates/novgorod_trade_rules_v1.json#trade_place_pier,C
mp_pogost,trade_place,Погост,"Сборная точка сельской округи, церкви, слухов, дороги и периодического (не ежедневного) обмена; не превращать в городской рынок (проектное правило).",tools/rus13-novgorod-regional-templates/novgorod_trade_rules_v1.json#trade_place_pogost,C
mp_ferry,trade_place,Переправа,"Плата зависит от воды, груза, очереди, статуса и разрешения; опасная вода может закрыть обмен (проектное правило + guide_rules маршрутного знания).",tools/rus13-novgorod-regional-templates/novgorod_trade_rules_v1.json#trade_place_ferry; tools/rus13-novgorod-regional-templates/novgorod_route_knowledge_rules_v1.json#guide_may_refuse,C
mp_boyar_yard,trade_place,Боярский двор,Доступ к товару и людям идёт через власть двора и слуг; низкому статусу нужен посредник (проектное правило).,tools/rus13-novgorod-regional-templates/novgorod_trade_rules_v1.json#trade_place_boyar_yard,C
mp_ivanskoe_sto,merchant_org,Иванское сто (купеческая корпорация при церкви Ивана на Опоках),"Институт купеческого объединения при церкви на Опоках; управление, по пересказу Погодина, — три старосты от житых людей, тысяцкий от чёрных людей и «два старосты от купцов» (внутреннее купеческое старейшинство при церкви, не путать с договорным институтом купеческих старост в отношениях с немцами — тот не засвидетельствован до 1268 г., см. ниже); в источнике фигурирует «гривенка (половина гривны)». ВНИМАНИЕ на датировку: Устав/Рукописание Всеволода известно по поздним спискам, датировка спорна (традиционно 1130-е, но переписано много позже); договорный институт «купеческих старост» с немцами в 1230 г. не засвидетельствован (появляется в немецком проекте договора 1268 г., в русских — 1342 г.).","book:301539 §ТОРГОВЛЯ, КУНЫ (ДЕНЬГИ) ¶878,881,883 (управление, старосты от купцов); book:392896 §ГЛАВА II. НОВГОРОД В БАЛТИЙСКОМ РЕГИОНЕ В X—XII вв. > Возникновение и местоположение Готского и Немецкого дворов ¶160 (договорный институт купеческих старост отсутствует до 1268 г.)",C
mp_customs_smolensk1229,customs_duty,"Пошлина с серебра — Смоленский договор 1229 г. (смоленская параллель, для Новгорода — аналогия)","Немец, покупающий серебряный сосуд, платит с гривны куну весцу (весовую пошлину); при обратной продаже пошлина не взимается («ни векши»). Норма Смоленско-Рижского торгового договора 1229 г. — прямо датирована к эпохе игры, но относится к Смоленску, а не к Новгороду; для новгородской практики её можно использовать только как региональную аналогию (прямых новгородских свидетельств весчей пошлины на 1230 г. нет — ближайшая новгородская фиксация «весчего» относится к 1259-1270 гг., см. mp_customs_veschee_caution).","book:177850 §Денежно-весовые системы домонгольской Руси > Глава I История вопроса, источники и методы исследования ¶40 (Смоленско-Рижский договор 1229 г.)",B
mp_customs_veschee_caution,customs_duty,Весчее (весовая пошлина) — anachronism guard,"Термин «весчее» и равенство немецких скалв русским весам зафиксированы новгородскими договорами 1259-1260 и 1262-1263 гг. — ПОЗЖЕ 1230 г. В 1230 г. новгородцы пользуются своими гирями и весами (пуд), а не немецкими скалвами; не переносить договорную терминологию 1259-1270 гг. на 1230 г. буквально.","book:356156 §Глава 5. Метрология > Метрология древнерусского государства (X — начало XII в.) ¶1118 (скалвы, договор 1262-1263); book:392896 §ГЛАВА III. ЗАПАДНОЕВРОПЕЙСКИЕ СВЯЗИ НОВГОРОДА В XIII веке > Доганзейский период ¶204 (весчее, договор 1259-1260)",C
mp_gotland_treaty,foreign_court,"Договор Новгорода с Готским берегом и немецкими городами (1191-1192, действует к 1230 г.)","Торговое и уголовное право для иноземных купцов: штрафы, свидетели, безопасность купцов. Вира за убитого купца (новгородца или немца) — 10 гривен серебра (ср. 40 гривен кун за купца по Правде Русской — иная, внутренняя норма); существование самого договора и норма о купце подтверждены evidence напрямую (A), детали (в т.ч. вира за посла) требуют дополнительной сверки (B) — приведено единым B по правилу единого значения confidence.",book:177850 §Денежно-весовые системы домонгольской Руси > Глава II Денежная терминология и денежный счет домонгольской Руси ¶152; sqlite:novgorod_1230.sources#S02,B
mp_skra_I,foreign_court,Скра I — устав немецкого купеческого двора св. Петра,"Первая редакция устава («скра I») датирована второй четвертью XIII в. — применимо к ~1230 г. как ближайший прямой источник для немецкого купеческого двора. Штраф до 10 марок серебра — это наказание за торговлю с русскими в церкви св. Петра (запрет), а не общий предел обязательств; отдельно установлены штрафы за неявку на охрану двора (1 марка кун) и за отсутствие на ночном дежурстве (1 марка серебра).","book:392896 §ГЛАВА III. ЗАПАДНОЕВРОПЕЙСКИЕ СВЯЗИ НОВГОРОДА В XIII веке > Доганзейский период ¶186 (датировка), ¶188 (штрафы за охрану/дежурство), ¶189 (запрет торговли с русскими в церкви, штраф 10 марок серебра)",B
