ic_id,conflict_type,source_conflict_type_ru,title_ru,pf_ids,where_common_ru,participant_roles,trigger_conditions,visible_signs,hidden_factors_ru,nonviolent_paths_ru,violent_escalation_conditions_ru,escalation_refs,resolution_refs,authority_response_ru,church_response_ru,memory_consequences_ru,timer_rule,frequency_class,region_id,source_refs,confidence,status
ic_conflict_debt_dispute,debt,debt,Спор о долге,,двор; торг; погост,role:nov_role_debtor; generic:creditor; generic:witness; generic:guarantor_person,срок вышел; залог требуют; стороны спорят о мере,громкие голоса; показ залога; люди собираются,должник скрывает вещь; кредитор завышает долг,свидетель; частичная плата; новый срок; посредник,оскорбление; попытка забрать вещь силой,оскорбление; попытка забрать вещь силой,law_justice_governance:lw_proc_debt_denial_witness_oath,"староста, страж, хозяин двора, посадничий/княжий человек или иной старший вмешивается по месту и статусу","поп или монастырский человек может призвать к миру, защите слабого, клятве/свидетельству или отказать в святыне","создать память о долге, свидетеле и сроке",,unspecified,region_novgorod_land,src_rus13tpl_local_conflict_templates_v1,C,candidate
ic_conflict_theft_accusation,theft,theft,Обвинение в краже,,двор; клеть; торг; постоялый двор,role:nov_role_householder; generic:suspect; generic:witness; role:nov_role_guard,вещь пропала; у кого-то похожий узел; кто-то был у клети,поиск; закрытые ворота; шёпот,вещь взял другой; хозяин ошибся; ложный донос,показать алиби; найти вещь; позвать старшего,попытка бегства; личное оскорбление; обнаружена метка,попытка бегства; личное оскорбление; обнаружена метка,"обычай, C","староста, страж, хозяин двора, посадничий/княжий человек или иной старший вмешивается по месту и статусу","поп или монастырский человек может призвать к миру, защите слабого, клятве/свидетельству или отказать в святыне","репутация, свидетель, найденная/не найденная вещь",,unspecified,region_novgorod_land,src_rus13tpl_local_conflict_templates_v1,C,candidate
ic_conflict_foreign_yard,resource,trespass,Чужой двор и право входа,,двор; ворота; боярский двор; монастырские ворота,role:nov_role_householder; role:nov_role_outsider; role:nov_role_servant; role:nov_role_guard,чужой вошёл без спроса; трогает ворота/клеть; ищет человека,собаки; крик хозяина; закрытая калитка,хозяин скрывает человека/вещь; пришлый имеет поручение,объяснение; поручитель; дар/плата; уход,лезет силой; угрожает хозяину,лезет силой; угрожает хозяину,"обычай, C","староста, страж, хозяин двора, посадничий/княжий человек или иной старший вмешивается по месту и статусу","поп или монастырский человек может призвать к миру, защите слабого, клятве/свидетельству или отказать в святыне",отметить право/запрет доступа,,unspecified,region_novgorod_land,src_rus13tpl_local_conflict_templates_v1,C,candidate
ic_conflict_witness_argument,property,witness,Спор о свидетеле,,торг; погост; двор власти,generic:both_parties; generic:witness; role:nov_role_city_elder,одна сторона отвергает свидетеля; свидетель боится говорить,люди зовут старшего; свидетель мнётся,свидетель родственник или должник,новый свидетель; клятва/обычай; память сделки,угроза свидетелю,угроза свидетелю,law_justice_governance:lw_proc_witness_status_exceptions,"староста, страж, хозяин двора, посадничий/княжий человек или иной старший вмешивается по месту и статусу","поп или монастырский человек может призвать к миру, защите слабого, клятве/свидетельству или отказать в святыне",свидетель записывается в память,,unspecified,region_novgorod_land,src_rus13tpl_local_conflict_templates_v1,C,candidate
ic_conflict_brawl,violence,brawl,Драка после ссоры,,торг; постоялый двор; дорога; двор,generic:offended_party; generic:agitated_person; generic:witnesses; role:nov_role_guard,оскорбление; толкнули; схватились за вещь,повышенные голоса; люди отходят,подстрекатель; старый долг,извинение; старший; разделить стороны,оружие; кровь; угроза родне,оружие; кровь; угроза родне,"обычай, C","староста, страж, хозяин двора, посадничий/княжий человек или иной старший вмешивается по месту и статусу","поп или монастырский человек может призвать к миру, защите слабого, клятве/свидетельству или отказать в святыне","рана, свидетели, отношение NPC",,unspecified,region_novgorod_land,src_rus13tpl_local_conflict_templates_v1,C,candidate
ic_conflict_ferry_price,road,ferry_dispute,Спор о перевозе,,перевоз; берег ожидания,role:nov_role_ferryman; generic:traveler; occupation:nov_occ_porter; role:nov_role_guard,цена выросла; лодка не берёт груз; очередь,люди ждут; лодка у берега,вода опасна; перевозчик вымогает; есть приказ,плата; свидетель; разгрузить часть груза,самовольная посадка; угроза лодке,самовольная посадка; угроза лодке,"обычай, C","староста, страж, хозяин двора, посадничий/княжий человек или иной старший вмешивается по месту и статусу","поп или монастырский человек может призвать к миру, защите слабого, клятве/свидетельству или отказать в святыне",условия переправы фиксируются,,unspecified,region_novgorod_land,src_rus13tpl_local_conflict_templates_v1,C,candidate
ic_conflict_price_dispute,trade,price_dispute,Спор о цене,,торг; мастерская; двор,generic:seller; generic:buyer; generic:witnesses,цена кажется высокой; товар испорчен; покупатель низкого статуса,торг громче обычного; товар показывают,продавец скрывает дефект; покупатель ищет долг,снижение цены; обмен; залог,оскорбление; попытка забрать без оплаты,оскорбление; попытка забрать без оплаты,"обычай, C","староста, страж, хозяин двора, посадничий/княжий человек или иной старший вмешивается по месту и статусу","церковь редко вмешивается, кроме обмана бедных или святых вещей",условия сделки/отказ,,unspecified,region_novgorod_land,src_rus13tpl_local_conflict_templates_v1,C,candidate
ic_conflict_underweight,trade,underweight,Недовес или неверная мера,,торг; склад; погост,role:nov_role_trader; generic:buyer; occupation:nov_occ_measurer_weigher,мешок легче; весы спорны; мерник чужой,люди смотрят на меру; старший зовут,мера испорчена или подменена,перемерить; вернуть часть; позвать старшего,обвинение во лжи,обвинение во лжи,"обычай, C","староста, страж, хозяин двора, посадничий/княжий человек или иной старший вмешивается по месту и статусу","поп может осудить обман, но не заменяет торгового старшего",репутация меры/торговца,,unspecified,region_novgorod_land,src_rus13tpl_local_conflict_templates_v1,C,candidate
ic_conflict_fish,resource,fish_dispute,Спор о рыбе,,берег; рыбацкий стан; торг,role:nov_role_fisher; generic:buyer; role:nov_role_fisher,сети поставили не там; рыба испорчена; цена спорна,запах рыбы; мокрые сети,кто-то снял рыбу ночью,раздел улова; перемерить; починить снасть,порча снастей; драка у берега,порча снастей; драка у берега,"обычай, C","староста, страж, хозяин двора, посадничий/княжий человек или иной старший вмешивается по месту и статусу",церковь вмешивается при клятве/мире,память о промысловой ссоре,,unspecified,region_novgorod_land,src_rus13tpl_local_conflict_templates_v1,C,candidate
ic_conflict_hay,resource,hay_dispute,Спор о покосе,,покос; деревня; погост,generic:householders; role:nov_role_starosta; role:nov_role_hired_worker,косили не там; сено украли; скот вытоптал,разметанные копны; коса в руках,старый спор границы,сход; раздел покоса; компенсация,повреждение сена; оскорбление старших,повреждение сена; оскорбление старших,"обычай, C",староста или община разбирает,"поп или монастырский человек может призвать к миру, защите слабого, клятве/свидетельству или отказать в святыне",граница и обязанность,,unspecified,region_novgorod_land,src_rus13tpl_local_conflict_templates_v1,C,candidate
ic_conflict_livestock,resource,livestock_dispute,Спор о скоте,,двор; пастбище; дорога,role:nov_role_householder; role:nov_role_pastoral_worker; generic:neighbor,скот пропал; вошёл в чужое поле; хромает после дороги,следы копыт; крики; пастух оправдывается,воровство; болезнь; пастух виноват,компенсация; поиск; староста,убийство животного; обвинение в краже,убийство животного; обвинение в краже,"обычай, C",староста/хозяин двора,"поп или монастырский человек может призвать к миру, защите слабого, клятве/свидетельству или отказать в святыне","владелец, следы, ущерб",,unspecified,region_novgorod_land,src_rus13tpl_local_conflict_templates_v1,C,candidate
ic_conflict_forest_rights,resource,forest_dispute,"Спор о лесе, бортях или дровах",,лесной выход; промысловый стан; деревня,role:nov_role_forest_promyslovik; role:nov_role_householder; generic:outsider_woodcutter,чужой рубит; борт повреждён; дрова увезли,зарубки; пни; разговор в лесу,тайный промысел; граница неясна,старшие; возмещение; показ меток,оружие/топор в споре,оружие/топор в споре,"обычай, C",местные старшие или боярский человек,"поп или монастырский человек может призвать к миру, защите слабого, клятве/свидетельству или отказать в святыне",пометка права на участок,,unspecified,region_novgorod_land,src_rus13tpl_local_conflict_templates_v1,C,candidate
ic_conflict_road_right,road,road_dispute,Спор о дороге или проходе,,дорога; ворота; брод,generic:traveler; generic:local_person; role:nov_role_guard,дорогу закрыли; требуют плату; обход идёт через чужое,застрявшие телеги; ворота; страж,приказ власти; дорога опасна,разрешение; обход; свидетель,прорыв силой,прорыв силой,"обычай, C","староста, страж, хозяин двора, посадничий/княжий человек или иной старший вмешивается по месту и статусу","поп или монастырский человек может призвать к миру, защите слабого, клятве/свидетельству или отказать в святыне",условие доступа,,unspecified,region_novgorod_land,src_rus13tpl_local_conflict_templates_v1,C,candidate
ic_conflict_church,religious,church_conflict,Конфликт с церковью,,церковь; церковный двор; кладбищенская зона,role:nov_role_priest; generic:parishioner; role:nov_role_outsider; role:nov_role_church_guard,оскорбление; чужая вещь у церкви; нарушение службы,люди шикают; поп смотрит строго,семейный спор; долг за погребение,покаяние/извинение; свидетель; родня,насилие в святом месте,насилие в святом месте,"обычай, C",мирская власть может вмешаться после нарушения порядка,церковь основная сторона,память о святотатстве/извинении,,unspecified,region_novgorod_land,src_rus13tpl_local_conflict_templates_v1,C,candidate
ic_conflict_monastery_household,religious,monastery_conflict,Конфликт с монастырским хозяйством,,монастырь; гостевой двор; хозяйственный двор,role:nov_role_monastery_worker; generic:traveler; role:nov_role_hired_worker; role:nov_role_igumen,чужой требует кров; пропала вещь; работник спорит,закрытые ворота; молчание братии,приказ игумена; дефицит,даяние; работа; ожидание,попытка войти силой,попытка войти силой,"обычай, C","староста, страж, хозяин двора, посадничий/княжий человек или иной старший вмешивается по месту и статусу",монастырская власть решает первой,отношение монастыря,,unspecified,region_novgorod_land,src_rus13tpl_local_conflict_templates_v1,C,candidate
ic_conflict_boyar_yard,status,boyar_yard_conflict,Конфликт с боярским двором,,боярский двор; ворота; служебный двор,role:nov_role_boyar_man; role:nov_role_servant; role:nov_role_outsider; generic:dependent_person,не пустили; слуга ударил словом; требуют объяснений,страж у ворот; слуги наблюдают,скрытый приказ; долг двора,поручитель; дар; объяснение старшему,оскорбить боярского человека; тронуть имущество,оскорбить боярского человека; тронуть имущество,"обычай, C","власть двора первична, затем городская/княжья","поп или монастырский человек может призвать к миру, защите слабого, клятве/свидетельству или отказать в святыне",репутация у сильного двора,,unspecified,region_novgorod_land,src_rus13tpl_local_conflict_templates_v1,C,candidate
ic_conflict_princely_man,status,princely_conflict,Конфликт с княжьим человеком,,дорога; двор власти; торг,role:nov_role_princely_man; generic:traveler; role:nov_role_princely_druzhinnik; role:nov_role_guard,требуют корм/путь; обыскивают; спорят с местными,оружие; жёсткая речь,реальный приказ или самоуправство,посадничий/старший разбор; свидетель,сопротивление вооружённому,сопротивление вооружённому,"обычай, C","староста, страж, хозяин двора, посадничий/княжий человек или иной старший вмешивается по месту и статусу","поп или монастырский человек может призвать к миру, защите слабого, клятве/свидетельству или отказать в святыне",сведения о приказе/насилии,,unspecified,region_novgorod_land,src_rus13tpl_local_conflict_templates_v1,C,candidate
ic_conflict_local_stranger,stranger,local_vs_stranger,Местный против пришлого,,торг; дорога; двор; погост,generic:local_person; role:nov_role_outsider; generic:witnesses,не верят словам; не пускают ночевать; обвиняют,настороженные взгляды; перешёптывание,у местных скрытый страх; чужой действительно лжёт,поручительство; плата вперёд; церковная помощь,угроза местным,угроза местным,"обычай, C","староста, страж, хозяин двора, посадничий/княжий человек или иной старший вмешивается по месту и статусу","поп или монастырский человек может призвать к миру, защите слабого, клятве/свидетельству или отказать в святыне",уровень доверия,,unspecified,region_novgorod_land,src_rus13tpl_local_conflict_templates_v1,C,candidate
ic_conflict_runaway_suspicion,stranger,runaway_suspicion,Подозрение к беглому,,дорога; постоялый двор; деревня,generic:suspect; role:nov_role_householder; role:nov_role_guard; generic:searcher,чужой скрывает происхождение; ищут похожего,шёпот; запертые ворота,ошибка личности; настоящий беглый,поручитель; свидетель; поп/староста,попытка схватить,попытка схватить,"обычай, C","староста, страж, хозяин двора, посадничий/княжий человек или иной старший вмешивается по месту и статусу","поп или монастырский человек может призвать к миру, защите слабого, клятве/свидетельству или отказать в святыне",социальный статус персонажа,,unspecified,region_novgorod_land,src_rus13tpl_local_conflict_templates_v1,C,candidate
ic_conflict_missing_item,theft,missing_item,Пропажа вещи без явного вора,,двор; постоялый двор; склад,role:nov_role_householder; generic:place_holder; generic:witnesses,вещь не нашли; контейнер открыт,поиск; перевёрнутые вещи,ошибка памяти; скрытая передача,восстановить цепочку доступа,обвинение переходит в драку,обвинение переходит в драку,"обычай, C","староста, страж, хозяин двора, посадничий/княжий человек или иной старший вмешивается по месту и статусу","поп или монастырский человек может призвать к миру, защите слабого, клятве/свидетельству или отказать в святыне",цепочка владения и доступа,,unspecified,region_novgorod_land,src_rus13tpl_local_conflict_templates_v1,C,candidate
ic_conflict_fire,property,fire,Пожар,,двор; городская улица; торг; монастырь,generic:householders; generic:neighbors; role:nov_role_guard; generic:bystanders,дым; крик; искра из печи,дым; люди с вёдрами; паника,поджог; небрежность; скрытая пропажа,общая работа; закрыть ворота; вынести вещи,мародёрство; обвинение,мародёрство; обвинение,"обычай, C","староста, страж, хозяин двора, посадничий/княжий человек или иной старший вмешивается по месту и статусу","поп или монастырский человек может призвать к миру, защите слабого, клятве/свидетельству или отказать в святыне",потери и свидетели,,unspecified,region_novgorod_land,src_rus13tpl_local_conflict_templates_v1,C,candidate
ic_conflict_disease,resource,disease,Болезнь и страх заражения,,двор; постоялый двор; монастырь,role:nov_role_sick_disabled; role:nov_role_householder; generic:caretaker; generic:travelers,человек слёг; кашель/жар; хозяин не пускает,закрытый двор; тихие голоса,болезнь скрывают; это усталость/рана,уход; изоляция; молитва/помощь,насильный выгон,насильный выгон,"обычай, C","староста, страж, хозяин двора, посадничий/княжий человек или иной старший вмешивается по месту и статусу","поп или монастырский человек может призвать к миру, защите слабого, клятве/свидетельству или отказать в святыне",состояние больного и отношение,,unspecified,region_novgorod_land,src_rus13tpl_local_conflict_templates_v1,C,candidate
ic_conflict_famine,resource,famine,Голод и нехватка еды,,бедный двор; торг; монастырь; погост,generic:poor_households; generic:store_owners; generic:church_people,цена выросла; бедные просят; клети заперты,очередь; тихие дети; запертые амбары,"запасы есть, но скрыты; слух преувеличен",милостыня; долг; работа за пищу,грабёж клети,грабёж клети,"обычай, C","староста, страж, хозяин двора, посадничий/княжий человек или иной старший вмешивается по месту и статусу","поп или монастырский человек может призвать к миру, защите слабого, клятве/свидетельству или отказать в святыне",кто получил/не получил помощь,,unspecified,region_novgorod_land,src_rus13tpl_local_conflict_templates_v1,C,candidate
ic_conflict_closed_ferry,road,closed_ferry,Закрытая переправа,,перевоз; берег; дорога,role:nov_role_ferryman; generic:travelers; role:nov_role_guard,перевоз отказал; вода опасна; приказ закрыть,толпа на берегу; лодки на цепи,перевозчик ждёт взятку; есть реальная опасность,очередь; разрешение; обход,самовольная лодка,самовольная лодка,"обычай, C","староста, страж, хозяин двора, посадничий/княжий человек или иной старший вмешивается по месту и статусу","поп или монастырский человек может призвать к миру, защите слабого, клятве/свидетельству или отказать в святыне",условие открытия,,unspecified,region_novgorod_land,src_rus13tpl_local_conflict_templates_v1,C,candidate
ic_conflict_dangerous_road,road,dangerous_road,Опасная дорога,,дорога; лесной выход; погост,generic:travelers; role:nov_role_guide; generic:local_people,слух о разбое/зверье; проводник отказывается,люди ждут группу; сани стоят,опасность ложная или преувеличена,отложить путь; идти группой; сменить маршрут,идти одному ночью,идти одному ночью,"обычай, C","староста, страж, хозяин двора, посадничий/княжий человек или иной старший вмешивается по месту и статусу","поп или монастырский человек может призвать к миру, защите слабого, клятве/свидетельству или отказать в святыне",риск маршрута,,unspecified,region_novgorod_land,src_rus13tpl_local_conflict_templates_v1,C,candidate
ic_conflict_robbery_rumor,theft,robbery_rumor,Слух о разбое становится конфликтом,,постоялый двор; торг; дорога,generic:travelers; generic:suspects; role:nov_role_guard,кто-то назвал людей разбойниками,люди держатся за мешки; страж смотрит,ложный слух; реальный след,проверить следы; свидетели,толпа хватает подозреваемого,толпа хватает подозреваемого,"обычай, C","староста, страж, хозяин двора, посадничий/княжий человек или иной старший вмешивается по месту и статусу","поп или монастырский человек может призвать к миру, защите слабого, клятве/свидетельству или отказать в святыне",слух как слух; не факт,,unspecified,region_novgorod_land,src_rus13tpl_local_conflict_templates_v1,C,candidate
ic_conflict_wolves,resource,beasts,Волки или зверьё у скота,,лесной выход; пастбище; дорога,role:nov_role_pastoral_worker; generic:householders; role:nov_role_hunter,скот пропал; следы; вой,собаки лают; люди с кольями,воровство под видом зверя,поиск следов; ночная стража,"паника, самосуд против чужого","паника, самосуд против чужого","обычай, C","староста, страж, хозяин двора, посадничий/княжий человек или иной старший вмешивается по месту и статусу","поп или монастырский человек может призвать к миру, защите слабого, клятве/свидетельству или отказать в святыне",следы и потери,,unspecified,region_novgorod_land,src_rus13tpl_local_conflict_templates_v1,C,candidate
ic_conflict_road_death,road,road_death,Смерть на дороге,,дорога; погост; переправа,generic:finder; role:nov_role_priest; role:nov_role_guard; generic:kin,найдено тело; вещи при нём,люди держатся в стороне; попа зовут,"убийство, болезнь, холод, ограбление",позвать власть/церковь; зафиксировать вещи,грабёж тела,грабёж тела,"обычай, C","староста, страж, хозяин двора, посадничий/княжий человек или иной старший вмешивается по месту и статусу","поп или монастырский человек может призвать к миру, защите слабого, клятве/свидетельству или отказать в святыне","тело, вещи, свидетели",,unspecified,region_novgorod_land,src_rus13tpl_local_conflict_templates_v1,C,candidate
ic_conflict_found_item,theft,found_item,Найденная вещь,,дорога; торг; двор; берег,generic:finder; generic:property_owner; generic:witness,нашли нож/мешок/узел; есть метка,люди смотрят на вещь,вещь подброшена; владелец рядом,свидетель; передать старшему,присвоение при свидетелях,присвоение при свидетелях,"обычай, C","староста, страж, хозяин двора, посадничий/княжий человек или иной старший вмешивается по месту и статусу","поп или монастырский человек может призвать к миру, защите слабого, клятве/свидетельству или отказать в святыне",происхождение вещи,,unspecified,region_novgorod_land,src_rus13tpl_local_conflict_templates_v1,C,candidate
ic_conflict_pledge,debt,pledge,Спор о залоге,,купеческий двор; торг; монастырь,role:nov_role_debtor; generic:creditor; generic:place_holder; generic:witness,залог не возвращают; долг спорный,показ вещи; кредитор ждёт,залог повреждён; срок неверно помнят,новый срок; третья сторона,попытка забрать силой,попытка забрать силой,"обычай, C","староста, страж, хозяин двора, посадничий/княжий человек или иной старший вмешивается по месту и статусу","поп или монастырский человек может призвать к миру, защите слабого, клятве/свидетельству или отказать в святыне",залог и срок,,unspecified,region_novgorod_land,src_rus13tpl_local_conflict_templates_v1,C,candidate
ic_conflict_guarantor,debt,guarantor,Поручительство,,торг; постоялый двор; погост,generic:guarantor_person; role:nov_role_outsider; role:nov_role_householder,чужого не пускают без поручителя,хозяин ждёт ответа старшего,поручитель имеет тайный долг,ограничить доступ; плата вперёд,поручитель обманут,поручитель обманут,law_justice_governance:lw_proc_zakup_complaint_route,"староста, страж, хозяин двора, посадничий/княжий человек или иной старший вмешивается по месту и статусу","поп или монастырский человек может призвать к миру, защите слабого, клятве/свидетельству или отказать в святыне",кто за кого поручился,,unspecified,region_novgorod_land,src_rus13tpl_local_conflict_templates_v1,C,candidate
ic_conflict_damaged_boat,property,boat_damage,Повреждённая лодка,,пристань; лодочная зона; перевоз,role:nov_role_boatman; occupation:nov_occ_carpenter; generic:passenger; role:nov_role_local_merchant,лодка течёт; груз мокрый; перевоз закрыт,смола; доски; ругань у воды,кто-то перегрузил лодку,ремонт; разгрузка; свидетель,угроза лодочнику,угроза лодочнику,"обычай, C","староста, страж, хозяин двора, посадничий/княжий человек или иной старший вмешивается по месту и статусу","поп или монастырский человек может призвать к миру, защите слабого, клятве/свидетельству или отказать в святыне",повреждение и ответственность,,unspecified,region_novgorod_land,src_rus13tpl_local_conflict_templates_v1,C,candidate
ic_conflict_bad_guide,road,guide_conflict,Плохой проводник,,дорога; лесной стан; постоялый двор,role:nov_role_guide; generic:traveler; generic:witnesses,завёл не туда; требует больше; отказывается идти,усталые люди; спор у дороги,проводник испугался или обманул,снизить плату; вернуться; новый проводник,ударить проводника; бросить в лесу,ударить проводника; бросить в лесу,"обычай, C","староста, страж, хозяин двора, посадничий/княжий человек или иной старший вмешивается по месту и статусу","поп или монастырский человек может призвать к миру, защите слабого, клятве/свидетельству или отказать в святыне",отношение к проводнику,,unspecified,region_novgorod_land,src_rus13tpl_local_conflict_templates_v1,C,candidate
ic_conflict_insult_status,status,status_insult,Оскорбление статуса,,торг; двор; церковный двор,generic:offended_party; generic:offending_party; generic:witnesses,неверное обращение; смеялись; обвинили без доказательства,тишина; толпа ждёт,старый конфликт,извинение; компенсация; старший,оружие/пощёчина,оружие/пощёчина,"обычай, C","староста, страж, хозяин двора, посадничий/княжий человек или иной старший вмешивается по месту и статусу","поп или монастырский человек может призвать к миру, защите слабого, клятве/свидетельству или отказать в святыне",репутация,,unspecified,region_novgorod_land,src_rus13tpl_local_conflict_templates_v1,C,candidate
ic_conflict_field_trespass,resource,field_trespass,Порча поля или огорода,,полевая полоса; огород; дорога у поля,role:nov_role_householder; generic:traveler; role:nov_role_pastoral_worker,прошли через поле; скот вытоптал,следы; гнев хозяина,дорога была закрыта,компенсация; извинение,угроза хозяину,угроза хозяину,"обычай, C",староста,"поп или монастырский человек может призвать к миру, защите слабого, клятве/свидетельству или отказать в святыне",ущерб,,unspecified,region_novgorod_land,src_rus13tpl_local_conflict_templates_v1,C,candidate
ic_conflict_unpaid_wage,labor,labor_payment,Невыплаченная плата за работу,,пристань; покос; волок; двор,role:nov_role_hired_worker; role:nov_role_householder; generic:witness,"работу сделали, платы нет; грузчик требует еду",уставшие люди; спор у груза,работа сделана плохо; хозяин обманывает,свидетель; частичная плата; еда,группа работников угрожает,группа работников угрожает,"обычай, C","староста, страж, хозяин двора, посадничий/княжий человек или иной старший вмешивается по месту и статусу","поп или монастырский человек может призвать к миру, защите слабого, клятве/свидетельству или отказать в святыне",долг/плата,,unspecified,region_novgorod_land,src_rus13tpl_local_conflict_templates_v1,C,candidate
ic_conflict_stolen_horse,theft,livestock_theft,Пропала или спорная лошадь,,конюшня; дорога; двор,role:nov_role_householder; role:nov_role_cart_driver; role:nov_role_guard; generic:suspect,лошадь пропала; привели похожую,следы копыт; люди у конюшни,животное отвязалось; чужая метка,следы; старший; компенсация,самосуд над подозреваемым,самосуд над подозреваемым,"обычай, C","староста, страж, хозяин двора, посадничий/княжий человек или иной старший вмешивается по месту и статусу","поп или монастырский человек может призвать к миру, защите слабого, клятве/свидетельству или отказать в святыне",метки животного,,unspecified,region_novgorod_land,src_rus13tpl_local_conflict_templates_v1,C,candidate
ic_conflict_monastery_guest_refusal,religious,monastery_guest_refusal,Отказ в монастырском гостеприимстве,,монастырские ворота; гостевой двор,generic:traveler; role:nov_role_church_guard; role:nov_role_monk,ворота закрыты; пришлый подозрителен,ожидание у ворот; тихий отказ,"болезнь, приказ, дефицит",поручитель; даяние; работа,ломиться в ворота,ломиться в ворота,"обычай, C","староста, страж, хозяин двора, посадничий/княжий человек или иной старший вмешивается по месту и статусу","монастырь решает, церковный порядок усиливает отказ",причина отказа,,unspecified,region_novgorod_land,src_rus13tpl_local_conflict_templates_v1,C,candidate
ic_conflict_crossing_queue,road,crossing_queue,Очередь на переправе или мостках,,перевоз; мостки; пристань,role:nov_role_ferryman; generic:travelers; role:nov_role_local_merchant; role:nov_role_guard,кто-то лезет раньше; груз мешает,толпа; крики; лодка качается,приказ на срочный перевоз,очередь по статусу/плате; разделить груз,толкнуть на мостках,толкнуть на мостках,"обычай, C","староста, страж, хозяин двора, посадничий/княжий человек или иной старший вмешивается по месту и статусу","поп или монастырский человек может призвать к миру, защите слабого, клятве/свидетельству или отказать в святыне",очередь и свидетели,,unspecified,region_novgorod_land,src_rus13tpl_local_conflict_templates_v1,C,candidate
ic_conflict_dues_tax,tax,dues_dispute,Спор о сборе или пошлине,,торг; переправа; погост; двор власти,role:nov_role_virnik; role:nov_role_trader; role:nov_role_cart_driver; role:nov_role_guard,требуют больше; не признают меру,страж у мешков; спор о товаре,сборщик самоуправствует,перемерить; заплатить частично; оставить товар,угроза сборщику,угроза сборщику,"обычай, C","староста, страж, хозяин двора, посадничий/княжий человек или иной старший вмешивается по месту и статусу","поп или монастырский человек может призвать к миру, защите слабого, клятве/свидетельству или отказать в святыне",платёж/отказ,,unspecified,region_novgorod_land,src_rus13tpl_local_conflict_templates_v1,C,candidate
