an_id,kind,term_ru,match_pattern,applies_to_domains,reason,earliest_attestation_or_basis,modern_gloss,replacement_term,source_refs,confidence,note
an_steam_engine,denylist,паровая машина / паровой двигатель,паров(ая|ой) (машин|двигател),"craft_processes;transport_travel","Атмосферный поршневой паровой двигатель введён не ранее circa 1712 (Newcomen); для Новгорода 1230 недопустим ни как технология, ни как деталь описания.",introduced_circa_1712,"Машина, превращающая тепло сжигаемого топлива в механическую работу через пар.","ручной, конный или водяной привод",wk:claim:technology-newcomen-boundary,A,"Исправлено 2026-09-26: убран «ветряной привод» из replacement_term — ни один источник проекта не помещает ветряные мельницы в Новгородскую землю к 1230 г. (в Руси они датируются существенно позже); водяное колесо оставлено без уточнения типа (наливное/подливное), так как конкретный тип не подтверждён источником."
an_electric_motor,denylist,электрический мотор / электричество как привод,электрич\w* (мотор|двигател|привод|освещен),"craft_processes;transport_travel","Непрерывное электромагнитное вращение продемонстрировано не ранее 1821 (Фарадей); электрический привод или освещение для 1230 года недопустимы.",introduced_1821,"Устройство, превращающее электрический ток в механическое вращение.","лучина, масляная/жировая лампа, свеча; ручной/конный/водяной привод",wk:claim:technology-motor-boundary,A,
an_potato,denylist,картофель,картоф|картошк,"cultivated_plants;food_ingredients","Картофель не должен считаться местно доступным в Новгороде/Руси 1200–1300 гг.; европейское распространение культуры — Новое время (после колумбова обмена).","post-1500 (колумбов обмен); в России — не ранее XVII–XVIII вв.","Клубнеплод Solanum tuberosum, происходящий из Южной Америки.","репа, брюква, капуста, горох, бобы",wk:claim:r7-potato-must-not-be-assumed-locally-available-in-novgorod-rus-1200-1300,B,"Исправлено 2026-09-26: confidence A→B и applies_to_domains поправлены — цитируемый claim несёт qualifiers.confidence=medium/directness=editorial (world-knowledge/production-v1/final-static-r7-gap-repair-v1.json), что по конвенции каталога соответствует B (editorial), а не A (первичный/археологический источник). South America gloss и датировка XVII–XVIII вв. — общеизвестные факты, не в самом claim; см. earliest_attestation_or_basis как редакторское основание."
an_maize,denylist,кукуруза,кукуруз,"cultivated_plants;food_ingredients","Кукуруза — культура американского происхождения, недоступна в Восточной Европе до колумбова обмена; не должна считаться местной культурой Новгорода/Руси 1230 г.","post-1500 колумбов обмен (общеизвестная датировка; отдельной WK-претензии по кукурузе, кроме потatо-claim, не найдено)","Zea mays, злак американского происхождения.","рожь, овёс, ячмень, полба, пшеница","wk:claim:r7-potato-must-not-be-assumed-locally-available-in-novgorod-rus-1200-1300;gap:no_project_bibliographic_source_yet",C,"Добавлено 2026-09-26 (каталожный термин из conventions.anachronism, ранее отсутствовал как отдельная строка). Цитируемый WK claim целиком про картофель, а не про кукурузу — используется только по аналогии (тот же колумбов обмен); отдельного источника по кукурузе в проекте нет, отсюда C, а не B."
an_tomato,denylist,помидор / томат,помидор|томат,"cultivated_plants;food_ingredients","Томат — культура американского происхождения, недоступна в Восточной Европе до колумбова обмена; не должен считаться местной культурой Новгорода/Руси 1230 г.","post-1500 колумбов обмен (общеизвестная датировка; отдельной WK-претензии по томату, кроме потatо-claim, не найдено)","Solanum lycopersicum, плодовая культура американского происхождения.","нет прямого местного эквивалента; капуста/огурец/лук как овощная база блюда","wk:claim:r7-potato-must-not-be-assumed-locally-available-in-novgorod-rus-1200-1300;gap:no_project_bibliographic_source_yet",C,"Добавлено 2026-09-26 (каталожный термин из conventions.anachronism). См. note an_maize — тот же колумбов обмен по аналогии, отдельного источника нет, отсюда C."
an_sunflower,denylist,подсолнечник / подсолнечное масло,подсолнеч,"cultivated_plants;food_ingredients","Подсолнечник — культура американского происхождения, в Восточной Европе как масличная культура распространяется только с XIX в.; не должен считаться местной культурой Новгорода 1230 г.","распространение в России как масличная культура — XIX в. (общеизвестная датировка, без библиографического источника проекта)","Helianthus annuus, масличная культура американского происхождения.","льняное, конопляное или маковое масло; животный жир",gap:no_project_bibliographic_source_yet,C,"Датировка общеизвестна, но не подтверждена источником проекта; нужен библиографический источник прежде статуса B. Добавлено 2026-09-26 (каталожный термин из conventions.anachronism, ранее отсутствовал)."
an_tobacco,denylist,табак / курение табака,табак|курен\w* трубк,"cultivated_plants;recreation_culture","Табак — культура американского происхождения; курение табака в Восточной Европе фиксируется не ранее XVI–XVII вв. и было под запретом на Руси; недопустим для Новгорода 1230 г.","не ранее XVI–XVII вв. в Восточной Европе (общеизвестная датировка, без библиографического источника проекта)","Nicotiana, растение американского происхождения, куримое как табак.","нет местной замены-курения; ароматические травы/ладан для запаха в быту, если подтверждены источником",gap:no_project_bibliographic_source_yet,C,"Датировка общеизвестна, но не подтверждена источником проекта; нужен библиографический источник прежде статуса B. Добавлено 2026-09-26 (каталожный термин из conventions.anachronism, ранее отсутствовал)."
an_turkey_bird,denylist,индейка (домашняя птица),индейк,livestock_husbandry,"Индейка — домашняя птица американского происхождения, завезена в Европу после колумбова обмена; не должна считаться местной домашней птицей Новгорода 1230 г.","post-1500 колумбов обмен; в Европе как домашняя птица — XVI в. (общеизвестная датировка, без библиографического источника проекта)","Meleagris gallopavo, домашняя птица американского происхождения.","курица, гусь, утка",gap:no_project_bibliographic_source_yet,C,"Датировка общеизвестна, но не подтверждена источником проекта; нужен библиографический источник прежде статуса B. Добавлено 2026-09-26 (каталожный термин из conventions.anachronism, ранее отсутствовал)."
an_rabbit_livestock,denylist,кролик как хозяйственный скот,кролик,livestock_husbandry,"Домашнее кролиководство как хозяйственная отрасль на Руси документируется значительно позже 1230 г.; кролик не должен фигурировать как обычный домашний скот новгородского двора.","домашнее кролиководство в России — не ранее XVIII в. (общеизвестная датировка, без библиографического источника проекта)","Oryctolagus cuniculus, разводимый как домашний скот на мясо/мех.","куры, гуси, утки, овцы, козы как обычный мелкий скот двора; дикий заяц — объект охоты, не скот",gap:no_project_bibliographic_source_yet,C,"Датировка общеизвестна, но не подтверждена источником проекта; нужен библиографический источник прежде статуса B. Добавлено 2026-09-26 (каталожный термин из conventions.anachronism: «кролик как скот», ранее отсутствовал)."
an_heavy_draft_horse,denylist,тяжеловозы (порода тяжёлой лошади),тяжеловоз,livestock_husbandry,"Специализированные породы тяжёлых лошадей-тяжеловозов выведены в Европе и России в XVIII–XIX вв.; не должны считаться обычной лошадью новгородского двора 1230 г.","породы тяжеловозов — XVIII–XIX вв. (общеизвестная датировка, без библиографического источника проекта)",Крупная упряжная лошадь специализированной тяжеловозной породы.,"рабочая лошадь местного некрупного типа, без породной специализации",gap:no_project_bibliographic_source_yet,C,"Датировка общеизвестна, но не подтверждена источником проекта; нужен библиографический источник прежде статуса B. Добавлено 2026-09-26 (каталожный термин из conventions.anachronism, ранее отсутствовал)."
an_tea,denylist,чай (как напиток),\bчай\b|чаепит,"food_ingredients;trade_goods_markets","Чай как торговый и питьевой товар попадает в Россию не ранее XVII в.; недопустим как напиток Новгорода 1230 г.","чай в России — не ранее XVII в. (общеизвестная датировка, без библиографического источника проекта)",Напиток из листьев Camellia sinensis.,"травяные и ягодные настои, квас, мёд разведённый водой",gap:no_project_bibliographic_source_yet,C,"Датировка общеизвестна, но не подтверждена источником проекта; нужен библиографический источник прежде статуса B. Добавлено 2026-09-26 (каталожный термин из conventions.anachronism, ранее отсутствовал)."
