ev_id,phase_id,date_range,is_game_time_anchor,season_range,event_type,phase,event_title,summary,historical_context,visible_signs,rumors,effect_roads,effect_market,market_goods_affected,effect_power,effect_npc,effect_items,player_knowable,forbidden_knowledge,node_refs_v6,node_refs_v17,chronicle_ref,source_refs,confidence,status,needs_review,needs_review_note,audit_note
nov_hist_1230_001,nov_hist_1230_001_background,1230-04-20T08:00:00,true,spring,church,background,"Знамения, приход владыки Спиридона и церковная тревога","Фон: Событие ещё входит как общий фон и дальние разговоры. Церковная тревога, природное знамение и приход владыки проходят через Софийскую сторону, владычный двор и торг.","Церковная тревога, природное знамение и приход владыки проходят через Софийскую сторону, владычный двор и торг.",фон: слухи у торга и пристаней|фон: изменение поведения NPC|фон: задержки у дворов/ворот/дорог|фон: осторожность в сделках и просьбах,"Говорят: знамения, приход владыки спиридона и церковная тревога. Подробности каждый пересказывает по-своему.","Давление может менять доступность дорог, ворот, пристаней, бродов и зимников; конкретное состояние маршрута фиксируется только в party-базе.",Событие задаёт направление рыночного давления без точных цен.,воск|свечи|хлеб|рыба|ткань,"Власти могут усиливать сторожу, принимать жалобы, собирать людей, задерживать доступ или действовать через послов и старших.","{""background_npc"":[""пересказывают слухи"",""избегают лишних слов"",""следуют текущему порядку места""],""scene_npc"":[""могут требовать поручителя"",""могут задерживать разговор из-за страха или приказа""],""key_npc"":[""могут менять планы, собирать людей, закрывать доступ или посылать вести""]}","Предметы могут появляться только как party-level материализация с владельцем, местом, доступом, риском и лимитом.","видимые признаки текущей фазы|слухи с неизвестной истинностью|лично услышанные рассказы|наблюдаемые задержки, цены-направления и поведение людей","точная будущая дата следующей фазы|истинность слуха|скрытая причина события|объективный исход до видимого проявления|полная карта войны или политики|решения власти, которых персонаж не мог узнать",gn_nov_g1_03_04_g3_001_novgorod|gn_nov_g1_03_04_g3_024_podbore_gorod|gn_nov_g1_03_04_g2_08_monastery_church_belt|gn_nov_g1_03_04_g3_022_kamenka_gorod|gn_nov_g1_03_04_g3_003_novgorodskiy_torg,,"черновой пересказ LLM (не цитата издания и не ссылка на статью/страницу): ""A.D. 1230: earthquake; May 14 sun darkened; May 19 Archbishop Spiridon came to Novgorod""","src_novgorod_chronicle_michell_forbes_1914|book:667380 §Приложение 2 Свод летописных известий о Новгородской земле ¶486 (землетрясение 3 мая, солнечное затмение 14 мая, приход Спиридона 19 мая 1230)",B,candidate,false,,"построчно сверено с книжными свидетельствами группы (servak history-events-knowledge.csv) в проходе 2026-09-26, см. source_refs"
nov_hist_1230_001,nov_hist_1230_001_omens,1230-05-14T12:00:00,true,spring,church,omens,"Знамения, приход владыки Спиридона и церковная тревога","Предвестники: Появляются первые видимые признаки, слухи и задержки. Церковная тревога, природное знамение и приход владыки проходят через Софийскую сторону, владычный двор и торг.","Церковная тревога, природное знамение и приход владыки проходят через Софийскую сторону, владычный двор и торг.",предвестники: слухи у торга и пристаней|предвестники: изменение поведения NPC|предвестники: задержки у дворов/ворот/дорог|предвестники: осторожность в сделках и просьбах,"Говорят: знамения, приход владыки спиридона и церковная тревога. Подробности каждый пересказывает по-своему.","Давление может менять доступность дорог, ворот, пристаней, бродов и зимников; конкретное состояние маршрута фиксируется только в party-базе.",Событие задаёт направление рыночного давления без точных цен.,воск|свечи|хлеб|рыба|ткань,"Власти могут усиливать сторожу, принимать жалобы, собирать людей, задерживать доступ или действовать через послов и старших.","{""background_npc"":[""пересказывают слухи"",""избегают лишних слов"",""следуют текущему порядку места""],""scene_npc"":[""могут требовать поручителя"",""могут задерживать разговор из-за страха или приказа""],""key_npc"":[""могут менять планы, собирать людей, закрывать доступ или посылать вести""]}","Предметы могут появляться только как party-level материализация с владельцем, местом, доступом, риском и лимитом.","видимые признаки текущей фазы|слухи с неизвестной истинностью|лично услышанные рассказы|наблюдаемые задержки, цены-направления и поведение людей","точная будущая дата следующей фазы|истинность слуха|скрытая причина события|объективный исход до видимого проявления|полная карта войны или политики|решения власти, которых персонаж не мог узнать",gn_nov_g1_03_04_g3_001_novgorod|gn_nov_g1_03_04_g3_024_podbore_gorod|gn_nov_g1_03_04_g2_08_monastery_church_belt|gn_nov_g1_03_04_g3_022_kamenka_gorod|gn_nov_g1_03_04_g3_003_novgorodskiy_torg,,"черновой пересказ LLM (не цитата издания и не ссылка на статью/страницу): ""A.D. 1230: earthquake; May 14 sun darkened; May 19 Archbishop Spiridon came to Novgorod""","src_novgorod_chronicle_michell_forbes_1914|book:667380 §Приложение 2 Свод летописных известий о Новгородской земле ¶486 (землетрясение 3 мая, солнечное затмение 14 мая, приход Спиридона 19 мая 1230)",B,candidate,false,,"построчно сверено с книжными свидетельствами группы (servak history-events-knowledge.csv) в проходе 2026-09-26, см. source_refs"
nov_hist_1230_001,nov_hist_1230_001_escalation,1230-05-18T18:00:00,true,spring,church,escalation,"Знамения, приход владыки Спиридона и церковная тревога","Нарастание: Давление меняет дороги, доступ, сделки и поведение людей. Церковная тревога, природное знамение и приход владыки проходят через Софийскую сторону, владычный двор и торг.","Церковная тревога, природное знамение и приход владыки проходят через Софийскую сторону, владычный двор и торг.",нарастание: слухи у торга и пристаней|нарастание: изменение поведения NPC|нарастание: задержки у дворов/ворот/дорог|нарастание: осторожность в сделках и просьбах,"Говорят: знамения, приход владыки спиридона и церковная тревога. Подробности каждый пересказывает по-своему.","Давление может менять доступность дорог, ворот, пристаней, бродов и зимников; конкретное состояние маршрута фиксируется только в party-базе.",Событие задаёт направление рыночного давления без точных цен.,воск|свечи|хлеб|рыба|ткань,"Власти могут усиливать сторожу, принимать жалобы, собирать людей, задерживать доступ или действовать через послов и старших.","{""background_npc"":[""пересказывают слухи"",""избегают лишних слов"",""следуют текущему порядку места""],""scene_npc"":[""могут требовать поручителя"",""могут задерживать разговор из-за страха или приказа""],""key_npc"":[""могут менять планы, собирать людей, закрывать доступ или посылать вести""]}","Предметы могут появляться только как party-level материализация с владельцем, местом, доступом, риском и лимитом.","видимые признаки текущей фазы|слухи с неизвестной истинностью|лично услышанные рассказы|наблюдаемые задержки, цены-направления и поведение людей","точная будущая дата следующей фазы|истинность слуха|скрытая причина события|объективный исход до видимого проявления|полная карта войны или политики|решения власти, которых персонаж не мог узнать",gn_nov_g1_03_04_g3_001_novgorod|gn_nov_g1_03_04_g3_024_podbore_gorod|gn_nov_g1_03_04_g2_08_monastery_church_belt|gn_nov_g1_03_04_g3_022_kamenka_gorod|gn_nov_g1_03_04_g3_003_novgorodskiy_torg,,"черновой пересказ LLM (не цитата издания и не ссылка на статью/страницу): ""A.D. 1230: earthquake; May 14 sun darkened; May 19 Archbishop Spiridon came to Novgorod""","src_novgorod_chronicle_michell_forbes_1914|book:667380 §Приложение 2 Свод летописных известий о Новгородской земле ¶486 (землетрясение 3 мая, солнечное затмение 14 мая, приход Спиридона 19 мая 1230)",B,candidate,false,,"построчно сверено с книжными свидетельствами группы (servak history-events-knowledge.csv) в проходе 2026-09-26, см. source_refs"
nov_hist_1230_001,nov_hist_1230_001_impact,1230-05-19T10:00:00,true,spring,church,impact,"Знамения, приход владыки Спиридона и церковная тревога","Удар: Событие прямо задевает связанные узлы карты. Церковная тревога, природное знамение и приход владыки проходят через Софийскую сторону, владычный двор и торг.","Церковная тревога, природное знамение и приход владыки проходят через Софийскую сторону, владычный двор и торг.",удар: слухи у торга и пристаней|удар: изменение поведения NPC|удар: задержки у дворов/ворот/дорог|удар: осторожность в сделках и просьбах,"Говорят: знамения, приход владыки спиридона и церковная тревога. Подробности каждый пересказывает по-своему.","Давление может менять доступность дорог, ворот, пристаней, бродов и зимников; конкретное состояние маршрута фиксируется только в party-базе.",Событие задаёт направление рыночного давления без точных цен.,воск|свечи|хлеб|рыба|ткань,"Власти могут усиливать сторожу, принимать жалобы, собирать людей, задерживать доступ или действовать через послов и старших.","{""background_npc"":[""пересказывают слухи"",""избегают лишних слов"",""следуют текущему порядку места""],""scene_npc"":[""могут требовать поручителя"",""могут задерживать разговор из-за страха или приказа""],""key_npc"":[""могут менять планы, собирать людей, закрывать доступ или посылать вести""]}","Предметы могут появляться только как party-level материализация с владельцем, местом, доступом, риском и лимитом.","видимые признаки текущей фазы|слухи с неизвестной истинностью|лично услышанные рассказы|наблюдаемые задержки, цены-направления и поведение людей","точная будущая дата следующей фазы|истинность слуха|скрытая причина события|объективный исход до видимого проявления|полная карта войны или политики|решения власти, которых персонаж не мог узнать",gn_nov_g1_03_04_g3_001_novgorod|gn_nov_g1_03_04_g3_024_podbore_gorod|gn_nov_g1_03_04_g2_08_monastery_church_belt|gn_nov_g1_03_04_g3_022_kamenka_gorod|gn_nov_g1_03_04_g3_003_novgorodskiy_torg,,"черновой пересказ LLM (не цитата издания и не ссылка на статью/страницу): ""A.D. 1230: earthquake; May 14 sun darkened; May 19 Archbishop Spiridon came to Novgorod""","src_novgorod_chronicle_michell_forbes_1914|book:667380 §Приложение 2 Свод летописных известий о Новгородской земле ¶486 (землетрясение 3 мая, солнечное затмение 14 мая, приход Спиридона 19 мая 1230)",B,candidate,false,,"построчно сверено с книжными свидетельствами группы (servak history-events-knowledge.csv) в проходе 2026-09-26, см. source_refs"
nov_hist_1230_002,nov_hist_1230_002_background,1230-05-20T09:00:00,true,spring,political,background,Вечевая смута у Ярославова дворища и убийство Иванка,"Фон: Событие ещё входит как общий фон и дальние разговоры. Вечевая и боярско-княжеская смута проявляется через толпу, мост, Волхов и дворы власти.","Вечевая и боярско-княжеская смута проявляется через толпу, мост, Волхов и дворы власти.",фон: слухи у торга и пристаней|фон: изменение поведения NPC|фон: задержки у дворов/ворот/дорог|фон: осторожность в сделках и просьбах,Говорят: вечевая смута у ярославова дворища и убийство иванка. Подробности каждый пересказывает по-своему.,"Давление может менять доступность дорог, ворот, пристаней, бродов и зимников; конкретное состояние маршрута фиксируется только в party-базе.",Событие задаёт направление рыночного давления без точных цен.,серебро|залоговые вещи|хлеб|кони,"Власти могут усиливать сторожу, принимать жалобы, собирать людей, задерживать доступ или действовать через послов и старших.","{""background_npc"":[""пересказывают слухи"",""избегают лишних слов"",""следуют текущему порядку места""],""scene_npc"":[""могут требовать поручителя"",""могут задерживать разговор из-за страха или приказа""],""key_npc"":[""могут менять планы, собирать людей, закрывать доступ или посылать вести""]}","Предметы могут появляться только как party-level материализация с владельцем, местом, доступом, риском и лимитом.","видимые признаки текущей фазы|слухи с неизвестной истинностью|лично услышанные рассказы|наблюдаемые задержки, цены-направления и поведение людей","точная будущая дата следующей фазы|истинность слуха|скрытая причина события|объективный исход до видимого проявления|полная карта войны или политики|решения власти, которых персонаж не мог узнать",gn_nov_g1_03_04_g3_028_nizhniy_pochinok_gorod|gn_nov_g1_03_04_g4_001_novgorod_06_yaroslav_court_market_core|gn_nov_g1_03_04_g3_034_sosnovets_gorod|gn_nov_g1_03_04_g2_04_volkhov_bank|gn_nov_g1_03_04_g3_009_dvor_vlasti_v_novgorode|gn_nov_g1_03_04_g3_003_novgorodskiy_torg,,"черновой пересказ LLM (не цитата издания и не ссылка на статью/страницу): ""A.D. 1230: veche at Yaroslav Court; Ivanko killed and thrown into Volkhov""","src_novgorod_chronicle_michell_forbes_1914|book:667380 §Приложение 2 Свод летописных известий о Новгородской земле ¶486 (распря Степана Твердиславича с Иваном Тимошкиничем и посадника Внезда Водовика; вече, разграбление двора)",B,candidate,false,,"построчно сверено с книжными свидетельствами группы (servak history-events-knowledge.csv) в проходе 2026-09-26, см. source_refs"
nov_hist_1230_001,nov_hist_1230_001_aftermath,1230-05-23T09:00:00,true,spring,church,aftermath,"Знамения, приход владыки Спиридона и церковная тревога","Последствия: Остаются последствия: страх, дефицит, траур, долг, осторожность или новые ожидания. Церковная тревога, природное знамение и приход владыки проходят через Софийскую сторону, владычный двор и торг.","Церковная тревога, природное знамение и приход владыки проходят через Софийскую сторону, владычный двор и торг.",последствия: слухи у торга и пристаней|последствия: изменение поведения NPC|последствия: задержки у дворов/ворот/дорог|последствия: осторожность в сделках и просьбах,"Говорят: знамения, приход владыки спиридона и церковная тревога. Подробности каждый пересказывает по-своему.","Давление может менять доступность дорог, ворот, пристаней, бродов и зимников; конкретное состояние маршрута фиксируется только в party-базе.",Событие задаёт направление рыночного давления без точных цен.,воск|свечи|хлеб|рыба|ткань,"Власти могут усиливать сторожу, принимать жалобы, собирать людей, задерживать доступ или действовать через послов и старших.","{""background_npc"":[""пересказывают слухи"",""избегают лишних слов"",""следуют текущему порядку места""],""scene_npc"":[""могут требовать поручителя"",""могут задерживать разговор из-за страха или приказа""],""key_npc"":[""могут менять планы, собирать людей, закрывать доступ или посылать вести""]}","Предметы могут появляться только как party-level материализация с владельцем, местом, доступом, риском и лимитом.","видимые признаки текущей фазы|слухи с неизвестной истинностью|лично услышанные рассказы|наблюдаемые задержки, цены-направления и поведение людей","точная будущая дата следующей фазы|истинность слуха|скрытая причина события|объективный исход до видимого проявления|полная карта войны или политики|решения власти, которых персонаж не мог узнать",gn_nov_g1_03_04_g3_001_novgorod|gn_nov_g1_03_04_g3_024_podbore_gorod|gn_nov_g1_03_04_g2_08_monastery_church_belt|gn_nov_g1_03_04_g3_022_kamenka_gorod|gn_nov_g1_03_04_g3_003_novgorodskiy_torg,,"черновой пересказ LLM (не цитата издания и не ссылка на статью/страницу): ""A.D. 1230: earthquake; May 14 sun darkened; May 19 Archbishop Spiridon came to Novgorod""","src_novgorod_chronicle_michell_forbes_1914|book:667380 §Приложение 2 Свод летописных известий о Новгородской земле ¶486 (землетрясение 3 мая, солнечное затмение 14 мая, приход Спиридона 19 мая 1230)",B,candidate,false,,"построчно сверено с книжными свидетельствами группы (servak history-events-knowledge.csv) в проходе 2026-09-26, см. source_refs"
nov_hist_1230_002,nov_hist_1230_002_omens,1230-05-27T12:00:00,true,spring,political,omens,Вечевая смута у Ярославова дворища и убийство Иванка,"Предвестники: Появляются первые видимые признаки, слухи и задержки. Вечевая и боярско-княжеская смута проявляется через толпу, мост, Волхов и дворы власти.","Вечевая и боярско-княжеская смута проявляется через толпу, мост, Волхов и дворы власти.",предвестники: слухи у торга и пристаней|предвестники: изменение поведения NPC|предвестники: задержки у дворов/ворот/дорог|предвестники: осторожность в сделках и просьбах,Говорят: вечевая смута у ярославова дворища и убийство иванка. Подробности каждый пересказывает по-своему.,"Давление может менять доступность дорог, ворот, пристаней, бродов и зимников; конкретное состояние маршрута фиксируется только в party-базе.",Событие задаёт направление рыночного давления без точных цен.,серебро|залоговые вещи|хлеб|кони,"Власти могут усиливать сторожу, принимать жалобы, собирать людей, задерживать доступ или действовать через послов и старших.","{""background_npc"":[""пересказывают слухи"",""избегают лишних слов"",""следуют текущему порядку места""],""scene_npc"":[""могут требовать поручителя"",""могут задерживать разговор из-за страха или приказа""],""key_npc"":[""могут менять планы, собирать людей, закрывать доступ или посылать вести""]}","Предметы могут появляться только как party-level материализация с владельцем, местом, доступом, риском и лимитом.","видимые признаки текущей фазы|слухи с неизвестной истинностью|лично услышанные рассказы|наблюдаемые задержки, цены-направления и поведение людей","точная будущая дата следующей фазы|истинность слуха|скрытая причина события|объективный исход до видимого проявления|полная карта войны или политики|решения власти, которых персонаж не мог узнать",gn_nov_g1_03_04_g3_028_nizhniy_pochinok_gorod|gn_nov_g1_03_04_g4_001_novgorod_06_yaroslav_court_market_core|gn_nov_g1_03_04_g3_034_sosnovets_gorod|gn_nov_g1_03_04_g2_04_volkhov_bank|gn_nov_g1_03_04_g3_009_dvor_vlasti_v_novgorode|gn_nov_g1_03_04_g3_003_novgorodskiy_torg,,"черновой пересказ LLM (не цитата издания и не ссылка на статью/страницу): ""A.D. 1230: veche at Yaroslav Court; Ivanko killed and thrown into Volkhov""","src_novgorod_chronicle_michell_forbes_1914|book:667380 §Приложение 2 Свод летописных известий о Новгородской земле ¶486 (распря Степана Твердиславича с Иваном Тимошкиничем и посадника Внезда Водовика; вече, разграбление двора)",B,candidate,false,,"построчно сверено с книжными свидетельствами группы (servak history-events-knowledge.csv) в проходе 2026-09-26, см. source_refs"
nov_hist_1230_002,nov_hist_1230_002_escalation,1230-06-02T16:00:00,true,summer,political,escalation,Вечевая смута у Ярославова дворища и убийство Иванка,"Нарастание: Давление меняет дороги, доступ, сделки и поведение людей. Вечевая и боярско-княжеская смута проявляется через толпу, мост, Волхов и дворы власти.","Вечевая и боярско-княжеская смута проявляется через толпу, мост, Волхов и дворы власти.",нарастание: слухи у торга и пристаней|нарастание: изменение поведения NPC|нарастание: задержки у дворов/ворот/дорог|нарастание: осторожность в сделках и просьбах,Говорят: вечевая смута у ярославова дворища и убийство иванка. Подробности каждый пересказывает по-своему.,"Давление может менять доступность дорог, ворот, пристаней, бродов и зимников; конкретное состояние маршрута фиксируется только в party-базе.",Событие задаёт направление рыночного давления без точных цен.,серебро|залоговые вещи|хлеб|кони,"Власти могут усиливать сторожу, принимать жалобы, собирать людей, задерживать доступ или действовать через послов и старших.","{""background_npc"":[""пересказывают слухи"",""избегают лишних слов"",""следуют текущему порядку места""],""scene_npc"":[""могут требовать поручителя"",""могут задерживать разговор из-за страха или приказа""],""key_npc"":[""могут менять планы, собирать людей, закрывать доступ или посылать вести""]}","Предметы могут появляться только как party-level материализация с владельцем, местом, доступом, риском и лимитом.","видимые признаки текущей фазы|слухи с неизвестной истинностью|лично услышанные рассказы|наблюдаемые задержки, цены-направления и поведение людей","точная будущая дата следующей фазы|истинность слуха|скрытая причина события|объективный исход до видимого проявления|полная карта войны или политики|решения власти, которых персонаж не мог узнать",gn_nov_g1_03_04_g3_028_nizhniy_pochinok_gorod|gn_nov_g1_03_04_g4_001_novgorod_06_yaroslav_court_market_core|gn_nov_g1_03_04_g3_034_sosnovets_gorod|gn_nov_g1_03_04_g2_04_volkhov_bank|gn_nov_g1_03_04_g3_009_dvor_vlasti_v_novgorode|gn_nov_g1_03_04_g3_003_novgorodskiy_torg,,"черновой пересказ LLM (не цитата издания и не ссылка на статью/страницу): ""A.D. 1230: veche at Yaroslav Court; Ivanko killed and thrown into Volkhov""","src_novgorod_chronicle_michell_forbes_1914|book:667380 §Приложение 2 Свод летописных известий о Новгородской земле ¶486 (распря Степана Твердиславича с Иваном Тимошкиничем и посадника Внезда Водовика; вече, разграбление двора)",B,candidate,false,,"построчно сверено с книжными свидетельствами группы (servak history-events-knowledge.csv) в проходе 2026-09-26, см. source_refs"
nov_hist_1230_002,nov_hist_1230_002_impact,1230-06-03T18:00:00,true,summer,political,impact,Вечевая смута у Ярославова дворища и убийство Иванка,"Удар: Событие прямо задевает связанные узлы карты. Вечевая и боярско-княжеская смута проявляется через толпу, мост, Волхов и дворы власти.","Вечевая и боярско-княжеская смута проявляется через толпу, мост, Волхов и дворы власти.",удар: слухи у торга и пристаней|удар: изменение поведения NPC|удар: задержки у дворов/ворот/дорог|удар: осторожность в сделках и просьбах,Говорят: вечевая смута у ярославова дворища и убийство иванка. Подробности каждый пересказывает по-своему.,"Давление может менять доступность дорог, ворот, пристаней, бродов и зимников; конкретное состояние маршрута фиксируется только в party-базе.",Событие задаёт направление рыночного давления без точных цен.,серебро|залоговые вещи|хлеб|кони,"Власти могут усиливать сторожу, принимать жалобы, собирать людей, задерживать доступ или действовать через послов и старших.","{""background_npc"":[""пересказывают слухи"",""избегают лишних слов"",""следуют текущему порядку места""],""scene_npc"":[""могут требовать поручителя"",""могут задерживать разговор из-за страха или приказа""],""key_npc"":[""могут менять планы, собирать людей, закрывать доступ или посылать вести""]}","Предметы могут появляться только как party-level материализация с владельцем, местом, доступом, риском и лимитом.","видимые признаки текущей фазы|слухи с неизвестной истинностью|лично услышанные рассказы|наблюдаемые задержки, цены-направления и поведение людей","точная будущая дата следующей фазы|истинность слуха|скрытая причина события|объективный исход до видимого проявления|полная карта войны или политики|решения власти, которых персонаж не мог узнать",gn_nov_g1_03_04_g3_028_nizhniy_pochinok_gorod|gn_nov_g1_03_04_g4_001_novgorod_06_yaroslav_court_market_core|gn_nov_g1_03_04_g3_034_sosnovets_gorod|gn_nov_g1_03_04_g2_04_volkhov_bank|gn_nov_g1_03_04_g3_009_dvor_vlasti_v_novgorode|gn_nov_g1_03_04_g3_003_novgorodskiy_torg,,"черновой пересказ LLM (не цитата издания и не ссылка на статью/страницу): ""A.D. 1230: veche at Yaroslav Court; Ivanko killed and thrown into Volkhov""","src_novgorod_chronicle_michell_forbes_1914|book:667380 §Приложение 2 Свод летописных известий о Новгородской земле ¶486 (распря Степана Твердиславича с Иваном Тимошкиничем и посадника Внезда Водовика; вече, разграбление двора)",B,candidate,false,,"построчно сверено с книжными свидетельствами группы (servak history-events-knowledge.csv) в проходе 2026-09-26, см. source_refs"
nov_hist_1230_002,nov_hist_1230_002_aftermath,1230-06-08T08:00:00,true,summer,political,aftermath,Вечевая смута у Ярославова дворища и убийство Иванка,"Последствия: Остаются последствия: страх, дефицит, траур, долг, осторожность или новые ожидания. Вечевая и боярско-княжеская смута проявляется через толпу, мост, Волхов и дворы власти.","Вечевая и боярско-княжеская смута проявляется через толпу, мост, Волхов и дворы власти.",последствия: слухи у торга и пристаней|последствия: изменение поведения NPC|последствия: задержки у дворов/ворот/дорог|последствия: осторожность в сделках и просьбах,Говорят: вечевая смута у ярославова дворища и убийство иванка. Подробности каждый пересказывает по-своему.,"Давление может менять доступность дорог, ворот, пристаней, бродов и зимников; конкретное состояние маршрута фиксируется только в party-базе.",Событие задаёт направление рыночного давления без точных цен.,серебро|залоговые вещи|хлеб|кони,"Власти могут усиливать сторожу, принимать жалобы, собирать людей, задерживать доступ или действовать через послов и старших.","{""background_npc"":[""пересказывают слухи"",""избегают лишних слов"",""следуют текущему порядку места""],""scene_npc"":[""могут требовать поручителя"",""могут задерживать разговор из-за страха или приказа""],""key_npc"":[""могут менять планы, собирать людей, закрывать доступ или посылать вести""]}","Предметы могут появляться только как party-level материализация с владельцем, местом, доступом, риском и лимитом.","видимые признаки текущей фазы|слухи с неизвестной истинностью|лично услышанные рассказы|наблюдаемые задержки, цены-направления и поведение людей","точная будущая дата следующей фазы|истинность слуха|скрытая причина события|объективный исход до видимого проявления|полная карта войны или политики|решения власти, которых персонаж не мог узнать",gn_nov_g1_03_04_g3_028_nizhniy_pochinok_gorod|gn_nov_g1_03_04_g4_001_novgorod_06_yaroslav_court_market_core|gn_nov_g1_03_04_g3_034_sosnovets_gorod|gn_nov_g1_03_04_g2_04_volkhov_bank|gn_nov_g1_03_04_g3_009_dvor_vlasti_v_novgorode|gn_nov_g1_03_04_g3_003_novgorodskiy_torg,,"черновой пересказ LLM (не цитата издания и не ссылка на статью/страницу): ""A.D. 1230: veche at Yaroslav Court; Ivanko killed and thrown into Volkhov""","src_novgorod_chronicle_michell_forbes_1914|book:667380 §Приложение 2 Свод летописных известий о Новгородской земле ¶486 (распря Степана Твердиславича с Иваном Тимошкиничем и посадника Внезда Водовика; вече, разграбление двора)",B,candidate,false,,"построчно сверено с книжными свидетельствами группы (servak history-events-knowledge.csv) в проходе 2026-09-26, см. source_refs"
