mp_id,master_meal_set_id,name_ru,context,social_scope,season,ds_ids,unresolved_recipe_ids,modifier_ref,source_refs,confidence,status,notes
mp_poor_morning,MLS001,Бедная утренняя еда,morning_meal,"[""poor"", ""common""]","[""spring"", ""summer"", ""autumn"", ""winter""]","[""ds_porridge_barley_groats_liquid"", ""ds_serve_well_water""]",[],,"[""game-base-v1/food-drink/scripts/source_snapshot/meal_sets.csv:MLS001""]",B,candidate,Малая порция; хлеб не гарантирован.
mp_common_urban_morning,MLS002,Обычная городская утренняя еда,morning_meal,"[""common"", ""urban""]","[""spring"", ""summer"", ""autumn"", ""winter""]","[""ds_bread_rye_sourdough"", ""ds_porridge_oat_groats_medium"", ""ds_serve_well_water""]",[],,"[""game-base-v1/food-drink/scripts/source_snapshot/meal_sets.csv:MLS002""]",B,candidate,
mp_artisan_working_meal,MLS003,Рабочая еда ремесленника,working_day_meal,"[""common"", ""artisan""]","[""spring"", ""summer"", ""autumn"", ""winter""]","[""ds_bread_rye_sourdough"", ""ds_pottage_barley_turnip"", ""ds_kvass_like_bread""]",[],,"[""game-base-v1/food-drink/scripts/source_snapshot/meal_sets.csv:MLS003""]",B,candidate,
mp_fisher_meal,MLS004,Рыбацкая еда,shore_or_household_meal,"[""fisher"", ""common""]","[""spring"", ""summer"", ""autumn"", ""winter""]","[""ds_bread_rye_sourdough"", ""ds_fish_pottage_pike"", ""ds_serve_well_water""]",[],,"[""game-base-v1/food-drink/scripts/source_snapshot/meal_sets.csv:MLS004""]",B,candidate,
mp_merchant_meal,MLS005,Купеческая еда,urban_household_or_guest_meal,"[""merchant"", ""wealthy""]","[""spring"", ""summer"", ""autumn"", ""winter""]","[""ds_bread_mixed_sourdough"", ""ds_zander_baked"", ""ds_turnip_baked_whole"", ""ds_honey_drink_weak""]",[],,"[""game-base-v1/food-drink/scripts/source_snapshot/meal_sets.csv:MLS005""]",B,candidate,
mp_boyar_feast,MLS006,Боярское застолье без фэнтезийной роскоши,feast_day,"[""boyar"", ""elite""]","[""autumn"", ""winter""]","[""ds_bread_wheat_sourdough_elite"", ""ds_roast_goose_meat_cautious"", ""ds_sturgeon_baked"", ""ds_filled_bake_fish_cautious"", ""ds_serve_imported_wine"", ""ds_honey_drink_weak""]",[],,"[""game-base-v1/food-drink/scripts/source_snapshot/meal_sets.csv:MLS006""]",C,candidate,"Богатство выражено качеством зерна, рыбой, мясом, мёдом и импортом, а не поздним сервировочным каноном."
mp_strict_fast_day,MLS007,Строгий постный день,strict_fast_day,"[""common"", ""monastery""]","[""spring"", ""summer"", ""autumn"", ""winter""]","[""ds_bread_rye_sourdough"", ""ds_pea_pottage"", ""ds_turnip_boiled"", ""ds_serve_well_water""]",[],,"[""game-base-v1/food-drink/scripts/source_snapshot/meal_sets.csv:MLS007""]",B,candidate,
mp_fish_permitted_fast_day,MLS008,Постный день с рыбой,fish_permitted_fast_day,"[""common"", ""monastery""]","[""spring"", ""summer"", ""autumn"", ""winter""]","[""ds_bread_rye_sourdough"", ""ds_fish_pottage_bream"", ""ds_boil_peas_plain"", ""ds_serve_well_water""]",[],,"[""game-base-v1/food-drink/scripts/source_snapshot/meal_sets.csv:MLS008""]",B,candidate,
mp_skoromny_day,MLS009,Скоромный день,ordinary_day,"[""common"", ""wealthy""]","[""autumn"", ""winter""]","[""ds_bread_rye_sourdough"", ""ds_porridge_barley_groats_medium_butter"", ""ds_boil_beef"", ""ds_drink_fresh_milk""]",[],,"[""game-base-v1/food-drink/scripts/source_snapshot/meal_sets.csv:MLS009""]",B,candidate,
mp_monastery_meal,MLS010,Монастырский приём пищи,monastery_rule,"[""monastery""]","[""spring"", ""summer"", ""autumn"", ""winter""]","[""ds_bread_rye_sourdough"", ""ds_pottage_oat_groats"", ""ds_pea_pottage"", ""ds_serve_well_water""]",[],,"[""game-base-v1/food-drink/scripts/source_snapshot/meal_sets.csv:MLS010""]",B,candidate,Рыба и масло добавляются только при разрешённом календарном контексте.
mp_farmer_summer,MLS011,Крестьянская летняя еда,working_day_meal,"[""rural"", ""common""]","[""summer""]","[""ds_bread_rye_sourdough"", ""ds_pottage_oat_onion"", ""ds_berries_with_honey_uncertain"", ""ds_drink_whey""]",[],,"[""game-base-v1/food-drink/scripts/source_snapshot/meal_sets.csv:MLS011""]",C,candidate,
mp_farmer_winter,MLS012,Крестьянская зимняя еда,working_day_meal,"[""rural"", ""common""]","[""winter""]","[""ds_bread_rye_sourdough"", ""ds_pea_pottage"", ""ds_cook_dried_fish"", ""ds_serve_well_water""]",[],,"[""game-base-v1/food-drink/scripts/source_snapshot/meal_sets.csv:MLS012""]",B,candidate,
mp_military_camp,MLS013,Походная лагерная еда,military_camp,"[""military""]","[""spring"", ""summer"", ""autumn"", ""winter""]","[""ds_pottage_barley_groats"", ""ds_cook_salted_fish"", ""ds_serve_well_water""]",[],,"[""game-base-v1/food-drink/scripts/source_snapshot/meal_sets.csv:MLS013""]",B,candidate,
mp_road_ration,MLS014,Дорожный паёк без приготовления,travel,"[""merchant"", ""messenger"", ""military"", ""traveler""]","[""spring"", ""summer"", ""autumn"", ""winter""]","[""ds_bread_rye_sourdough"", ""ds_honey_on_bread"", ""ds_serve_well_water""]",[],,"[""game-base-v1/food-drink/scripts/source_snapshot/meal_sets.csv:MLS014""]",B,candidate,"Дополняется физическими items сушёной рыбы, сыра, орехов или сушёных ягод при наличии; не гарантирует полный набор."
mp_winter_ration,MLS015,Зимний рацион,winter_stored_food,"[""common"", ""rural"", ""urban""]","[""winter""]","[""ds_bread_rye_sourdough"", ""ds_pottage_rye_peas"", ""ds_cook_dried_fish"", ""ds_turnip_boiled"", ""ds_serve_well_water""]",[],,"[""game-base-v1/food-drink/scripts/source_snapshot/meal_sets.csv:MLS015""]",B,candidate,
