lm_id,name_ru,category,source_category,location_ref,founded_or_built,material,status_1230,functions,roles_present,reconstruction_note,v6_name_match,source_refs,confidence,status
lm_b001,Софийский собор,church,храм,Детинец,1045–1050,"камень, плинфа, раствор",существует,,,"Пять глав; фасады первоначально не белёные сплошь; интерьер с фресками, иконами и металлом. Центральный купол ещё не позолочен.",,nov1230db:B001|nov1230db:S13,A,candidate
lm_b002,Детинец,fortification,укрепление/центр,Софийская сторона,расширен 1116,"земля, дерево",существует,,,Не нынешний кирпичный кремль: в 1230 г. основа укреплений деревянно-земляная.,Новгородский детинец,nov1230db:B002|nov1230db:S01|nov1230db:S17,A,candidate
lm_b003,Владычный двор,court,резиденция/хозяйственный комплекс,Детинец,XI–XIII вв.,"дерево, отдельные каменные объёмы",существует,,,"Двор архиепископа с храмами, службами, хранилищами и приёмными; нынешней Грановитой палаты ещё нет.",Владычный двор у Софии,nov1230db:B003|nov1230db:S13|nov1230db:S25,B,candidate
lm_b004,Борисоглебская церковь в Детинце,church,храм,Детинец,1167,"камень, плинфа",существует,,,Крупная шестистолпная церковь Сотко Сытиныча; не сохранилась.,,nov1230db:B004|nov1230db:S12,A,candidate
lm_b005,Великий мост,bridge,мост/рынок/судебная сцена,через Волхов,перестраивался 1229–1230,дерево,строится/эксплуатируется,,,"Высокая новая деревянная конструкция рядом/вместо старой; торговля, движение, столкновения и казни.",Великий мост и мостовые подходы,nov1230db:B005|nov1230db:S01,A,candidate
lm_b006,Ярославово дворище,court,политико-торговый комплекс,Торговая сторона,XI–XIII вв.,дерево и каменные храмы,существует,,,"Княжий двор, вечевая площадка, храмы и связь с Торгом; не поздний ансамбль XV–XVII вв.",Ярославово дворище,nov1230db:B006|nov1230db:S01|nov1230db:S14,A,candidate
lm_b007,Никольский собор,church,храм,Ярославово дворище,с 1113,"камень, плинфа",существует,,,Пятиглавый княжеский собор и сильная вертикаль Торговой стороны.,,nov1230db:B007|nov1230db:S14,A,candidate
lm_b008,Иоанн Предтеча на Опоках,church,храм/торговый суд,Торг,1127–1130,камень,существует,,,Связан с купеческой организацией и торговым судом; нынешний облик позднее.,,nov1230db:B008|nov1230db:S03|nov1230db:S12,A,candidate
lm_b009,Успение на Торгу,church,храм,Торг,1135–1144,камень,существует,,,Каменный храм у рынка; перестроен позднее.,,nov1230db:B009|nov1230db:S12,A,candidate
lm_b010,Георгий на Торгу,church,храм,Торг,XII в.,камень/поздние переделки,вероятно существует,,,Ранний храм на торговой площади; точный облик 1230 г. реконструируется.,,nov1230db:B010|nov1230db:S12,B,candidate
lm_b011,Параскева Пятница на Торгу,church,храм,Торг,1207,"камень, плинфа",существует,,,Компактный храм с трёхлопастными завершениями и западными влияниями.,,nov1230db:B011|nov1230db:S12,A,candidate
lm_b012,Торг,market,рынок,Торговая сторона у Волхова,X–XIII вв.,"деревянные ряды, навесы, настилы",существует,,,"Не единая пустая площадь: плотная система рядов, весов, складов, храмов и дворов.",Немецкий двор у Торга,nov1230db:B012|nov1230db:S02|nov1230db:S03|nov1230db:S05,A,candidate
lm_b013,Готский двор,foreign_court,иностранный двор,Торг,XII в.,"дерево, церковь",существует,,,Закрываемый на ночь торговый двор гостей с собственными правилами.,Готский двор у Торга,nov1230db:B013|nov1230db:S02|nov1230db:S10,A,candidate
lm_b014,Немецкий двор св. Петра,foreign_court,иностранный двор,Торг,конец XII в.,"дерево, церковь св. Петра",существует,,,Сезонные гости прибывают водой летом и санями зимой; позднюю ганзейскую контору нельзя переносить целиком.,,nov1230db:B014|nov1230db:S10,A,candidate
