text_pool_id,text_kind,carrier_groups,template_ru,slot_sources,selection_rule,attested_basis,valid_for_1230,source_refs,confidence,note,llm_may_write_text,status
TXT_WHORL_OWNER,owner_inscription,HH_TEXTILE_WORK,{owner_female_possessive} пряслень;{owner_female_possessive},"owner_female_possessive=personal_names(female, baptismal or vernacular, possessive -ин/-ын by grammar rule, owner = committed woman of the owning household)",only on slate whorls; roll per whorl: inscribed rare,Владельческие надписи на пряслицах (формула «…ин пряслень»; новгородская находка с женским именем),yes,src:BIB_WHORL;src:BIB_MEDYNTSEVA,B,Нет владелицы в мире — нет надписи.,no,candidate
TXT_OBJECT_OWNER_GRAFFITO,owner_inscription,PS_GROOMING;HH_TABLEWARE;PS_KNIFE;HH_SEWING;PS_WRITING;PS_MUSIC,{owner_possessive};{owner_initial},owner_possessive=personal_names(possessive form of committed owner name);owner_initial=first letter of committed owner name,inscribed variant rare; owner must be committed,Владельческие надписи-граффити на бытовых предметах (гребни и др.),yes,src:BIB_MEDYNTSEVA;src:BIB_ZALIZNYAK2004,B,,no,candidate
TXT_WOOD_OWNER_POSSESSIVE,owner_inscription,HH_TABLEWARE;HH_SMALL_STORAGE;HH_TEXTILE_WORK,{owner_possessive},owner_possessive=personal_names(possessive form of committed owner name),inscribed variant rare; otherwise use owner sign TXT_OWNER_SIGN,Владельческие граффити на деревянных вещах (общий класс по Медынцевой); для посуды конкретно — вывод,yes,src:BIB_MEDYNTSEVA;src:SRC005,C,"Для посуды чаще знак, чем текст.",no,candidate
TXT_OWNER_SIGN,owner_sign,HH_TABLEWARE;HH_VESSELS_WATER;HH_SMALL_STORAGE;HH_TEXTILE_WORK;HH_FOODPROC;PS_TRADE_ADMIN;PS_CARRY;PS_KNIFE;PS_MUSIC,{sign_shape},sign_shape=closed list: прямой крест;косой крест;крест с перекладинами на концах;решётка;треугольник;круг;две параллельные черты;три зарубки;стрелка;«лесенка»,"one shape per owner household, fixed by seed and stored; princely bident/trident signs excluded (authority only, entity-bound)",Бирки с вырезанным знаком владельца; знаки на деревянных вещах,yes,master:n1230:material_item:omi01613;src:SRC005;src:BIB_BIRKI_BRE,C,Список форм — редакционный набор простых знаков; толкование не даётся.,no,candidate
TXT_POTTERY_STAMP,maker_sign,HH_COOKWARE;HH_TABLEWARE;HH_SMALL_STORAGE,{stamp_shape},stamp_shape=closed list: крест;крест в круге;колесо со спицами;круг;квадрат;двойной круг,one shape per potter workshop entity; repeated on its output,"Гончарные клейма X–XIV вв.: крест, круг, колесо, геометрические знаки",yes,src:BIB_POTTERY_STAMPS;src:SRC024,B,,no,candidate
TXT_MAKER_STAMP_SIGN,maker_sign,PS_KNIFE,{stamp_shape},stamp_shape=closed list: крест;кружок;полумесяц;геометрическая фигура без чтения,imported blades only,Нож западного производства с клеймом,yes,master:n1230:material_item:frn0024,C,"Надписи-имена мастеров (типа ULFBERHT) — эпоха мечей X–XI вв., не для ножей 1230.",no,candidate
TXT_PLOMB_SIGN,official_mark,PS_TRADE_ADMIN,{plomb_image};{plomb_image} / {plomb_letter},plomb_image=closed list: изображение святого;процветший крест;крест;треугольник с крестом;знак Рюриковичей;геометрический знак;plomb_letter=closed list of Cyrillic letters,code picks per plomb; 'знак Рюриковичей' without attribution to a named prince unless entity,"Торговые пломбы: святые, кресты, буквы, знаки Рюриковичей; пик XII в., спад в начале XIII в.",yes (as old or residual),src:BIB_PLOMBY_IARAN;src:BIB_SHM_PLOMBA;src:SRC053,A,,no,candidate
TXT_BULLA_ENTITY_REF,official_mark,PS_TRADE_ADMIN,{issuer_legend},issuer_legend=entity:historical_figure_or_office (from historical_figures domain),no entity -> bulla with unreadable/worn impression,Вислые печати Новгорода,yes,src:SRC087;src:SRC053,A,Никогда не сочиняется.,no,candidate
TXT_CROSS_FORMULA,religious_formula,PS_RELIGIOUS,"Святая Богородице, помогай;ІС ХС;{relief_subject}",relief_subject=closed list: Распятие;Богоматерь;святой воин;процветший крест,code picks; most crosses carry no text,Надписи-молитвенные формулы на энколпионах; сокращение имени Христа на крестах,yes,src:BIB_ENKOLPION;src:SRC062,B,Именные формулы «…рабу своему {имя}» не включены до проверки по корпусу.,no,candidate
TXT_ICON_SAINT_LABEL,religious_label,PS_RELIGIOUS,{saint_label},saint_label=saints_calendar(closed list of saints venerated in Novgorod by 1230),one label per icon,Именные подписи святых на иконах и каменных иконках,yes,src:BIB_NIKOLAEVA1983;master:n1230:material_item:rel0001,B,Список святых — из домена календаря/церкви.,no,candidate
TXT_BIRCHBARK_GENRE,document_genre,PS_WRITING,{genre}: {content_from_committed_facts},genre=closed list: долговая запись;перечень долгов;письмо-поручение;перечень товаров с ценами;опись имущества;требование явиться на суд;инструкция сборщикам;частное письмо;учебная запись;заговор-молитва;content_from_committed_facts=entity:debt/trade/household facts of the owner,"genre by owner role; content only from committed facts, else fragment 'без читаемой записи'","Выборка грамот 1200–1240 (19 номеров, A)",yes,src:SQL_BIRCHBARK;src:SRC027;src:SRC030,A,Имена отправителя/получателя — только существующие NPC.,no,candidate
TXT_BIRCHBARK_LABEL,goods_label,PS_TRADE_ADMIN,{owner_possessive};{owner_possessive} {goods_word},owner_possessive=personal_names(committed owner);goods_word=closed list: мешок;короб;бочка;связка;тюк,only on goods of a committed trader/household,"Берестяные товарные записки и бирки, привязанные к товару",yes,master:n1230:material_item:trd0032;master:n1230:material_item:omi01656,C,Формула — реконструкция.,no,candidate
TXT_TALLY_NOTCH,count_record,PS_TRADE_ADMIN,{notch_groups},"notch_groups=code-computed from committed quantity or debt (decimal groups, 10 per group)",split tally halves carry identical notches,"Бирки: зарубки группами, десятичный счёт; долговые расщеплённые бирки",yes,src:BIB_BIRKI_NKJ;src:BIB_BIRKI_BRE,B,"Не текст, а числовая запись; число только из фактов.",no,candidate
TXT_WEIGHT_DENOMINATION,measure_mark,PS_TRADE_ADMIN,{denomination_marks},denomination_marks=code-computed count of circle marks from weight nominal,one per weight,Гирьки кубооктаэдрические и бочонковидные с метками,yes,master:n1230:material_item:trd0040;master:n1230:material_item:trd0055,C,Схема меток не извлечена из публикаций.,no,candidate
TXT_ABECEDARIUM,learning_text,PS_PLAY;PS_WRITING,азбучный ряд;слоги;отдельные буквы;рисунок с подписью {child_initial},child_initial=first letter of committed child's name,children and learners only,Ученические записи и рисунки на бересте (грамоты Онфима),"yes (Онфим — середина XIII в., близкая аналогия)",src:SRC073;master:n1230:material_item:omi01643;master:n1230:material_item:omi01644,A,,no,candidate
TXT_DOCUMENT_ENTITY_REF,document_text,PS_WRITING,{document_text},document_text=entity:document (existing authored/historical document only),no entity -> unreadable or no text,Пергаментные документы и рукописные книги,yes,master:n1230:material_item:wrt0025;master:n1230:material_item:wrt0023,B,Никогда не сочиняется.,no,candidate
TXT_RUNIC_GRAFFITO,foreign_inscription,PS_TRADE_ADMIN;PS_GROOMING;HH_TABLEWARE,{runic_text},runic_text=entity:published_inscription only,only on items of committed Scandinavian owners,Рунические надписи на предметах из Новгорода,yes,master:n1230:material_item:frn0033;src:SRC048,C,Без опубликованной сущности текста нет.,no,candidate
TXT_TAX_CYLINDER,official_mark,none,—,—,EXCLUDED for 1230,Деревянные цилиндры-замки с надписями сборщиков дани: XI — первая половина XII в.,no,src:BIB_CYLINDERS,B,Анахронизм для 1230: не использовать.,no,excluded_anachronism
