order,step_id,human_stage,agent,input_sources,output_contract,writes_to_party_tables,validation_gates,repair_on_fail,hidden_allowed,player_visible,notes
1,ng_01_request_intake,Разбор заявки игрока,request_normalizer,player_free_text; UI context; project constraints,StartRequestNormalized,party_llm_steps,"Request is treated as desire, not fact; no world entities are fixed yet; modern/impossible terms are flagged.",Ask LLM to restate request as historically adaptable intent; preserve player core idea.,no,progress label only,"No character sheet, no class picker, no deterministic defaults."
2,ng_02_historical_frame,Выбор исторической рамки,historical_frame_selector,StartRequestNormalized; world_base.regions; historical_events; historical_figures; source_records,HistoricalFrameDraft,party_state; party_events; party_llm_steps,year in 1230-1250; season set; region exists; historical pressure references source_records or approved/usable records.,Return frame to LLM with missing/invalid fields and allowed region/year list.,"yes, for historical pressure not known to character",no raw data; only progress text,"If user did not specify year/region, LLM selects within project bounds and fixes before later steps."
3,ng_03_region_context_retrieval,Выбор региона и сезона,region_context_retriever,HistoricalFrameDraft; world_base region templates; graph nodes/edges; weather and seasonal rules,ActiveRegionContext,party_state; party_llm_steps,Only approved/usable_with_caution/draft-with-label records used; no source status upgrade; neighboring regions kept as outlines.,Fail closed; require explicit list of missing regional records.,yes,progress label only,"Retrieval step, not generation step."
4,ng_04_historical_pressure,Уточнение исторического давления,historical_pressure_selector,ActiveRegionContext; historical timeline; current year/season; source_records,HistoricalPressurePackage,party_events; party_journal_entries (only visible rumor/history subset),No future-certainty leaks; each event has phase/current signs/what PC can know vs cannot know.,Ask LLM to separate objective hidden event state from character knowledge.,yes,only visible signs later through visible context,"Historical pressure creates world movement, not rails."
5,ng_05_start_place_selection,Создание стартового места,start_place_selector,ActiveRegionContext; graph_nodes G1-G4; place templates; route templates; player request,StartPlaceDraft,party_graph_nodes; party_graph_edges; party_places; party_locations; party_llm_steps,"selected nodes exist or are materialized by LLM with cause; place has function, controller, access, routes, season, reason to start.",Return to LLM with failed reason: missing route/function/controller/season/access/graph chain.,yes for non-visible place state,no raw data,Prefer canonical G1-G4 from world_base; local additions must be marked party-created.
6,ng_06_location_chain,"Разворачивание локации, минилокации и точки сцены",start_position_materializer,StartPlaceDraft; G4 location profiles; G5 template rules; current season/time/weather,StartPositionChain,party_locations; party_minilocations; party_scene_anchors; party_current_position,region_id/place_id/location_id/minilocation_id/anchor_id all set; anchor is physically useful for access/visibility/actions.,Ask LLM to produce concrete minilocation and anchor grounded in selected G4 type.,"yes, but not passed to prose directly",later as visible place description,This is the entry point for startup G5 materialization; detailed G5 pack comes in next project step.
7,ng_07_player_character_generation,Создание персонажа игрока,player_character_generator,StartRequestNormalized; HistoricalFrameDraft; StartPositionChain; social roles; occupations; item profiles,PlayerCharacterStartProfile,party_player_characters; party_items; party_inventory_entries; party_map_knowledge; party_journal_entries,status/provenance/body/skills/items/knowledge/obligations all grounded; request adapted; balance rules applied; no impossible status without cost.,Return profile with explicit violations: epoch/status/body/skills/inventory/position/knowledge.,limited: unknowns and false beliefs may be encoded separately,only final visible identity and sensations,"Character is a historically situated person, not an abstract camera."
8,ng_08_bind_character_to_place,Связывание персонажа со стартовым местом,start_causal_linker,PlayerCharacterStartProfile; StartPlaceDraft; HistoricalPressurePackage,StartCausalLink,party_journal_entries; party_events; party_npcs (if relationship requires person),why here/why now is explicit; link uses work/road/debt/threat/order/illness/family/service/trade/captivity/etc.; no empty start.,Ask LLM to create causally grounded link or downgrade character/status/request.,"yes for hidden pressure, but visible reason must exist",visible reason in intro prose,Prevents floating protagonist problem.
9,ng_09_people_nearby,Создание людей рядом,npc_initializer,StartPositionChain; NPC generation profiles; social roles; occupations; place function,InitialNpcLayer,party_npcs; party_journal_entries for known people,NPC profile level is background/scene/key by memory needs; visible fields separated from hidden motives.,Reduce over-detailed NPCs or add missing witness/access/relationship fields.,yes for scene/key NPCs,only visible participants and known facts,"NPC depth depends on state that must be remembered, not prose length."
10,ng_10_item_property_layer,Создание предметного слоя,item_property_initializer,StartPositionChain; item profiles; container profiles; property rules; place templates,InitialItemPropertyLayer,party_items; party_inventory_entries; party_journal_entries for property/obligations,significant items have class/material/state/placement/visibility/owner/holder/access/risk; containers pre-profiled before opening.,Ask LLM to add missing owner/holder/access/risk or remove ungrounded item.,"yes for hidden objects/containers, not in visible prose unless signs exist",visible/known items only,Player request must not retro-create an item.
